# V, U, I, B, M_V
-5.171968053217717909e+01 -5.278125487592117082e+01 -5.140004928775277193e+01 -5.243088711913470945e+01 -1.516768053217717949e+01
-5.181153449015057788e+01 -5.287308020694656108e+01 -5.146057577009185025e+01 -5.254551357061515660e+01 -1.525953449015057828e+01
-5.199395936865155221e+01 -5.303540710242653944e+01 -5.155370281073700767e+01 -5.277919809996974720e+01 -1.544195936865155261e+01
-5.272617210965368173e+01 -5.346402839964761711e+01 -5.204374575366291111e+01 -5.357031252145364419e+01 -1.617417210965368213e+01
-5.206348952470408165e+01 -5.239344999525766866e+01 -5.152080699478887738e+01 -5.276751940192315971e+01 -1.551148952470408204e+01
-5.109409004326521853e+01 -5.163633463223904130e+01 -5.038019154972091940e+01 -5.194729335588249342e+01 -1.454209004326521892e+01
-5.105562623438906655e+01 -5.110749810593222264e+01 -5.066838348727129926e+01 -5.166339374815103724e+01 -1.450362623438906695e+01
-5.090980408085884790e+01 -5.056726260883393564e+01 -5.084226499662582910e+01 -5.137041797560133460e+01 -1.435780408085884829e+01
-5.005439117454156417e+01 -4.995804509073692401e+01 -5.028229383655026652e+01 -5.055965838579371763e+01 -1.350239117454156457e+01
-4.965069093638380338e+01 -4.969313599731384556e+01 -4.979879632127831712e+01 -5.023431171020895647e+01 -1.309869093638380377e+01
-4.939699817981591679e+01 -4.939817711489028795e+01 -4.966138365612068384e+01 -4.995507867346435660e+01 -1.284499817981591718e+01
-4.921943098396702965e+01 -4.916358831788114969e+01 -4.936819581125572398e+01 -4.975807778246572610e+01 -1.266743098396703004e+01
-4.889442115879398187e+01 -4.865260334757883243e+01 -4.934100697989105555e+01 -4.922977864957995564e+01 -1.234242115879398227e+01
-4.831562371640234232e+01 -4.836218085451946536e+01 -4.893319799339120379e+01 -4.873157695576139758e+01 -1.176362371640234272e+01
-4.807309474075168509e+01 -4.818453601781036610e+01 -4.864970186477926717e+01 -4.852374744717402422e+01 -1.152109474075168549e+01
-4.795269575673756890e+01 -4.803846067319589253e+01 -4.857355945260123775e+01 -4.838873965762378759e+01 -1.140069575673756930e+01
-4.780947161817280033e+01 -4.789808553086555065e+01 -4.845568740733405377e+01 -4.826142305970114421e+01 -1.125747161817280073e+01
-4.767940631444245980e+01 -4.781172767152709469e+01 -4.825757781844853866e+01 -4.818064062848936402e+01 -1.112740631444246020e+01
-4.787194682785484190e+01 -4.788905051478529629e+01 -4.806251768377309475e+01 -4.841190763061042190e+01 -1.131994682785484230e+01
-4.775973948530970858e+01 -4.799626121900793407e+01 -4.777467718532426488e+01 -4.842548807716133297e+01 -1.120773948530970898e+01
-4.776999418341793557e+01 -4.797352039227935450e+01 -4.770851079379220749e+01 -4.845810369245843674e+01 -1.121799418341793597e+01
-4.769017498603005123e+01 -4.783687230393553591e+01 -4.771346580646189039e+01 -4.832632787978987920e+01 -1.113817498603005163e+01
-4.761551147395735484e+01 -4.778469739539651329e+01 -4.754142457006638267e+01 -4.829836121261293158e+01 -1.106351147395735524e+01
-4.753079844710504887e+01 -4.776844798416423998e+01 -4.741537308892340263e+01 -4.826822898089724845e+01 -1.097879844710504926e+01
-4.732608399292403334e+01 -4.752763306443470981e+01 -4.732477759140042650e+01 -4.801987591180167669e+01 -1.077408399292403374e+01
-4.727711057949537832e+01 -4.744926126592676496e+01 -4.724254805767510845e+01 -4.793852537370241151e+01 -1.072511057949537872e+01
-4.730737240505086305e+01 -4.744792114386112303e+01 -4.721657023588046798e+01 -4.798631732736738797e+01 -1.075537240505086345e+01
-4.724146568918814637e+01 -4.736510611881469401e+01 -4.729149544514036307e+01 -4.788648262113962772e+01 -1.068946568918814677e+01
-4.723453538879851976e+01 -4.733569298989301188e+01 -4.715965891123560993e+01 -4.787926627568847948e+01 -1.068253538879852016e+01
-4.720153740853875490e+01 -4.729877010478109867e+01 -4.720482519227024909e+01 -4.787180929524460282e+01 -1.064953740853875530e+01
-4.711559151581334959e+01 -4.721127298352728019e+01 -4.706396721563220353e+01 -4.777381590723113902e+01 -1.056359151581334999e+01
-4.711231639457735554e+01 -4.717692720589271005e+01 -4.704477515630291151e+01 -4.775958511101821102e+01 -1.056031639457735594e+01
-4.712841169688413601e+01 -4.711459892303849983e+01 -4.723482355938556765e+01 -4.773357603016417272e+01 -1.057641169688413640e+01
-4.706764282653830378e+01 -4.706652092115641040e+01 -4.710889445890679639e+01 -4.767148681377189234e+01 -1.051564282653830418e+01
-4.702684049704123481e+01 -4.699673773099228669e+01 -4.701974177760789075e+01 -4.762267826041806984e+01 -1.047484049704123521e+01
-4.706895006192312536e+01 -4.699765745441180798e+01 -4.708140926432231765e+01 -4.767395668804944364e+01 -1.051695006192312576e+01
-4.701640144222560025e+01 -4.697589595790483941e+01 -4.694842816289978060e+01 -4.763846249743093608e+01 -1.046440144222560065e+01
-4.695673904837477153e+01 -4.691348556594373775e+01 -4.685730158632672016e+01 -4.756264185731409100e+01 -1.040473904837477193e+01
-4.690285168006690242e+01 -4.684240825918700324e+01 -4.688337221323660486e+01 -4.751488893454295237e+01 -1.035085168006690282e+01
-4.685401916368729047e+01 -4.676500142248232805e+01 -4.680315261148707862e+01 -4.743488542753003401e+01 -1.030201916368729087e+01
-4.688801233461299489e+01 -4.677635003163637606e+01 -4.681071042051242159e+01 -4.746702979889523988e+01 -1.033601233461299529e+01
-4.684436518477322409e+01 -4.672325336399644158e+01 -4.682168485411192904e+01 -4.741280269832704164e+01 -1.029236518477322448e+01
-4.679859316062646712e+01 -4.664855800106199268e+01 -4.677451953666703588e+01 -4.734510289230881597e+01 -1.024659316062646752e+01
-4.695579219456600839e+01 -4.634369239003177654e+01 -4.734007807563905601e+01 -4.725799202337001503e+01 -1.040379219456600879e+01
-4.682412963486557089e+01 -4.632198528674871341e+01 -4.709269001341687755e+01 -4.717983921632920641e+01 -1.027212963486557129e+01
-4.678202601794066595e+01 -4.632763838771305132e+01 -4.700528812496315112e+01 -4.718680138075276886e+01 -1.023002601794066635e+01
-4.676756411740953467e+01 -4.635457935458339307e+01 -4.681387066772310845e+01 -4.720587017857974388e+01 -1.021556411740953507e+01
-4.675426521266513191e+01 -4.636458972862424588e+01 -4.682890306036043881e+01 -4.720815791542631246e+01 -1.020226521266513231e+01
-4.722265153188576647e+01 -4.695922583263393335e+01 -4.665138970724828482e+01 -4.794585044765210569e+01 -1.067065153188576687e+01
-4.711363555631954370e+01 -4.696295028944143723e+01 -4.661852072523599588e+01 -4.786189349498788204e+01 -1.056163555631954409e+01
-4.560142646269210331e+01 -4.598915733848944143e+01 -4.477849058222807344e+01 -4.646942864645821203e+01 -9.049426462692103712e+00
-4.561022100757774922e+01 -4.599869340914751348e+01 -4.478705083358840966e+01 -4.647842458862938031e+01 -9.058221007577749617e+00
-4.561978417503516425e+01 -4.600884161934217076e+01 -4.479640033726852977e+01 -4.648815828383500559e+01 -9.067784175035164651e+00
-4.562992694070090494e+01 -4.601967438440786395e+01 -4.480631095349127690e+01 -4.649849940323704089e+01 -9.077926940700905334e+00
-4.563543133611005231e+01 -4.602556623365353516e+01 -4.481169685588423590e+01 -4.650410971801036908e+01 -9.083431336110052712e+00
-4.564519114814427780e+01 -4.603598161651270004e+01 -4.482123589724707102e+01 -4.651405800181954220e+01 -9.093191148144278202e+00
-4.565663298805384329e+01 -4.604829206999279734e+01 -4.483239858471485206e+01 -4.652573744939968492e+01 -9.104632988053843690e+00
-4.573624403446639519e+01 -4.610517141831699917e+01 -4.491633331312457500e+01 -4.660119331118161057e+01 -9.184244034466395590e+00
-4.574611803740263838e+01 -4.611541978163749889e+01 -4.492604996284758556e+01 -4.661119071555091864e+01 -9.194118037402638777e+00
-4.575436509561132681e+01 -4.612415863432268281e+01 -4.493413249121185515e+01 -4.661957816198491855e+01 -9.202365095611327206e+00
