# V, U, I, B, M_V
-5.232721012820371698e+01 -5.339262218129724147e+01 -5.212198706883960853e+01 -5.294948419859383648e+01 -1.577521012820371737e+01
-5.247809481926830699e+01 -5.354351078590651980e+01 -5.227365111581989510e+01 -5.309968602808072546e+01 -1.592609481926830739e+01
-5.266059487758959534e+01 -5.372602511966641714e+01 -5.245662490964028990e+01 -5.328178321543966689e+01 -1.610859487758959574e+01
-5.358761923749935363e+01 -5.438904855435988850e+01 -5.301943156100328736e+01 -5.439749529828045382e+01 -1.703561923749935403e+01
-5.198364396571435009e+01 -5.299018884171920973e+01 -5.153599083748690646e+01 -5.276486786436094434e+01 -1.543164396571435049e+01
-5.097623329663825587e+01 -5.200675328092506788e+01 -5.054666607982872506e+01 -5.175345580038807469e+01 -1.442423329663825626e+01
-5.041077438822885171e+01 -5.143112505631478371e+01 -4.992584294443584980e+01 -5.121702334459091333e+01 -1.385877438822885210e+01
-4.993582252743559025e+01 -5.094986930592915542e+01 -4.940309484334567003e+01 -5.076793982362043778e+01 -1.338382252743559064e+01
-4.956937093579087161e+01 -5.058137081016671743e+01 -4.896931876716039511e+01 -5.043656934873639131e+01 -1.301737093579087201e+01
-4.913048800460661170e+01 -5.013408289281841945e+01 -4.845923435149788361e+01 -5.002793989695145171e+01 -1.257848800460661209e+01
-4.897335769963910224e+01 -4.996494261500646417e+01 -4.824717080862630070e+01 -4.989169223503828476e+01 -1.242135769963910263e+01
-4.879824587868702679e+01 -4.977098235955243410e+01 -4.801890965361393171e+01 -4.973207656690520650e+01 -1.224624587868702719e+01
-4.853110529239426540e+01 -4.948315414645803401e+01 -4.768433747009388668e+01 -4.948698720171466903e+01 -1.197910529239426580e+01
-4.824605524652857014e+01 -4.919563570226213045e+01 -4.738969095070041249e+01 -4.920499288306106678e+01 -1.169405524652857054e+01
-4.828370755835877048e+01 -4.915065336574494381e+01 -4.741825515854096551e+01 -4.923366449291694380e+01 -1.173170755835877088e+01
-4.808503193051626567e+01 -4.898590263238261855e+01 -4.718311664644716075e+01 -4.905223898276850747e+01 -1.153303193051626607e+01
-4.792205102909171188e+01 -4.881818456055668776e+01 -4.700964080548958179e+01 -4.889194109339008776e+01 -1.137005102909171228e+01
