# V, U, I, B, M_V
-5.237009092610298921e+01 -5.343536023919108402e+01 -5.207149904368587556e+01 -5.306879983589744398e+01 -1.581809092610298961e+01
-5.250911910065163823e+01 -5.357439408012021431e+01 -5.220920601730248478e+01 -5.320886166462894096e+01 -1.595711910065163863e+01
-5.267795024693000983e+01 -5.374152173463312465e+01 -5.237265417486700159e+01 -5.338086418596064675e+01 -1.612595024693001022e+01
-5.359396279288498022e+01 -5.429519805462540916e+01 -5.299532982067695741e+01 -5.440359874277732644e+01 -1.704196279288498062e+01
-5.282126380506250030e+01 -5.347935110205583698e+01 -5.211241251783985717e+01 -5.368139445812211363e+01 -1.626926380506250069e+01
-5.242483158593115888e+01 -5.267365523107194747e+01 -5.179327590827261929e+01 -5.319493937131109362e+01 -1.587283158593115928e+01
-5.155089402462412806e+01 -5.197087218652862362e+01 -5.103528624828864935e+01 -5.230309564126621780e+01 -1.499889402462412846e+01
-5.087152169045936745e+01 -5.147819465977978126e+01 -5.011438106204071374e+01 -5.174212078855954644e+01 -1.431952169045936785e+01
-5.048857732211335758e+01 -5.110795522627530829e+01 -4.967978864022551733e+01 -5.137746253694862730e+01 -1.393657732211335798e+01
-4.991876845314914135e+01 -5.056613426230806851e+01 -4.909446716641087960e+01 -5.082075700618496938e+01 -1.336676845314914175e+01
-4.989310980185430111e+01 -5.047120124464036905e+01 -4.908134809940248999e+01 -5.078082581045024568e+01 -1.334110980185430151e+01
-4.986747580012122683e+01 -5.036817292385700284e+01 -4.908507611400888493e+01 -5.073491612274797546e+01 -1.331547580012122722e+01
-4.966324051973465004e+01 -5.003832308697778330e+01 -4.914238349686704055e+01 -5.045329158020518889e+01 -1.311124051973465043e+01
-4.927113783422302618e+01 -4.975759997615148933e+01 -4.863164563588804867e+01 -5.012241827611394029e+01 -1.271913783422302657e+01
-4.927114909098638407e+01 -4.972781280159605899e+01 -4.847895833055155634e+01 -5.014198589136234574e+01 -1.271914909098638446e+01
-4.925391234015235398e+01 -4.966251782284921035e+01 -4.857156923967661299e+01 -5.008098636523602920e+01 -1.270191234015235437e+01
-4.910618864087733471e+01 -4.949484221164036057e+01 -4.847279055883792154e+01 -4.994039304696826775e+01 -1.255418864087733510e+01
-4.883795832041166562e+01 -4.917463942087501039e+01 -4.832427755082435539e+01 -4.964113073821300759e+01 -1.228595832041166602e+01
-4.864578987621203510e+01 -4.903577412127777535e+01 -4.804816853004867028e+01 -4.946584430793897980e+01 -1.209378987621203549e+01
-4.864087630385508731e+01 -4.899980183078798746e+01 -4.804013838162595817e+01 -4.945426468876716797e+01 -1.208887630385508771e+01
-4.870273635320663175e+01 -4.899047691843583152e+01 -4.818810578362783303e+01 -4.950017900645103452e+01 -1.215073635320663215e+01
-4.869132674231533287e+01 -4.893130929521878159e+01 -4.818301763179607633e+01 -4.947722594413595232e+01 -1.213932674231533326e+01
-4.868154841949807121e+01 -4.885313996474550180e+01 -4.819835759151238364e+01 -4.943106764860790747e+01 -1.212954841949807161e+01
-4.866362202319726293e+01 -4.882603675254306097e+01 -4.822567838837110799e+01 -4.938680156629148144e+01 -1.211162202319726333e+01
-4.858515651773464583e+01 -4.873191029179695022e+01 -4.824990878365582603e+01 -4.925981663600150284e+01 -1.203315651773464623e+01
-4.854581634680970126e+01 -4.862674644428776105e+01 -4.829641777820975079e+01 -4.917143305712423285e+01 -1.199381634680970166e+01
