# V, U, I, B, M_V
-5.303990383289128374e+01 -5.410671503217013623e+01 -5.275177192985800900e+01 -5.373237899860391309e+01 -1.648790383289128414e+01
-5.318864898582322809e+01 -5.425557272592403990e+01 -5.290108399059551658e+01 -5.388073815519113907e+01 -1.663664898582322849e+01
-5.336538020756113099e+01 -5.443240853857878392e+01 -5.307809344854596389e+01 -5.405730391261032253e+01 -1.681338020756113139e+01
-5.531607298126999694e+01 -5.548114948065887830e+01 -5.474042778030914747e+01 -5.606273121735220855e+01 -1.876407298126999734e+01
-5.398750652263786520e+01 -5.425496326343152020e+01 -5.338396216736047961e+01 -5.476476370078339073e+01 -1.743550652263786560e+01
-5.229361264998096459e+01 -5.310121893687401240e+01 -5.160158402589186011e+01 -5.315956643911468404e+01 -1.574161264998096499e+01
-5.154178334766587710e+01 -5.239948229636781463e+01 -5.079682260747702571e+01 -5.244410774638999584e+01 -1.498978334766587750e+01
-5.101247078464836449e+01 -5.190325078399867209e+01 -5.020817324872869136e+01 -5.194058860656927124e+01 -1.446047078464836488e+01
-5.073507415164132794e+01 -5.156689945725118207e+01 -4.989681425354902444e+01 -5.166674263758871888e+01 -1.418307415164132834e+01
-5.016854666527683548e+01 -5.100776441263018057e+01 -4.930332366990256787e+01 -5.111205085568121831e+01 -1.361654666527683588e+01
-5.012741543524199272e+01 -5.089133753324038878e+01 -4.926400308342682166e+01 -5.105996175182185937e+01 -1.357541543524199312e+01
-5.004504671424846407e+01 -5.073749212639165762e+01 -4.927551183943523938e+01 -5.093660344809380547e+01 -1.349304671424846447e+01
-4.964627891956276784e+01 -5.040093994693737045e+01 -4.876091603745528147e+01 -5.058395194223025015e+01 -1.309427891956276824e+01
-4.953941982789796583e+01 -5.019076200527617715e+01 -4.869279585012262146e+01 -5.045524869959281489e+01 -1.298741982789796623e+01
-4.950519266919685180e+01 -5.012001561191457455e+01 -4.866854831187954744e+01 -5.041365789300761691e+01 -1.295319266919685219e+01
-4.946989846928379109e+01 -5.003932207018799971e+01 -4.864814120355177351e+01 -5.036357482881339820e+01 -1.291789846928379148e+01
-4.926673303039188312e+01 -4.981588829122977558e+01 -4.845889984990395760e+01 -5.015095670428188868e+01 -1.271473303039188352e+01
-4.872386468786693570e+01 -4.943472365921378753e+01 -4.782826826418958177e+01 -4.966143135506118966e+01 -1.217186468786693609e+01
-4.872480301108560496e+01 -4.941963070237478206e+01 -4.783234127365463451e+01 -4.965920472871285085e+01 -1.217280301108560536e+01
-4.881329380042561894e+01 -4.943633906332151895e+01 -4.795454941175783148e+01 -4.972790779308667908e+01 -1.226129380042561934e+01
