# V, U, I, B, M_V
-5.241379806058069590e+01 -5.347537240432467343e+01 -5.209416681615628875e+01 -5.312500464753821205e+01 -1.586179806058069630e+01
-5.250565201855408759e+01 -5.356719773535006368e+01 -5.215469329849536706e+01 -5.323963109901867341e+01 -1.595365201855408799e+01
-5.268807689705506903e+01 -5.372952463083005625e+01 -5.224782033914052448e+01 -5.347331562837325691e+01 -1.613607689705506942e+01
-5.342028963805719854e+01 -5.415814592805113392e+01 -5.273786328206642793e+01 -5.426443004985715390e+01 -1.686828963805719894e+01
-5.275760705310759846e+01 -5.308756752366118548e+01 -5.221492452319239419e+01 -5.346163693032667652e+01 -1.620560705310759886e+01
-5.178820757166873534e+01 -5.233045216064255101e+01 -5.107430907812443621e+01 -5.264141088428601023e+01 -1.523620757166873574e+01
-5.174974376279257626e+01 -5.180161563433573235e+01 -5.136250101567480186e+01 -5.235751127655455406e+01 -1.519774376279257666e+01
-5.160392160926236471e+01 -5.126138013723745246e+01 -5.153638252502933881e+01 -5.206453550400485142e+01 -1.505192160926236511e+01
-5.074850870294508098e+01 -5.065216261914042661e+01 -5.097641136495377623e+01 -5.125377591419723444e+01 -1.419650870294508138e+01
-5.034480846478732019e+01 -5.038725352571735527e+01 -5.049291384968182683e+01 -5.092842923861247328e+01 -1.379280846478732059e+01
-5.009111570821943360e+01 -5.009229464329380477e+01 -5.035550118452420065e+01 -5.064919620186788052e+01 -1.353911570821943400e+01
-4.991354851237054646e+01 -4.985770584628465940e+01 -5.006231333965924080e+01 -5.045219531086924292e+01 -1.336154851237054686e+01
-4.958853868719749869e+01 -4.934672087598234214e+01 -5.003512450829457237e+01 -4.992389617798346535e+01 -1.303653868719749909e+01
-4.900974124480586624e+01 -4.905629838292298217e+01 -4.962731552179471350e+01 -4.942569448416491440e+01 -1.245774124480586664e+01
-4.876721226915520191e+01 -4.887865354621388292e+01 -4.934381939318278398e+01 -4.921786497557754103e+01 -1.221521226915520231e+01
-4.864681328514108571e+01 -4.873257820159940934e+01 -4.926767698100476167e+01 -4.908285718602730441e+01 -1.209481328514108611e+01
-4.850358914657631715e+01 -4.859220305926906747e+01 -4.914980493573757059e+01 -4.895554058810465392e+01 -1.195158914657631755e+01
-4.837352384284596951e+01 -4.850584519993060439e+01 -4.895169534685205548e+01 -4.887475815689288083e+01 -1.182152384284596991e+01
-4.856606435625835871e+01 -4.858316804318881310e+01 -4.875663521217661156e+01 -4.910602515901393872e+01 -1.201406435625835911e+01
-4.845385701371321829e+01 -4.869037874741145089e+01 -4.846879471372777459e+01 -4.911960560556484268e+01 -1.190185701371321869e+01
-4.846411171182144528e+01 -4.866763792068287131e+01 -4.840262832219572431e+01 -4.915222122086195355e+01 -1.191211171182144568e+01
-4.838429251443356804e+01 -4.853098983233905273e+01 -4.840758333486540721e+01 -4.902044540819339602e+01 -1.183229251443356844e+01
-4.830962900236087165e+01 -4.847881492380003010e+01 -4.823554209846989949e+01 -4.899247874101644129e+01 -1.175762900236087205e+01
-4.822491597550856568e+01 -4.846256551256775680e+01 -4.810949061732691945e+01 -4.896234650930076526e+01 -1.167291597550856608e+01
-4.802020152132755015e+01 -4.822175059283822662e+01 -4.801889511980394332e+01 -4.871399344020518640e+01 -1.146820152132755055e+01
-4.797122810789889513e+01 -4.814337879433027467e+01 -4.793666558607861816e+01 -4.863264290210592833e+01 -1.141922810789889553e+01
-4.800148993345438697e+01 -4.814203867226463984e+01 -4.791068776428397769e+01 -4.868043485577090479e+01 -1.144948993345438737e+01
-4.793558321759165608e+01 -4.805922364721820372e+01 -4.798561297354387989e+01 -4.858060014954314454e+01 -1.138358321759165648e+01
-4.792865291720203658e+01 -4.802981051829652870e+01 -4.785377643963912675e+01 -4.857338380409199630e+01 -1.137665291720203697e+01
-4.789565493694227172e+01 -4.799288763318461548e+01 -4.789894272067375880e+01 -4.856592682364811964e+01 -1.134365493694227212e+01
-4.780970904421686640e+01 -4.790539051193079700e+01 -4.775808474403572035e+01 -4.846793343563465584e+01 -1.125770904421686680e+01
-4.780643392298087235e+01 -4.787104473429622686e+01 -4.773889268470642833e+01 -4.845370263942172784e+01 -1.125443392298087275e+01
-4.782252922528765282e+01 -4.780871645144201665e+01 -4.792894108778908446e+01 -4.842769355856768243e+01 -1.127052922528765322e+01
-4.776176035494182059e+01 -4.776063844955992721e+01 -4.780301198731031320e+01 -4.836560434217540205e+01 -1.120976035494182099e+01
-4.772095802544474452e+01 -4.769085525939580350e+01 -4.771385930601140757e+01 -4.831679578882158665e+01 -1.116895802544474492e+01
-4.776306759032664218e+01 -4.769177498281532479e+01 -4.777552679272582736e+01 -4.836807421645296046e+01 -1.121106759032664257e+01
-4.771051897062911706e+01 -4.767001348630835622e+01 -4.764254569130329742e+01 -4.833258002583445290e+01 -1.115851897062911746e+01
-4.765085657677828834e+01 -4.760760309434725457e+01 -4.755141911473023697e+01 -4.825675938571760071e+01 -1.109885657677828874e+01
-4.759696920847041923e+01 -4.753652578759052005e+01 -4.757748974164012168e+01 -4.820900646294646918e+01 -1.104496920847041963e+01
-4.754813669209080729e+01 -4.745911895088583776e+01 -4.749727013989059543e+01 -4.812900295593355082e+01 -1.099613669209080768e+01
-4.758212986301651171e+01 -4.747046756003989287e+01 -4.750482794891593130e+01 -4.816114732729875669e+01 -1.103012986301651210e+01
-4.753848271317673380e+01 -4.741737089239995839e+01 -4.751580238251544586e+01 -4.810692022673055845e+01 -1.098648271317673419e+01
-4.749271068902998394e+01 -4.734267552946549529e+01 -4.746863706507055269e+01 -4.803922042071232568e+01 -1.094071068902998434e+01
-4.764990972296952521e+01 -4.703780991843529335e+01 -4.803419560404257282e+01 -4.795210955177353185e+01 -1.109790972296952560e+01
-4.751824716326908771e+01 -4.701610281515223022e+01 -4.778680754182039436e+01 -4.787395674473272322e+01 -1.096624716326908811e+01
-4.747614354634418277e+01 -4.702175591611656813e+01 -4.769940565336666793e+01 -4.788091890915627857e+01 -1.092414354634418316e+01
-4.746168164581305149e+01 -4.704869688298690278e+01 -4.750798819612662527e+01 -4.789998770698326069e+01 -1.090968164581305189e+01
-4.744838274106864873e+01 -4.705870725702776269e+01 -4.752302058876395563e+01 -4.790227544382982927e+01 -1.089638274106864912e+01
-4.791676906028928329e+01 -4.765334336103745017e+01 -4.734550723565179453e+01 -4.863996797605562250e+01 -1.136476906028928369e+01
-4.780775308472306051e+01 -4.765706781784495405e+01 -4.731263825363950559e+01 -4.855601102339139885e+01 -1.125575308472306091e+01
-4.629554399109562013e+01 -4.668327486689295824e+01 -4.547260811063158314e+01 -4.716354617486172174e+01 -9.743543991095620527e+00
-4.630433853598126603e+01 -4.669281093755103029e+01 -4.548116836199192647e+01 -4.717254211703289002e+01 -9.752338535981266432e+00
-4.631390170343867396e+01 -4.670295914774568757e+01 -4.549051786567203948e+01 -4.718227581223851530e+01 -9.761901703438674360e+00
-4.632404446910442175e+01 -4.671379191281137366e+01 -4.550042848189478661e+01 -4.719261693164054350e+01 -9.772044469104422149e+00
-4.632954886451356913e+01 -4.671968376205705198e+01 -4.550581438428775272e+01 -4.719822724641388589e+01 -9.777548864513569526e+00
