# V, U, I, B, M_V
-5.001830703952155233e+01 -5.108178483816404025e+01 -4.970954599671230056e+01 -5.072310796412845946e+01 -1.346630703952155272e+01
-5.013881255988120955e+01 -5.120221791153429791e+01 -4.982296227027187285e+01 -5.084895139557011845e+01 -1.358681255988120995e+01
-5.031043308058193730e+01 -5.136677558246941544e+01 -4.994620353379835365e+01 -5.105260387599928151e+01 -1.375843308058193770e+01
-5.122225597527556573e+01 -5.198709167214662585e+01 -5.052604233818382085e+01 -5.208892018428598192e+01 -1.467025597527556613e+01
-5.025129792788192162e+01 -5.093033580939896865e+01 -4.954450052208108701e+01 -5.111261131472222985e+01 -1.369929792788192202e+01
-5.002624830025161629e+01 -5.039323641000691367e+01 -4.933528974841782144e+01 -5.085136975170617291e+01 -1.347424830025161668e+01
-4.972805450372509029e+01 -4.981979412681793917e+01 -4.919879543633311414e+01 -5.044618930125118084e+01 -1.317605450372509068e+01
-4.863934275952958330e+01 -4.895454893652907202e+01 -4.820126597531399426e+01 -4.938052302640293334e+01 -1.208734275952958370e+01
-4.866764968703221683e+01 -4.879381205786997100e+01 -4.839471597565114536e+01 -4.932400969857062734e+01 -1.211564968703221723e+01
-4.797513359684887746e+01 -4.826504061279815971e+01 -4.760686553702136337e+01 -4.870998009638262261e+01 -1.142313359684887786e+01
-4.798319362114290954e+01 -4.816900540455930013e+01 -4.764147498366554601e+01 -4.868888458365523775e+01 -1.143119362114290993e+01
-4.793163882091965888e+01 -4.802510061342871239e+01 -4.766203045383952031e+01 -4.860670806126056220e+01 -1.137963882091965928e+01
-4.765841521311116935e+01 -4.762253077820486169e+01 -4.754807823800039301e+01 -4.828718374338209429e+01 -1.110641521311116975e+01
-4.745740229675697464e+01 -4.738350997917957841e+01 -4.718511463997480604e+01 -4.813240014675899658e+01 -1.090540229675697503e+01
-4.744664256299835614e+01 -4.707971397981324913e+01 -4.732722186054689928e+01 -4.792560323025998059e+01 -1.089464256299835654e+01
-4.716890734638555216e+01 -4.656281817707329651e+01 -4.740206588511513530e+01 -4.731240390655833039e+01 -1.061690734638555256e+01
-4.669116176757835035e+01 -4.615120315458405287e+01 -4.719691498597310186e+01 -4.675536827831470532e+01 -1.013916176757835075e+01
-4.627867842640763740e+01 -4.611878030837360143e+01 -4.673153555489507482e+01 -4.660527134153734607e+01 -9.726678426407637801e+00
-4.600317713743504555e+01 -4.599649114603217015e+01 -4.633682665039437154e+01 -4.639960117274527818e+01 -9.451177137435045950e+00
