# V, U, I, B, M_V
-4.951453616465647656e+01 -5.057801396329895738e+01 -4.920577512184721769e+01 -5.021933708926337658e+01 -1.296253616465647696e+01
-4.963504168501611957e+01 -5.069844703666922214e+01 -4.931919139540678998e+01 -5.034518052070503558e+01 -1.308304168501611997e+01
-4.980666220571684732e+01 -5.086300470760431836e+01 -4.944243265893326367e+01 -5.054883300113419864e+01 -1.325466220571684772e+01
-5.071848510041047575e+01 -5.148332079728152877e+01 -5.002227146331873087e+01 -5.158514930942089194e+01 -1.416648510041047615e+01
-4.974752705301683164e+01 -5.042656493453388578e+01 -4.904072964721599703e+01 -5.060884043985714698e+01 -1.319552705301683204e+01
-4.952247742538652631e+01 -4.988946553514182369e+01 -4.883151887355274567e+01 -5.034759887684109003e+01 -1.297047742538652670e+01
-4.922428362885995057e+01 -4.931602325195284919e+01 -4.869502456146798863e+01 -4.994241842638604822e+01 -1.267228362885995097e+01
-4.813557188466450043e+01 -4.845077806166398204e+01 -4.769749510044890428e+01 -4.887675215153784336e+01 -1.158357188466450083e+01
-4.816387881216712685e+01 -4.829004118300488102e+01 -4.789094510078605538e+01 -4.882023882370553736e+01 -1.161187881216712725e+01
-4.747136272198343931e+01 -4.776126973793330421e+01 -4.710309466215593943e+01 -4.820620922151728394e+01 -1.091936272198343971e+01
-4.747942274627782666e+01 -4.766523452969422436e+01 -4.713770410880045603e+01 -4.818511370879014777e+01 -1.092742274627782706e+01
-4.742786794605456890e+01 -4.752132973856362241e+01 -4.715825957897443743e+01 -4.810293718639548644e+01 -1.087586794605456930e+01
-4.715464433824607937e+01 -4.711875990333977882e+01 -4.704430736313530304e+01 -4.778341286851700431e+01 -1.060264433824607977e+01
-4.695363142189188466e+01 -4.687973910431449553e+01 -4.668134376510973027e+01 -4.762862927189391371e+01 -1.040163142189188505e+01
-4.694287168813328037e+01 -4.657594310494816625e+01 -4.682345098568181641e+01 -4.742183235539489061e+01 -1.039087168813328077e+01
-4.666513647152046929e+01 -4.605904730220820653e+01 -4.689829501025005243e+01 -4.680863303169324752e+01 -1.011313647152046968e+01
-4.618739089271326037e+01 -4.564743227971896289e+01 -4.669314411110801188e+01 -4.625159740344962245e+01 -9.635390892713260769e+00
-4.577490755154254742e+01 -4.561500943350851145e+01 -4.622776468002999195e+01 -4.610150046667226320e+01 -9.222907551542547822e+00
-4.549940626256996978e+01 -4.549272027116708017e+01 -4.583305577552928867e+01 -4.589583029788019530e+01 -8.947406262569970181e+00
-4.552081912284862142e+01 -4.548689127764694717e+01 -4.591801782171464197e+01 -4.591129117113096925e+01 -8.968819122848621817e+00
-4.549495528097602914e+01 -4.539433277105192133e+01 -4.588936554560818593e+01 -4.584952760816066331e+01 -8.942955280976029542e+00
-4.544737370850762659e+01 -4.534333167870564552e+01 -4.582405718810960593e+01 -4.579707676119909365e+01 -8.895373708507626986e+00
-4.544591364851581261e+01 -4.527750377711097229e+01 -4.581773161701053709e+01 -4.577341075140864746e+01 -8.893913648515813009e+00
-4.537294705287606433e+01 -4.518993489485174564e+01 -4.576030578408460059e+01 -4.568351209839909899e+01 -8.820947052876064731e+00
-4.537951357134989649e+01 -4.508349365469418046e+01 -4.586455387659728444e+01 -4.562125334255001263e+01 -8.827513571349896893e+00
-4.529642519345489404e+01 -4.500764587749337409e+01 -4.579640219270057599e+01 -4.554245419869751288e+01 -8.744425193454894440e+00
-4.527227711134532484e+01 -4.491152667238604579e+01 -4.575318197368869733e+01 -4.550261602566966701e+01 -8.720277111345325238e+00
-4.511409231268218889e+01 -4.484963534759892667e+01 -4.557939085472533236e+01 -4.539037930245999775e+01 -8.562092312682189288e+00
-4.504266109631017656e+01 -4.479302792138654610e+01 -4.553680713791766976e+01 -4.533126536745069757e+01 -8.490661096310176958e+00
-4.491055581585827383e+01 -4.475028337523976774e+01 -4.529436942776588637e+01 -4.526843730805741473e+01 -8.358555815858274229e+00
-4.476129855662173895e+01 -4.471338822416035441e+01 -4.499506042660854632e+01 -4.520421092381783978e+01 -8.209298556621739351e+00
-4.481428115757388042e+01 -4.474241722932305976e+01 -4.500195831402807300e+01 -4.527428055729757972e+01 -8.262281157573880819e+00
