# V, U, I, B, M_V
-5.242911951507716140e+01 -5.348511801557813072e+01 -5.212615176760186841e+01 -5.312611533710833100e+01 -1.587711951507716179e+01
-5.251533462625639004e+01 -5.356646758462795788e+01 -5.216595669629075616e+01 -5.324516172798194447e+01 -1.596333462625639044e+01
-5.267782397296208075e+01 -5.371102421628769719e+01 -5.219301289390099186e+01 -5.348633749755497035e+01 -1.612582397296208114e+01
-5.325440795247555315e+01 -5.406801893652439617e+01 -5.258096620838202995e+01 -5.412288022126976017e+01 -1.670240795247555354e+01
-5.252846850992207806e+01 -5.304090279375971306e+01 -5.192390508681533845e+01 -5.330169864321423034e+01 -1.597646850992207845e+01
-5.197648163136611288e+01 -5.227328057480745827e+01 -5.140201594296296150e+01 -5.270566433680983209e+01 -1.542448163136611328e+01
-5.136087836702468934e+01 -5.152979200945377869e+01 -5.107501180011496444e+01 -5.193828350592323062e+01 -1.480887836702468974e+01
-5.058705835493391589e+01 -5.090854613512593119e+01 -5.016430103601726387e+01 -5.126655382048084419e+01 -1.403505835493391629e+01
-5.076864203169041900e+01 -5.059595896502787582e+01 -5.045715262515378186e+01 -5.132491107595777180e+01 -1.421664203169041940e+01
-5.001959686782740988e+01 -5.009866549090880739e+01 -5.034459644146678414e+01 -5.056617174453887742e+01 -1.346759686782741028e+01
-4.983517421875784237e+01 -4.985828821702089897e+01 -5.024949373028499622e+01 -5.035546812582215637e+01 -1.328317421875784277e+01
-4.958867068246163967e+01 -4.955797468069999923e+01 -5.016647399148275355e+01 -5.011038495624644895e+01 -1.303667068246164007e+01
-4.913079761195059803e+01 -4.925879178645669754e+01 -4.969467007502519351e+01 -4.968112952523792103e+01 -1.257879761195059842e+01
-4.929853041244158618e+01 -4.912977696496835733e+01 -4.959658756745695030e+01 -4.965689230029249046e+01 -1.274653041244158658e+01
-4.926344061322085111e+01 -4.905343311038017617e+01 -4.947218280310223548e+01 -4.963500740076376871e+01 -1.271144061322085150e+01
-4.917288567363659268e+01 -4.902183556341236681e+01 -4.928363808032364801e+01 -4.973175152977390212e+01 -1.262088567363659308e+01
-4.900108218018917938e+01 -4.906587666897450362e+01 -4.897847098093165386e+01 -4.966521646639429122e+01 -1.244908218018917978e+01
-4.853207998394969991e+01 -4.889326075761133694e+01 -4.837878952004918176e+01 -4.931397288971864157e+01 -1.198007998394970031e+01
-4.841213386084645265e+01 -4.873762337059093852e+01 -4.818329962053962845e+01 -4.918585514597988606e+01 -1.186013386084645305e+01
-4.830360655439885420e+01 -4.865934925371890074e+01 -4.817751472594076745e+01 -4.906673168644370264e+01 -1.175160655439885460e+01
-4.829192909374385323e+01 -4.860228893412841700e+01 -4.823710755042733211e+01 -4.903911415211445757e+01 -1.173992909374385363e+01
-4.836525995265436251e+01 -4.859348987068057113e+01 -4.819636616171366228e+01 -4.909265489203933441e+01 -1.181325995265436291e+01
-4.832809313089300929e+01 -4.852164007315135308e+01 -4.834646836928011737e+01 -4.903206380594128433e+01 -1.177609313089300969e+01
-4.828230028505881677e+01 -4.845348758462107952e+01 -4.826536490790785905e+01 -4.896529048705113496e+01 -1.173030028505881717e+01
