# V, U, I, B, M_V
-5.197420741730538651e+01 -5.304101861658423900e+01 -5.168607551427211177e+01 -5.266668258301801586e+01 -1.542220741730538691e+01
-5.212295257023732376e+01 -5.318987631033812846e+01 -5.183538757500960514e+01 -5.281504173960522053e+01 -1.557095257023732415e+01
-5.229968379197522665e+01 -5.336671212299287959e+01 -5.201239703296006667e+01 -5.299160749702443240e+01 -1.574768379197522705e+01
-5.425037656568407840e+01 -5.441545306507297397e+01 -5.367473136472324313e+01 -5.499703480176630421e+01 -1.769837656568407880e+01
-5.292181010705195376e+01 -5.318926684784560877e+01 -5.231826575177456817e+01 -5.369906728519748640e+01 -1.636981010705195416e+01
-5.122791623439504605e+01 -5.203552252128809386e+01 -5.053588761030594867e+01 -5.209387002352876550e+01 -1.467591623439504644e+01
-5.047608693207997277e+01 -5.133378588078191029e+01 -4.973112619189112138e+01 -5.137841133080408440e+01 -1.392408693207997317e+01
-4.994677436906245305e+01 -5.083755436841276776e+01 -4.914247683314278703e+01 -5.087489219098335980e+01 -1.339477436906245345e+01
-4.966937773605542361e+01 -5.050120304166526353e+01 -4.883111783796312011e+01 -5.060104622200280744e+01 -1.311737773605542401e+01
-4.910285024969092404e+01 -4.994206799704426203e+01 -4.823762725431666354e+01 -5.004635444009530687e+01 -1.255085024969092444e+01
-4.906171901965608129e+01 -4.982564111765447734e+01 -4.819830666784091022e+01 -4.999426533623595503e+01 -1.250971901965608168e+01
-4.897935029866255263e+01 -4.967179571080575329e+01 -4.820981542384933505e+01 -4.987090703250790114e+01 -1.242735029866255303e+01
-4.858058250397686351e+01 -4.933524353135146612e+01 -4.769521962186937003e+01 -4.951825552664434582e+01 -1.202858250397686390e+01
-4.847372341231206150e+01 -4.912506558969027282e+01 -4.762709943453671713e+01 -4.938955228400691055e+01 -1.192172341231206190e+01
-4.843949625361094036e+01 -4.905431919632866311e+01 -4.760285189629364311e+01 -4.934796147742170547e+01 -1.188749625361094076e+01
-4.840420205369787965e+01 -4.897362565460209538e+01 -4.758244478796586918e+01 -4.929787841322748676e+01 -1.185220205369788005e+01
-4.820103661480597879e+01 -4.875019187564387124e+01 -4.739320343431803906e+01 -4.908526028869598434e+01 -1.164903661480597918e+01
-4.765816827228103136e+01 -4.836902724362786898e+01 -4.676257184860367744e+01 -4.859573493947527822e+01 -1.110616827228103176e+01
-4.765910659549970063e+01 -4.835393428678887773e+01 -4.676664485806873017e+01 -4.859350831312694652e+01 -1.110710659549970103e+01
-4.774759738483970750e+01 -4.837064264773560751e+01 -4.688885299617192004e+01 -4.866221137750076764e+01 -1.119559738483970790e+01
-4.769426246418561988e+01 -4.826411359842522586e+01 -4.701718444237913275e+01 -4.854665697441822658e+01 -1.114226246418562027e+01
-4.755416613203935583e+01 -4.822106670098656167e+01 -4.666756428059824202e+01 -4.848300492177936860e+01 -1.100216613203935623e+01
