# V, U, I, B, M_V
-5.280669074379979122e+01 -5.387196005688789313e+01 -5.250809886138267757e+01 -5.350539965359424599e+01 -1.625469074379979162e+01
-5.294571891834844735e+01 -5.401099389781703053e+01 -5.264580583499929389e+01 -5.364546148232574296e+01 -1.639371891834844774e+01
-5.311455006462681183e+01 -5.417812155232993376e+01 -5.280925399256381070e+01 -5.381746400365745586e+01 -1.656255006462681223e+01
-5.403056261058179643e+01 -5.473179787232221827e+01 -5.343192963837377363e+01 -5.484019856047414265e+01 -1.747856261058179683e+01
-5.325786362275930941e+01 -5.391595091975264609e+01 -5.254901233553666628e+01 -5.411799427581891564e+01 -1.670586362275930981e+01
-5.286143140362796089e+01 -5.311025504876874948e+01 -5.222987572596942130e+01 -5.363153918900789563e+01 -1.630943140362796129e+01
-5.198749384232093718e+01 -5.240747200422543273e+01 -5.147188606598545846e+01 -5.273969545896302691e+01 -1.543549384232093757e+01
-5.130812150815617656e+01 -5.191479447747659037e+01 -5.055098087973752286e+01 -5.217872060625634845e+01 -1.475612150815617696e+01
-5.092517713981016669e+01 -5.154455504397211740e+01 -5.011638845792232644e+01 -5.181406235464542931e+01 -1.437317713981016709e+01
-5.035536827084595046e+01 -5.100273408000487052e+01 -4.953106698410768161e+01 -5.125735682388177850e+01 -1.380336827084595086e+01
-5.032970961955111022e+01 -5.090780106233717106e+01 -4.951794791709929200e+01 -5.121742562814705479e+01 -1.377770961955111062e+01
-5.030407561781803594e+01 -5.080477274155381195e+01 -4.952167593170568693e+01 -5.117151594044478458e+01 -1.375207561781803633e+01
-5.009984033743145915e+01 -5.047492290467459952e+01 -4.957898331456384255e+01 -5.088989139790199800e+01 -1.354784033743145955e+01
-4.970773765191982818e+01 -5.019419979384829134e+01 -4.906824545358485778e+01 -5.055901809381074941e+01 -1.315573765191982858e+01
-4.970774890868319318e+01 -5.016441261929286810e+01 -4.891555814824836546e+01 -5.057858570905914775e+01 -1.315574890868319358e+01
-4.969051215784915598e+01 -5.009911764054601235e+01 -4.900816905737342211e+01 -5.051758618293283831e+01 -1.313851215784915638e+01
-4.954278845857413671e+01 -4.993144202933716969e+01 -4.890939037653473775e+01 -5.037699286466506976e+01 -1.299078845857413711e+01
-4.927455813810847474e+01 -4.961123923857181239e+01 -4.876087736852117160e+01 -5.007773055590980960e+01 -1.272255813810847513e+01
-4.908238969390883710e+01 -4.947237393897458446e+01 -4.848476834774547939e+01 -4.990244412563578180e+01 -1.253038969390883750e+01
-4.907747612155189643e+01 -4.943640164848478946e+01 -4.847673819932276018e+01 -4.989086450646396997e+01 -1.252547612155189682e+01
-4.913933617090343375e+01 -4.942707673613263353e+01 -4.862470560132464215e+01 -4.993677882414785074e+01 -1.258733617090343415e+01
-4.912792656001214198e+01 -4.936790911291559070e+01 -4.861961744949287834e+01 -4.991382576183276143e+01 -1.257592656001214237e+01
-4.911814823719488032e+01 -4.928973978244230381e+01 -4.863495740920918564e+01 -4.986766746630471658e+01 -1.256614823719488072e+01
-4.910022184089406494e+01 -4.926263657023987008e+01 -4.866227820606791710e+01 -4.982340138398829055e+01 -1.254822184089406534e+01
-4.902175633543145494e+01 -4.916851010949375933e+01 -4.868650860135262803e+01 -4.969641645369830485e+01 -1.246975633543145534e+01
-4.898241616450651037e+01 -4.906334626198457016e+01 -4.873301759590655990e+01 -4.960803287482104196e+01 -1.243041616450651077e+01
-4.887122700589475954e+01 -4.899676797964865216e+01 -4.863993004695498001e+01 -4.952722018139957783e+01 -1.231922700589475994e+01
-4.869373161344664425e+01 -4.888722883319442047e+01 -4.843737290887720093e+01 -4.938122603844880842e+01 -1.214173161344664464e+01
-4.856144854434818114e+01 -4.872563338585452186e+01 -4.833939618919045245e+01 -4.923086391752364221e+01 -1.200944854434818154e+01
-4.823365226115768678e+01 -4.849774185406138827e+01 -4.781985692489453044e+01 -4.896524021448509956e+01 -1.168165226115768718e+01
-4.832913625987018946e+01 -4.854615160188898670e+01 -4.788019402736856733e+01 -4.906077041572995512e+01 -1.177713625987018986e+01
-4.827601570886103133e+01 -4.848643249993108384e+01 -4.782155755154114729e+01 -4.900789308053155935e+01 -1.172401570886103173e+01
-4.838296497344150282e+01 -4.852736264888096684e+01 -4.790480571751735539e+01 -4.910974058179627377e+01 -1.183096497344150322e+01
-4.832298576842025284e+01 -4.848488472406567951e+01 -4.784986774817691924e+01 -4.904121889320842342e+01 -1.177098576842025324e+01
-4.839751355444109038e+01 -4.847619043029881425e+01 -4.797171004045596021e+01 -4.907738582184482112e+01 -1.184551355444109078e+01
-4.832194876615865553e+01 -4.843388273501615515e+01 -4.787192576652323339e+01 -4.902315656770626617e+01 -1.176994876615865593e+01
-4.833142410448249393e+01 -4.838145681166939482e+01 -4.798732446980550037e+01 -4.897706084866322129e+01 -1.177942410448249433e+01
-4.830209908905935379e+01 -4.840687680554330541e+01 -4.788200656830350965e+01 -4.899279388916770017e+01 -1.175009908905935418e+01
-4.832816105443178856e+01 -4.835142879557927387e+01 -4.803641197154406228e+01 -4.896472070230934293e+01 -1.177616105443178895e+01
-4.829500145049060222e+01 -4.836007892872320468e+01 -4.788385533710378184e+01 -4.898232879836555753e+01 -1.174300145049060262e+01
-4.830332411888502975e+01 -4.828929172616846444e+01 -4.800246794693124741e+01 -4.893816020837294900e+01 -1.175132411888503015e+01
-4.856720790899886708e+01 -4.819776745408313445e+01 -4.851608215909721622e+01 -4.899659194941393281e+01 -1.201520790899886748e+01
-4.847042293508863509e+01 -4.812390851195327457e+01 -4.846041358754892769e+01 -4.889409081039252669e+01 -1.191842293508863548e+01
-4.862447270812979383e+01 -4.864317139419906511e+01 -4.791809029528011621e+01 -4.942963303508160777e+01 -1.207247270812979423e+01
-4.835008667732144261e+01 -4.850815845408234850e+01 -4.778064325914954935e+01 -4.913573433825050785e+01 -1.179808667732144301e+01
-4.818827833546893658e+01 -4.842612307392847271e+01 -4.744008800307143048e+01 -4.902162841578468999e+01 -1.163627833546893697e+01
-4.816969149105818815e+01 -4.831886340745825947e+01 -4.760872731269501656e+01 -4.895228612487998276e+01 -1.161769149105818855e+01
-4.649146580804455198e+01 -4.702598220346281721e+01 -4.562467116262603639e+01 -4.739039476333361733e+01 -9.939465808044552375e+00
-4.650066821929065952e+01 -4.703610104425635541e+01 -4.563361518370580683e+01 -4.739983768069946279e+01 -9.948668219290659920e+00
-4.656287700817465236e+01 -4.708427678535129246e+01 -4.569852843376676788e+01 -4.745960788569020394e+01 -1.001087700817465276e+01
-4.657559478070194814e+01 -4.709804480481938782e+01 -4.571095186533250398e+01 -4.747261029305753510e+01 -1.002359478070194854e+01
-4.658664287174083540e+01 -4.710978542211739750e+01 -4.572177955698835206e+01 -4.748385204848439400e+01 -1.003464287174083580e+01
-4.660002324762643866e+01 -4.712401524521195029e+01 -4.573490829849323802e+01 -4.749747070794867909e+01 -1.004802324762643906e+01
-4.661046160601255650e+01 -4.713509592656312464e+01 -4.574514203492078934e+01 -4.750808867496742494e+01 -1.005846160601255690e+01
-4.665883597067437449e+01 -4.717329457529569225e+01 -4.579540263935028577e+01 -4.755439572685591543e+01 -1.010683597067437489e+01
-4.673255354037926423e+01 -4.723684653881555562e+01 -4.587324965703915325e+01 -4.762728977189354396e+01 -1.018055354037926463e+01
-4.674475426175568771e+01 -4.724975076689056408e+01 -4.588524297293984944e+01 -4.763968778097640211e+01 -1.019275426175568811e+01
