lambda,albedo,<cos>,C_ext/H,K_abs,<cos^2>
4.070e+03,0.000e+00,0.000e+00,5.890e-28,4.210e-02,4.000e-01
3.980e+03,0.000e+00,0.000e+00,6.120e-28,4.380e-02,4.000e-01
3.890e+03,0.000e+00,0.000e+00,6.370e-28,4.550e-02,4.000e-01
3.800e+03,0.000e+00,0.000e+00,6.620e-28,4.730e-02,4.000e-01
3.720e+03,0.000e+00,0.000e+00,6.880e-28,4.920e-02,4.000e-01
3.630e+03,0.000e+00,0.000e+00,7.150e-28,5.110e-02,4.000e-01
3.550e+03,0.000e+00,0.000e+00,7.430e-28,5.320e-02,4.000e-01
3.470e+03,0.000e+00,0.000e+00,7.730e-28,5.530e-02,4.000e-01
3.390e+03,0.000e+00,0.000e+00,8.030e-28,5.750e-02,4.000e-01
3.310e+03,0.000e+00,0.000e+00,8.350e-28,5.970e-02,4.000e-01
3.240e+03,0.000e+00,0.000e+00,8.680e-28,6.210e-02,4.000e-01
3.160e+03,0.000e+00,0.000e+00,9.020e-28,6.450e-02,4.000e-01
3.090e+03,0.000e+00,0.000e+00,9.380e-28,6.710e-02,4.000e-01
3.020e+03,0.000e+00,0.000e+00,9.750e-28,6.970e-02,4.000e-01
2.950e+03,0.000e+00,0.000e+00,1.010e-27,7.250e-02,4.000e-01
2.880e+03,0.000e+00,0.000e+00,1.050e-27,7.530e-02,4.000e-01
2.820e+03,0.000e+00,0.000e+00,1.100e-27,7.830e-02,4.000e-01
2.750e+03,0.000e+00,0.000e+00,1.140e-27,8.140e-02,4.000e-01
2.690e+03,0.000e+00,0.000e+00,1.180e-27,8.460e-02,4.000e-01
2.630e+03,0.000e+00,0.000e+00,1.230e-27,8.800e-02,4.000e-01
2.570e+03,0.000e+00,0.000e+00,1.280e-27,9.140e-02,4.000e-01
2.510e+03,0.000e+00,0.000e+00,1.330e-27,9.500e-02,4.000e-01
2.450e+03,0.000e+00,0.000e+00,1.380e-27,9.880e-02,4.000e-01
2.400e+03,0.000e+00,0.000e+00,1.440e-27,1.030e-01,4.000e-01
2.340e+03,0.000e+00,0.000e+00,1.490e-27,1.070e-01,4.000e-01
2.290e+03,0.000e+00,0.000e+00,1.550e-27,1.110e-01,4.000e-01
2.240e+03,0.000e+00,0.000e+00,1.610e-27,1.150e-01,4.000e-01
2.190e+03,0.000e+00,0.000e+00,1.670e-27,1.200e-01,4.000e-01
2.140e+03,0.000e+00,0.000e+00,1.740e-27,1.240e-01,4.000e-01
2.090e+03,0.000e+00,0.000e+00,1.810e-27,1.290e-01,4.000e-01
2.040e+03,0.000e+00,0.000e+00,1.880e-27,1.340e-01,4.000e-01
2.000e+03,0.000e+00,0.000e+00,1.950e-27,1.400e-01,4.000e-01
1.950e+03,0.000e+00,0.000e+00,2.030e-27,1.450e-01,4.000e-01
1.910e+03,0.000e+00,0.000e+00,2.110e-27,1.510e-01,4.000e-01
1.860e+03,0.000e+00,0.000e+00,2.190e-27,1.570e-01,4.000e-01
1.820e+03,0.000e+00,0.000e+00,2.280e-27,1.630e-01,4.000e-01
1.780e+03,0.000e+00,0.000e+00,2.370e-27,1.690e-01,4.000e-01
1.740e+03,0.000e+00,0.000e+00,2.460e-27,1.760e-01,4.000e-01
1.700e+03,0.000e+00,0.000e+00,2.550e-27,1.830e-01,4.000e-01
1.660e+03,0.000e+00,0.000e+00,2.650e-27,1.900e-01,4.000e-01
1.620e+03,0.000e+00,0.000e+00,2.760e-27,1.970e-01,4.000e-01
1.580e+03,0.000e+00,0.000e+00,2.870e-27,2.050e-01,4.000e-01
1.550e+03,0.000e+00,0.000e+00,2.980e-27,2.130e-01,4.000e-01
1.510e+03,0.000e+00,0.000e+00,3.100e-27,2.210e-01,4.000e-01
1.480e+03,0.000e+00,0.000e+00,3.220e-27,2.300e-01,4.000e-01
1.450e+03,0.000e+00,0.000e+00,3.340e-27,2.390e-01,4.000e-01
1.410e+03,0.000e+00,0.000e+00,3.470e-27,2.480e-01,4.000e-01
