lambda,albedo,<cos>,C_ext/H,K_abs,<cos^2>
1.510e+01,1.600e-03,-2.870e-02,1.150e-23,8.230e+02,3.999e-01
1.480e+01,1.900e-03,-2.910e-02,1.100e-23,7.840e+02,3.999e-01
1.450e+01,2.100e-03,-2.930e-02,1.050e-23,7.510e+02,3.999e-01
1.410e+01,2.400e-03,-2.930e-02,1.040e-23,7.400e+02,3.999e-01
1.380e+01,2.600e-03,-2.930e-02,1.070e-23,7.610e+02,3.999e-01
1.350e+01,2.700e-03,-2.920e-02,1.150e-23,8.170e+02,3.999e-01
1.320e+01,2.800e-03,-2.920e-02,1.250e-23,8.890e+02,3.999e-01
1.290e+01,2.800e-03,-2.920e-02,1.360e-23,9.710e+02,3.999e-01
1.260e+01,2.800e-03,-2.930e-02,1.510e-23,1.070e+03,3.999e-01
1.230e+01,2.800e-03,-2.940e-02,1.650e-23,1.180e+03,3.999e-01
1.200e+01,2.800e-03,-2.970e-02,1.820e-23,1.300e+03,3.999e-01
1.170e+01,2.800e-03,-3.010e-02,2.020e-23,1.440e+03,3.999e-01
1.150e+01,2.800e-03,-3.140e-02,2.250e-23,1.600e+03,3.999e-01
1.130e+01,2.800e-03,-3.120e-02,2.370e-23,1.690e+03,3.999e-01
1.120e+01,2.800e-03,-3.130e-02,2.440e-23,1.740e+03,3.999e-01
1.100e+01,2.900e-03,-3.190e-02,2.670e-23,1.910e+03,3.998e-01
1.070e+01,2.900e-03,-3.240e-02,2.960e-23,2.110e+03,3.998e-01
1.050e+01,2.800e-03,-3.300e-02,3.300e-23,2.360e+03,3.998e-01
1.040e+01,2.800e-03,-3.350e-02,3.440e-23,2.450e+03,3.998e-01
1.020e+01,2.900e-03,-3.420e-02,3.560e-23,2.540e+03,3.998e-01
1.000e+01,3.000e-03,-3.540e-02,3.740e-23,2.660e+03,3.998e-01
9.900e+00,3.000e-03,-3.590e-02,3.820e-23,2.720e+03,3.998e-01
9.800e+00,3.000e-03,-3.650e-02,3.910e-23,2.790e+03,3.998e-01
9.770e+00,3.100e-03,-3.660e-02,3.940e-23,2.810e+03,3.998e-01
9.700e+00,3.100e-03,-3.700e-02,4.000e-23,2.860e+03,3.998e-01
9.600e+00,3.100e-03,-3.770e-02,4.090e-23,2.910e+03,3.998e-01
9.550e+00,3.200e-03,-3.810e-02,4.110e-23,2.930e+03,3.998e-01
9.500e+00,3.200e-03,-3.850e-02,4.130e-23,2.940e+03,3.998e-01
9.400e+00,3.300e-03,-3.940e-02,4.110e-23,2.930e+03,3.997e-01
9.330e+00,3.400e-03,-4.010e-02,4.060e-23,2.900e+03,3.997e-01
9.120e+00,4.000e-03,-4.270e-02,3.690e-23,2.630e+03,3.997e-01
8.910e+00,4.900e-03,-4.510e-02,3.160e-23,2.250e+03,3.997e-01
8.710e+00,6.200e-03,-4.700e-02,2.700e-23,1.920e+03,3.997e-01
8.600e+00,7.000e-03,-4.780e-02,2.510e-23,1.780e+03,3.996e-01
8.510e+00,7.700e-03,-4.840e-02,2.360e-23,1.680e+03,3.996e-01
8.320e+00,9.900e-03,-4.970e-02,2.020e-23,1.430e+03,3.996e-01
8.130e+00,1.350e-02,-5.080e-02,1.610e-23,1.140e+03,3.996e-01
7.940e+00,1.860e-02,-5.150e-02,1.290e-23,9.050e+02,3.996e-01
7.870e+00,2.080e-02,-5.180e-02,1.200e-23,8.370e+02,3.995e-01
7.760e+00,2.480e-02,-5.210e-02,1.060e-23,7.420e+02,3.995e-01
7.620e+00,3.030e-02,-5.250e-02,9.450e-24,6.560e+02,3.995e-01
7.590e+00,3.180e-02,-5.250e-02,9.210e-24,6.380e+02,3.995e-01
7.410e+00,3.960e-02,-5.290e-02,8.170e-24,5.610e+02,3.995e-01
7.240e+00,4.600e-02,-5.320e-02,7.810e-24,5.330e+02,3.994e-01
7.080e+00,5.110e-02,-5.350e-02,7.770e-24,5.270e+02,3.994e-01
6.920e+00,5.560e-02,-5.380e-02,7.890e-24,5.330e+02,3.994e-01
6.760e+00,5.980e-02,-5.390e-02,8.110e-24,5.450e+02,3.993e-01
6.610e+00,6.440e-02,-5.400e-02,8.320e-24,5.570e+02,3.993e-01
6.460e+00,6.910e-02,-5.400e-02,8.560e-24,5.700e+02,3.993e-01
6.310e+00,7.180e-02,-5.500e-02,9.090e-24,6.030e+02,3.992e-01
6.250e+00,7.150e-02,-5.400e-02,9.510e-24,6.320e+02,3.992e-01
6.170e+00,7.570e-02,-5.380e-02,9.500e-24,6.280e+02,3.992e-01
6.030e+00,8.580e-02,-5.360e-02,9.250e-24,6.050e+02,3.992e-01
5.890e+00,9.290e-02,-5.320e-02,9.420e-24,6.110e+02,3.991e-01
5.750e+00,9.910e-02,-5.260e-02,9.720e-24,6.260e+02,3.991e-01
5.730e+00,1.002e-01,-5.250e-02,9.780e-24,6.290e+02,3.991e-01
5.620e+00,1.060e-01,-5.190e-02,1.000e-23,6.390e+02,3.991e-01
5.500e+00,1.134e-01,-5.110e-02,1.030e-23,6.530e+02,3.990e-01
5.370e+00,1.203e-01,-5.010e-02,1.070e-23,6.710e+02,3.990e-01
5.250e+00,1.273e-01,-4.890e-02,1.110e-23,6.910e+02,3.990e-01
5.130e+00,1.351e-01,-4.760e-02,1.150e-23,7.090e+02,3.989e-01
5.010e+00,1.428e-01,-4.610e-02,1.190e-23,7.290e+02,3.989e-01
4.900e+00,1.505e-01,-4.450e-02,1.240e-23,7.520e+02,3.989e-01
4.790e+00,1.584e-01,-4.280e-02,1.290e-23,7.760e+02,3.988e-01
4.750e+00,1.610e-01,-4.220e-02,1.310e-23,7.840e+02,3.988e-01
4.680e+00,1.661e-01,-4.100e-02,1.340e-23,8.000e+02,3.988e-01
4.680e+00,1.663e-01,-4.090e-02,1.340e-23,8.010e+02,3.988e-01
4.570e+00,1.744e-01,-3.880e-02,1.400e-23,8.270e+02,3.988e-01
4.490e+00,1.805e-01,-3.720e-02,1.450e-23,8.470e+02,3.988e-01
4.470e+00,1.826e-01,-3.650e-02,1.460e-23,8.540e+02,3.988e-01
4.370e+00,1.909e-01,-3.400e-02,1.530e-23,8.830e+02,3.987e-01
4.270e+00,1.993e-01,-3.130e-02,1.590e-23,9.130e+02,3.987e-01
4.170e+00,2.077e-01,-2.840e-02,1.670e-23,9.430e+02,3.987e-01
4.070e+00,2.163e-01,-2.520e-02,1.740e-23,9.750e+02,3.987e-01
4.050e+00,2.184e-01,-2.450e-02,1.760e-23,9.830e+02,3.987e-01
3.980e+00,2.249e-01,-2.190e-02,1.820e-23,1.010e+03,3.987e-01
3.890e+00,2.336e-01,-1.830e-02,1.900e-23,1.040e+03,3.987e-01
3.800e+00,2.424e-01,-1.450e-02,1.990e-23,1.080e+03,3.987e-01
3.780e+00,2.445e-01,-1.360e-02,2.010e-23,1.090e+03,3.987e-01
3.720e+00,2.511e-01,-1.050e-02,2.080e-23,1.110e+03,3.987e-01
3.630e+00,2.599e-01,-6.300e-03,2.170e-23,1.150e+03,3.988e-01
3.550e+00,2.684e-01,-1.800e-03,2.270e-23,1.190e+03,3.988e-01
3.550e+00,2.686e-01,-1.700e-03,2.270e-23,1.190e+03,3.988e-01
3.470e+00,2.773e-01,3.100e-03,2.370e-23,1.230e+03,3.988e-01
3.450e+00,2.792e-01,4.100e-03,2.400e-23,1.240e+03,3.988e-01
3.390e+00,2.859e-01,8.100e-03,2.480e-23,1.270e+03,3.989e-01
3.310e+00,2.935e-01,1.340e-02,2.600e-23,1.310e+03,3.989e-01
3.240e+00,3.032e-01,1.890e-02,2.710e-23,1.350e+03,3.990e-01
3.160e+00,3.119e-01,2.460e-02,2.830e-23,1.390e+03,3.991e-01
3.090e+00,3.205e-01,3.060e-02,2.960e-23,1.440e+03,3.991e-01
3.020e+00,3.290e-01,3.670e-02,3.090e-23,1.480e+03,3.992e-01
2.950e+00,3.374e-01,4.300e-02,3.230e-23,1.530e+03,3.993e-01
2.880e+00,3.457e-01,4.940e-02,3.370e-23,1.580e+03,3.994e-01
2.820e+00,3.539e-01,5.600e-02,3.520e-23,1.630e+03,3.995e-01
2.750e+00,3.620e-01,6.270e-02,3.670e-23,1.680e+03,3.996e-01
2.690e+00,3.700e-01,6.940e-02,3.840e-23,1.730e+03,3.997e-01
2.630e+00,3.779e-01,7.630e-02,4.000e-23,1.780e+03,3.999e-01
2.630e+00,3.785e-01,7.680e-02,4.020e-23,1.790e+03,3.999e-01
2.570e+00,3.856e-01,8.310e-02,4.180e-23,1.840e+03,4.001e-01
2.510e+00,3.933e-01,9.000e-02,4.360e-23,1.890e+03,4.002e-01
2.450e+00,4.009e-01,9.680e-02,4.540e-23,1.950e+03,4.004e-01
2.400e+00,4.085e-01,1.036e-01,4.740e-23,2.000e+03,4.006e-01
2.340e+00,4.159e-01,1.103e-01,4.940e-23,2.060e+03,4.008e-01
2.290e+00,4.232e-01,1.170e-01,5.140e-23,2.120e+03,4.011e-01
2.240e+00,4.304e-01,1.237e-01,5.360e-23,2.180e+03,4.014e-01
2.200e+00,4.358e-01,1.288e-01,5.530e-23,2.230e+03,4.017e-01
2.190e+00,4.375e-01,1.304e-01,5.580e-23,2.250e+03,4.018e-01
2.170e+00,4.406e-01,1.333e-01,5.680e-23,2.270e+03,4.019e-01
2.150e+00,4.428e-01,1.354e-01,5.750e-23,2.290e+03,4.021e-01
2.140e+00,4.445e-01,1.370e-01,5.810e-23,2.310e+03,4.022e-01
2.120e+00,4.467e-01,1.391e-01,5.890e-23,2.330e+03,4.023e-01
2.120e+00,4.470e-01,1.393e-01,5.900e-23,2.330e+03,4.023e-01
2.090e+00,4.513e-01,1.434e-01,6.050e-23,2.370e+03,4.026e-01
2.040e+00,4.580e-01,1.498e-01,6.290e-23,2.440e+03,4.031e-01
2.000e+00,4.648e-01,1.561e-01,6.540e-23,2.510e+03,4.036e-01
1.950e+00,4.714e-01,1.623e-01,6.800e-23,2.570e+03,4.042e-01
1.910e+00,4.779e-01,1.685e-01,7.070e-23,2.640e+03,4.048e-01
1.880e+00,4.823e-01,1.727e-01,7.270e-23,2.690e+03,4.052e-01
1.860e+00,4.842e-01,1.745e-01,7.360e-23,2.710e+03,4.054e-01
1.820e+00,4.903e-01,1.805e-01,7.650e-23,2.790e+03,4.062e-01
1.780e+00,4.963e-01,1.864e-01,7.950e-23,2.860e+03,4.069e-01
1.740e+00,5.022e-01,1.923e-01,8.260e-23,2.940e+03,4.078e-01
1.700e+00,5.080e-01,1.982e-01,8.580e-23,3.020e+03,4.086e-01
1.660e+00,5.137e-01,2.040e-01,8.910e-23,3.100e+03,4.096e-01
1.650e+00,5.151e-01,2.054e-01,9.000e-23,3.120e+03,4.098e-01
1.620e+00,5.192e-01,2.097e-01,9.250e-23,3.180e+03,4.105e-01
1.580e+00,5.247e-01,2.155e-01,9.610e-23,3.270e+03,4.115e-01
1.550e+00,5.301e-01,2.213e-01,9.970e-23,3.350e+03,4.125e-01
1.510e+00,5.354e-01,2.271e-01,1.040e-22,3.440e+03,4.136e-01
1.480e+00,5.406e-01,2.329e-01,1.070e-22,3.530e+03,4.147e-01
1.450e+00,5.455e-01,2.389e-01,1.120e-22,3.620e+03,4.159e-01
1.410e+00,5.503e-01,2.451e-01,1.160e-22,3.720e+03,4.171e-01
1.380e+00,5.548e-01,2.514e-01,1.200e-22,3.830e+03,4.184e-01
1.350e+00,5.588e-01,2.579e-01,1.250e-22,3.940e+03,4.197e-01
1.320e+00,5.622e-01,2.647e-01,1.300e-22,4.060e+03,4.210e-01
1.290e+00,5.652e-01,2.717e-01,1.350e-22,4.200e+03,4.224e-01
1.280e+00,5.659e-01,2.733e-01,1.360e-22,4.230e+03,4.228e-01
1.260e+00,5.690e-01,2.790e-01,1.400e-22,4.320e+03,4.239e-01
1.250e+00,5.706e-01,2.813e-01,1.420e-22,4.350e+03,4.244e-01
1.230e+00,5.748e-01,2.865e-01,1.450e-22,4.410e+03,4.255e-01
1.200e+00,5.809e-01,2.943e-01,1.500e-22,4.500e+03,4.271e-01
1.170e+00,5.863e-01,3.024e-01,1.560e-22,4.600e+03,4.287e-01
1.150e+00,5.909e-01,3.107e-01,1.610e-22,4.720e+03,4.304e-01
1.120e+00,5.945e-01,3.192e-01,1.680e-22,4.860e+03,4.322e-01
1.100e+00,5.960e-01,3.278e-01,1.750e-22,5.050e+03,4.341e-01
1.070e+00,5.927e-01,3.366e-01,1.840e-22,5.350e+03,4.360e-01
1.050e+00,5.903e-01,3.454e-01,1.930e-22,5.650e+03,4.380e-01
1.020e+00,6.047e-01,3.542e-01,1.970e-22,5.560e+03,4.401e-01
1.000e+00,6.153e-01,3.630e-01,2.020e-22,5.560e+03,4.422e-01
9.770e-01,6.219e-01,3.716e-01,2.090e-22,5.650e+03,4.444e-01
9.550e-01,6.270e-01,3.801e-01,2.160e-22,5.770e+03,4.466e-01
9.330e-01,6.314e-01,3.883e-01,2.240e-22,5.910e+03,4.489e-01
9.120e-01,6.355e-01,3.964e-01,2.330e-22,6.060e+03,4.513e-01
8.930e-01,6.390e-01,4.036e-01,2.400e-22,6.210e+03,4.536e-01
8.910e-01,6.393e-01,4.043e-01,2.410e-22,6.220e+03,4.538e-01
8.710e-01,6.429e-01,4.119e-01,2.500e-22,6.380e+03,4.564e-01
8.660e-01,6.439e-01,4.140e-01,2.520e-22,6.430e+03,4.572e-01
8.510e-01,6.463e-01,4.194e-01,2.590e-22,6.550e+03,4.592e-01
8.320e-01,6.495e-01,4.268e-01,2.680e-22,6.730e+03,4.620e-01
8.130e-01,6.525e-01,4.340e-01,2.780e-22,6.910e+03,4.650e-01
8.020e-01,6.542e-01,4.381e-01,2.840e-22,7.020e+03,4.669e-01
7.940e-01,6.553e-01,4.411e-01,2.880e-22,7.100e+03,4.682e-01
7.760e-01,6.580e-01,4.481e-01,2.980e-22,7.290e+03,4.716e-01
7.590e-01,6.606e-01,4.550e-01,3.090e-22,7.490e+03,4.751e-01
7.480e-01,6.620e-01,4.592e-01,3.150e-22,7.610e+03,4.773e-01
7.410e-01,6.629e-01,4.619e-01,3.190e-22,7.700e+03,4.787e-01
7.240e-01,6.652e-01,4.687e-01,3.300e-22,7.910e+03,4.825e-01
7.080e-01,6.672e-01,4.754e-01,3.420e-22,8.130e+03,4.865e-01
6.920e-01,6.691e-01,4.821e-01,3.530e-22,8.360e+03,4.905e-01
6.760e-01,6.707e-01,4.886e-01,3.650e-22,8.600e+03,4.946e-01
6.610e-01,6.721e-01,4.949e-01,3.770e-22,8.850e+03,4.988e-01
6.560e-01,6.725e-01,4.967e-01,3.810e-22,8.930e+03,5.000e-01
6.490e-01,6.731e-01,4.996e-01,3.870e-22,9.040e+03,5.020e-01
6.460e-01,6.734e-01,5.010e-01,3.900e-22,9.110e+03,5.030e-01
6.420e-01,6.737e-01,5.027e-01,3.930e-22,9.180e+03,5.041e-01
6.310e-01,6.745e-01,5.069e-01,4.030e-22,9.370e+03,5.072e-01
6.170e-01,6.755e-01,5.126e-01,4.160e-22,9.640e+03,5.113e-01
6.170e-01,6.755e-01,5.127e-01,4.160e-22,9.650e+03,5.114e-01
6.030e-01,6.763e-01,5.181e-01,4.290e-22,9.930e+03,5.155e-01
5.890e-01,6.769e-01,5.233e-01,4.420e-22,1.020e+04,5.196e-01
5.750e-01,6.772e-01,5.283e-01,4.560e-22,1.050e+04,5.237e-01
5.620e-01,6.774e-01,5.330e-01,4.700e-22,1.080e+04,5.276e-01
5.550e-01,6.774e-01,5.355e-01,4.780e-22,1.100e+04,5.299e-01
5.500e-01,6.774e-01,5.374e-01,4.840e-22,1.120e+04,5.315e-01
5.470e-01,6.774e-01,5.383e-01,4.870e-22,1.120e+04,5.323e-01
5.370e-01,6.772e-01,5.415e-01,4.980e-22,1.150e+04,5.353e-01
5.250e-01,6.768e-01,5.454e-01,5.130e-22,1.190e+04,5.389e-01
5.130e-01,6.762e-01,5.489e-01,5.280e-22,1.220e+04,5.424e-01
5.010e-01,6.754e-01,5.522e-01,5.430e-22,1.260e+04,5.458e-01
4.900e-01,6.744e-01,5.552e-01,5.580e-22,1.300e+04,5.490e-01
4.860e-01,6.740e-01,5.561e-01,5.630e-22,1.310e+04,5.500e-01
4.790e-01,6.731e-01,5.579e-01,5.730e-22,1.340e+04,5.520e-01
4.700e-01,6.719e-01,5.599e-01,5.850e-22,1.370e+04,5.543e-01
4.690e-01,6.717e-01,5.602e-01,5.870e-22,1.380e+04,5.547e-01
4.680e-01,6.716e-01,5.604e-01,5.880e-22,1.380e+04,5.549e-01
4.570e-01,6.697e-01,5.626e-01,6.040e-22,1.430e+04,5.576e-01
4.470e-01,6.676e-01,5.645e-01,6.190e-22,1.470e+04,5.601e-01
4.410e-01,6.662e-01,5.655e-01,6.290e-22,1.500e+04,5.615e-01
4.370e-01,6.653e-01,5.661e-01,6.350e-22,1.520e+04,5.624e-01
4.270e-01,6.627e-01,5.674e-01,6.510e-22,1.570e+04,5.646e-01
4.170e-01,6.601e-01,5.685e-01,6.660e-22,1.620e+04,5.665e-01
4.100e-01,6.581e-01,5.691e-01,6.780e-22,1.660e+04,5.677e-01
4.070e-01,6.573e-01,5.693e-01,6.820e-22,1.670e+04,5.682e-01
3.980e-01,6.546e-01,5.699e-01,6.970e-22,1.720e+04,5.697e-01
3.890e-01,6.518e-01,5.702e-01,7.130e-22,1.780e+04,5.710e-01
3.800e-01,6.489e-01,5.703e-01,7.280e-22,1.830e+04,5.721e-01
3.720e-01,6.459e-01,5.700e-01,7.430e-22,1.880e+04,5.730e-01
3.640e-01,6.430e-01,5.696e-01,7.580e-22,1.930e+04,5.736e-01
3.630e-01,6.428e-01,5.695e-01,7.580e-22,1.940e+04,5.736e-01
3.550e-01,6.397e-01,5.687e-01,7.730e-22,1.990e+04,5.741e-01
3.550e-01,6.396e-01,5.687e-01,7.740e-22,1.990e+04,5.741e-01
3.500e-01,6.376e-01,5.681e-01,7.830e-22,2.030e+04,5.743e-01
3.470e-01,6.362e-01,5.676e-01,7.890e-22,2.050e+04,5.744e-01
3.390e-01,6.324e-01,5.662e-01,8.050e-22,2.120e+04,5.745e-01
3.310e-01,6.283e-01,5.647e-01,8.220e-22,2.180e+04,5.745e-01
3.240e-01,6.239e-01,5.629e-01,8.380e-22,2.260e+04,5.744e-01
3.160e-01,6.195e-01,5.610e-01,8.560e-22,2.330e+04,5.743e-01
3.090e-01,6.150e-01,5.591e-01,8.730e-22,2.400e+04,5.740e-01
3.020e-01,6.108e-01,5.571e-01,8.910e-22,2.480e+04,5.738e-01
2.950e-01,6.075e-01,5.550e-01,9.080e-22,2.550e+04,5.736e-01
2.880e-01,6.042e-01,5.528e-01,9.260e-22,2.620e+04,5.733e-01
2.820e-01,6.008e-01,5.503e-01,9.450e-22,2.700e+04,5.729e-01
2.750e-01,5.973e-01,5.480e-01,9.660e-22,2.780e+04,5.727e-01
2.690e-01,5.933e-01,5.462e-01,9.880e-22,2.880e+04,5.727e-01
2.630e-01,5.888e-01,5.447e-01,1.010e-21,2.980e+04,5.730e-01
2.570e-01,5.834e-01,5.436e-01,1.040e-21,3.100e+04,5.734e-01
2.510e-01,5.762e-01,5.428e-01,1.070e-21,3.250e+04,5.740e-01
2.450e-01,5.675e-01,5.424e-01,1.110e-21,3.430e+04,5.748e-01
2.400e-01,5.567e-01,5.424e-01,1.150e-21,3.650e+04,5.758e-01
2.340e-01,5.426e-01,5.439e-01,1.200e-21,3.910e+04,5.773e-01
2.290e-01,5.279e-01,5.463e-01,1.240e-21,4.190e+04,5.792e-01
2.240e-01,5.151e-01,5.492e-01,1.280e-21,4.440e+04,5.810e-01
2.230e-01,5.122e-01,5.501e-01,1.290e-21,4.500e+04,5.815e-01
2.200e-01,5.077e-01,5.520e-01,1.300e-21,4.580e+04,5.825e-01
2.190e-01,5.060e-01,5.531e-01,1.310e-21,4.610e+04,5.830e-01
2.180e-01,5.046e-01,5.544e-01,1.310e-21,4.630e+04,5.837e-01
2.150e-01,5.034e-01,5.572e-01,1.310e-21,4.640e+04,5.849e-01
2.140e-01,5.035e-01,5.586e-01,1.300e-21,4.620e+04,5.856e-01
2.130e-01,5.043e-01,5.601e-01,1.300e-21,4.600e+04,5.862e-01
2.090e-01,5.082e-01,5.644e-01,1.280e-21,4.490e+04,5.881e-01
2.040e-01,5.155e-01,5.705e-01,1.240e-21,4.300e+04,5.906e-01
2.000e-01,5.212e-01,5.774e-01,1.200e-21,4.120e+04,5.935e-01
1.950e-01,5.234e-01,5.850e-01,1.170e-21,4.000e+04,5.968e-01
1.910e-01,5.211e-01,5.932e-01,1.150e-21,3.930e+04,6.006e-01
1.860e-01,5.150e-01,6.014e-01,1.130e-21,3.930e+04,6.048e-01
1.820e-01,5.050e-01,6.100e-01,1.120e-21,3.980e+04,6.096e-01
1.780e-01,4.924e-01,6.190e-01,1.120e-21,4.060e+04,6.150e-01
1.740e-01,4.784e-01,6.278e-01,1.120e-21,4.180e+04,6.208e-01
1.700e-01,4.643e-01,6.358e-01,1.120e-21,4.300e+04,6.267e-01
1.660e-01,4.505e-01,6.433e-01,1.130e-21,4.440e+04,6.328e-01
1.620e-01,4.377e-01,6.497e-01,1.140e-21,4.580e+04,6.388e-01
1.580e-01,4.262e-01,6.550e-01,1.150e-21,4.730e+04,6.448e-01
1.550e-01,4.162e-01,6.593e-01,1.170e-21,4.890e+04,6.507e-01
1.510e-01,4.068e-01,6.633e-01,1.190e-21,5.060e+04,6.567e-01
1.480e-01,3.986e-01,6.673e-01,1.220e-21,5.240e+04,6.625e-01
1.450e-01,3.916e-01,6.719e-01,1.240e-21,5.410e+04,6.682e-01
1.410e-01,3.863e-01,6.766e-01,1.270e-21,5.570e+04,6.730e-01
1.380e-01,3.825e-01,6.795e-01,1.290e-21,5.710e+04,6.759e-01
1.350e-01,3.789e-01,6.807e-01,1.320e-21,5.870e+04,6.777e-01
1.320e-01,3.748e-01,6.808e-01,1.350e-21,6.040e+04,6.788e-01
1.290e-01,3.692e-01,6.801e-01,1.390e-21,6.250e+04,6.796e-01
1.260e-01,3.632e-01,6.789e-01,1.420e-21,6.470e+04,6.803e-01
1.230e-01,3.565e-01,6.774e-01,1.460e-21,6.710e+04,6.810e-01
1.220e-01,3.527e-01,6.764e-01,1.480e-21,6.850e+04,6.814e-01
1.200e-01,3.494e-01,6.755e-01,1.500e-21,6.980e+04,6.816e-01
1.170e-01,3.424e-01,6.730e-01,1.550e-21,7.270e+04,6.820e-01
1.150e-01,3.357e-01,6.698e-01,1.590e-21,7.570e+04,6.819e-01
1.120e-01,3.302e-01,6.636e-01,1.650e-21,7.880e+04,6.804e-01
1.100e-01,3.232e-01,6.591e-01,1.700e-21,8.250e+04,6.795e-01
1.100e-01,3.216e-01,6.584e-01,1.720e-21,8.320e+04,6.794e-01
1.070e-01,3.091e-01,6.532e-01,1.820e-21,8.980e+04,6.784e-01
1.050e-01,2.963e-01,6.503e-01,1.920e-21,9.660e+04,6.786e-01
1.020e-01,2.850e-01,6.494e-01,2.010e-21,1.030e+05,6.801e-01
1.000e-01,2.761e-01,6.501e-01,2.080e-21,1.080e+05,6.823e-01
9.770e-02,2.658e-01,6.496e-01,2.180e-21,1.150e+05,6.836e-01
9.550e-02,2.536e-01,6.516e-01,2.290e-21,1.220e+05,6.862e-01
9.330e-02,2.457e-01,6.562e-01,2.360e-21,1.270e+05,6.901e-01
9.120e-02,2.386e-01,6.619e-01,2.410e-21,1.310e+05,6.947e-01
9.120e-02,2.386e-01,6.619e-01,2.410e-21,1.310e+05,6.947e-01
8.910e-02,2.329e-01,6.715e-01,2.420e-21,1.330e+05,7.014e-01
8.710e-02,2.329e-01,6.751e-01,2.430e-21,1.330e+05,7.040e-01
8.510e-02,2.330e-01,6.763e-01,2.450e-21,1.340e+05,7.053e-01
8.320e-02,2.313e-01,6.769e-01,2.490e-21,1.370e+05,7.062e-01
8.130e-02,2.272e-01,6.765e-01,2.560e-21,1.410e+05,7.068e-01
7.940e-02,2.211e-01,6.759e-01,2.650e-21,1.480e+05,7.073e-01
7.760e-02,2.135e-01,6.750e-01,2.770e-21,1.560e+05,7.076e-01
7.590e-02,2.041e-01,6.764e-01,2.910e-21,1.660e+05,7.091e-01
7.410e-02,1.956e-01,6.791e-01,3.030e-21,1.740e+05,7.114e-01
7.240e-02,1.902e-01,6.829e-01,3.100e-21,1.790e+05,7.143e-01
7.080e-02,1.908e-01,6.880e-01,3.060e-21,1.770e+05,7.177e-01
6.920e-02,1.965e-01,6.945e-01,2.940e-21,1.690e+05,7.219e-01
6.760e-02,2.047e-01,7.033e-01,2.770e-21,1.570e+05,7.274e-01
6.610e-02,2.127e-01,7.132e-01,2.610e-21,1.470e+05,7.337e-01
6.460e-02,2.206e-01,7.238e-01,2.450e-21,1.370e+05,7.405e-01
6.310e-02,2.281e-01,7.342e-01,2.320e-21,1.280e+05,7.472e-01
6.170e-02,2.351e-01,7.445e-01,2.200e-21,1.200e+05,7.541e-01
6.030e-02,2.416e-01,7.543e-01,2.090e-21,1.140e+05,7.608e-01
5.890e-02,2.478e-01,7.637e-01,2.000e-21,1.080e+05,7.672e-01
5.750e-02,2.580e-01,7.655e-01,1.910e-21,1.010e+05,7.695e-01
5.620e-02,2.579e-01,7.735e-01,1.880e-21,9.950e+04,7.752e-01
5.500e-02,2.601e-01,7.810e-01,1.830e-21,9.710e+04,7.805e-01
5.370e-02,2.634e-01,7.880e-01,1.790e-21,9.430e+04,7.854e-01
5.250e-02,2.672e-01,7.946e-01,1.750e-21,9.170e+04,7.900e-01
5.130e-02,2.716e-01,8.009e-01,1.710e-21,8.900e+04,7.943e-01
5.010e-02,2.762e-01,8.070e-01,1.670e-21,8.640e+04,7.985e-01
4.900e-02,2.810e-01,8.129e-01,1.630e-21,8.380e+04,8.025e-01
4.880e-02,2.817e-01,8.138e-01,1.620e-21,8.340e+04,8.031e-01
4.790e-02,2.860e-01,8.189e-01,1.590e-21,8.130e+04,8.066e-01
4.680e-02,2.914e-01,8.250e-01,1.550e-21,7.870e+04,8.109e-01
4.570e-02,2.968e-01,8.313e-01,1.510e-21,7.610e+04,8.153e-01
4.470e-02,3.016e-01,8.377e-01,1.480e-21,7.390e+04,8.201e-01
4.370e-02,3.070e-01,8.442e-01,1.440e-21,7.140e+04,8.250e-01
4.270e-02,3.123e-01,8.513e-01,1.400e-21,6.890e+04,8.305e-01
4.170e-02,3.148e-01,8.594e-01,1.370e-21,6.700e+04,8.375e-01
4.070e-02,3.167e-01,8.662e-01,1.340e-21,6.550e+04,8.437e-01
3.980e-02,3.191e-01,8.720e-01,1.320e-21,6.400e+04,8.491e-01
3.890e-02,3.215e-01,8.777e-01,1.290e-21,6.270e+04,8.544e-01
3.800e-02,3.237e-01,8.829e-01,1.270e-21,6.140e+04,8.594e-01
3.720e-02,3.260e-01,8.878e-01,1.250e-21,6.020e+04,8.642e-01
3.630e-02,3.282e-01,8.928e-01,1.230e-21,5.900e+04,8.691e-01
3.550e-02,3.285e-01,8.981e-01,1.210e-21,5.800e+04,8.746e-01
3.470e-02,3.241e-01,9.010e-01,1.210e-21,5.870e+04,8.779e-01
3.390e-02,3.269e-01,9.031e-01,1.210e-21,5.810e+04,8.799e-01
3.310e-02,3.329e-01,9.057e-01,1.190e-21,5.660e+04,8.823e-01
3.240e-02,3.373e-01,9.092e-01,1.170e-21,5.530e+04,8.856e-01
3.160e-02,3.416e-01,9.125e-01,1.150e-21,5.400e+04,8.890e-01
3.090e-02,3.458e-01,9.159e-01,1.130e-21,5.280e+04,8.924e-01
3.020e-02,3.498e-01,9.193e-01,1.110e-21,5.160e+04,8.959e-01
2.950e-02,3.537e-01,9.227e-01,1.090e-21,5.050e+04,8.995e-01
2.880e-02,3.574e-01,9.261e-01,1.070e-21,4.940e+04,9.031e-01
