a_um,a4n
0.0252097196184399,1.5138201388763373e-33
0.0285227535964776,1.8848264536324696e-33
0.0303451173195404,2.6638163249523626e-33
0.0320119315403021,3.6335166516504146e-33
0.0337704722782042,4.963688434773305e-33
0.0354232561674074,6.623547935526803e-33
0.037524390060147,9.003198614687006e-33
0.0396458309674626,1.252146747051551e-32
0.0418239431949328,1.7131171714806618e-32
0.0441208267841022,2.3297052961656796e-32
0.0465443211717197,3.1777802800302347e-32
0.0488222787771917,4.240431342527073e-32
0.0514523237861684,5.668187176648314e-32
0.054558799115779,7.854214212222521e-32
0.0577264510863207,1.0876030591326927e-31
0.0619013876996735,1.455558493719681e-31
0.0662812996877479,1.9835719303473357e-31
0.0712228391210959,2.675615567420713e-31
0.076211139130562,3.565305669209449e-31
0.0819346613205757,4.6860200347300695e-31
0.0876672884069793,6.120087009292564e-31
0.0948659873725072,7.920191676794817e-31
0.1027183899574253,1.0291748457203542e-30
0.1100548125521133,1.3166635895736916e-30
0.1212341068133908,1.8045471805881583e-30
0.1418375529265972,2.1188863590393336e-30
0.1619031580247528,2.3615162421483515e-30
0.1855274824984989,2.5801748029300997e-30
0.2161678168648611,2.895791546495443e-30
0.2496378361787015,2.7040011524244106e-30
0.2855547721284809,1.9923267073848176e-30
0.3090864520426102,1.613272138689703e-30
0.3447788930843473,1.2873245703740798e-30
0.3834134051852145,9.6551136732097e-31
0.4254203220750951,7.386523768688252e-31
0.4735192333149461,5.442753348661516e-31
0.4969463838789363,4.206322574064202e-31
0.5232047360753448,3.178112715762308e-31
0.5508589211006446,2.4121230408049123e-31
0.5799747785778202,1.8307524258422319e-31
0.6106357417385649,1.3936982009134355e-31
0.6428916187310101,1.048267256901755e-31
0.6768410934215289,7.848955409779894e-32
0.71256173268699,5.824046356767499e-32
0.7501599599847475,4.308527054756103e-32
0.789742052863671,3.1873725318128275e-32
0.8314379170054369,2.3793794526935978e-32
0.8753325339685263,1.7746058143750008e-32
0.9095935578577368,1.3452669640767958e-32
0.9504621980962252,1.0013944872596031e-32
0.9894385335299896,7.418354434499763e-33
1.0186998968106111,5.425238475965012e-33
1.055575984386273,3.987371996055345e-33
1.096708312314321,2.8756585387217368e-33
1.139448553887923,2.0766802717839118e-33
1.1859434111734015,1.5065374866077924e-33
