# REBELS z=7 galaxy properties
# Survey: Bouwens et al. (2022) ; ApJ ; 931 ; 160 — DOI: 10.3847/1538-4357/ac5a4a
# logMd: Sommovigo et al. (2022a) ; MNRAS ; 513 ; 3122 — DOI: 10.1093/mnras/stac302
# logMstar ; sSFR ; Age: Topping et al. (2022) ; MNRAS ; 516 ; 975 — DOI: 10.1093/mnras/stac2291
#                       Stefanon et al. (in prep.)
# Av = 1.086 * tau_V (npSFH fit); err_Av_high uses factor 1.86
# age_Gyr: stellar population age in Gyr
id,MUV,Av,err_Av_low,err_Av_high,log_Mstar,err_log_Mstar_low,err_log_Mstar_high,log_Md,err_log_Md_low,err_log_Md_high,age_Gyr,err_age_low_Gyr,err_age_high_Gyr
5,-21.57,0.19548000000000001,0.046697999999999996,0.49104000000000003,10.09,0.5,0.32,7.178553842550373,0.32205552379404256,0.3682902509353072,37.153522909717275,32.58264101356852,370.2267548943949
8,-21.82,0.009774,0.0021720000000000003,0.08556,9.56,0.46,0.34,7.222072062056873,0.2856291197206957,0.3503539376977258,66.06934480075964,53.48009068281797,229.05157786587935
12,-22.47,0.17158800000000002,0.09774000000000001,0.4092,9.94,0.42,0.32,7.302253265513234,0.31652104427750505,0.3709013733916553,7.943282347242822,4.631971132416915,34.71466953291644
14,-22.66,0.006516000000000001,0.0021720000000000003,0.039060000000000004,9.22,0.41,0.38,7.016965485868306,0.27006874273331416,0.33160205946943133,13.489628825916531,10.399333393402939,45.39473670964231
18,-22.37,0.07493400000000001,0.009774,0.25296,9.82,0.45,0.34,7.308617989378732,0.3283003848819428,0.36848755472335704,107.15193052376048,87.65348452618002,223.97919095883032
19,-21.6,0.010860000000000002,0.0021720000000000003,0.09300000000000001,9.38,0.51,0.39,7.232033622294462,0.31201464818425517,0.33690851009108247,42.65795188015926,33.53784348660017,152.32650809564487
25,-21.67,0.056472,0.005430000000000001,0.36642,10.27,0.23,0.1,7.555296005147596,0.21897227509967898,0.33518855225741007,489.7788193684456,207.94052624200071,155.87540966621066
27,-21.93,0.020634,0.0032580000000000005,0.18042000000000002,10.16,0.19,0.12,7.138938465954253,0.3249105784703952,0.3729431006573245,275.4228703338163,170.71001552872647,214.3559490346293
29,-22.24,0.09231000000000002,0.034752000000000005,0.23622,10.04,0.18,0.13,7.107044369891009,0.32298631791288734,0.3726309477680845,208.9296130854041,70.89118662511544,114.66404384422398
32,-21.65,0.165072,0.099912,0.36456000000000005,9.78,0.35,0.24,7.216636655590892,0.3274635773089871,0.36764758316417634,83.17637711026708,37.46755814877957,61.367599964325706
38,-21.87,0.029322,0.0032580000000000005,0.22506,10.37,0.37,0.15,7.462844752786296,0.313705663664531,0.3671520150887915,123.0268770812381,116.71730363643617,414.0049192890151
39,-22.71,0.06950400000000001,0.020634,0.1953,9.24,0.32,0.37,7.197760252551811,0.30308570535902657,0.31535345886411204,2.6302679918953813,0.7248072739321332,1.4435347861457486
40,-21.84,0.105342,0.019548,0.30504000000000003,9.82,0.5,0.3,7.0777444193759385,0.3221830378196415,0.37662779362592946,138.03842646028866,128.70588345231874,329.69671482690944
