# V, U, I, B, M_V
-4.955951306527338573e+01 -5.061551156577434085e+01 -4.925654531779807144e+01 -5.025650888730454113e+01 -1.300751306527338613e+01
-4.964572817645260727e+01 -5.069686113482418222e+01 -4.929635024648696628e+01 -5.037555527817815459e+01 -1.309372817645260767e+01
-4.980821752315829087e+01 -5.084141776648390731e+01 -4.932340644409720198e+01 -5.061673104775118048e+01 -1.325621752315829127e+01
-5.038480150267177038e+01 -5.119841248672060630e+01 -4.971135975857824008e+01 -5.125327377146597740e+01 -1.383280150267177078e+01
-4.965886206011829529e+01 -5.017129634395593030e+01 -4.905429863701154858e+01 -5.043209219341044047e+01 -1.310686206011829569e+01
-4.910687518156231590e+01 -4.940367412500366129e+01 -4.853240949315917163e+01 -4.983605788700604222e+01 -1.255487518156231630e+01
-4.849127191722089947e+01 -4.866018555964998882e+01 -4.820540535031117457e+01 -4.906867705611944075e+01 -1.193927191722089987e+01
-4.771745190513012602e+01 -4.803893968532214842e+01 -4.729469458621346689e+01 -4.839694737067705432e+01 -1.116545190513012642e+01
-4.789903558188663624e+01 -4.772635251522408595e+01 -4.758754617534998488e+01 -4.845530462615398903e+01 -1.134703558188663663e+01
-4.714999041802363422e+01 -4.722905904110501751e+01 -4.747498999166299427e+01 -4.769656529473508755e+01 -1.059799041802363462e+01
-4.696556776895405250e+01 -4.698868176721710910e+01 -4.737988728048121345e+01 -4.748586167601836650e+01 -1.041356776895405289e+01
-4.671906423265784980e+01 -4.668836823089620935e+01 -4.729686754167896368e+01 -4.724077850644265197e+01 -1.016706423265785020e+01
-4.626119116214680815e+01 -4.638918533665291477e+01 -4.682506362522140364e+01 -4.681152307543413116e+01 -9.709191162146808551e+00
-4.642892396263779631e+01 -4.626017051516456746e+01 -4.672698111765315332e+01 -4.678728585048870059e+01 -9.876923962637796706e+00
-4.639383416341706834e+01 -4.618382666057638630e+01 -4.660257635329844561e+01 -4.676540095095997884e+01 -9.841834163417068737e+00
-4.630327922383280281e+01 -4.615222911360858404e+01 -4.641403163051986525e+01 -4.686214507997011225e+01 -9.751279223832803211e+00
-4.613147573038538951e+01 -4.619627021917071374e+01 -4.610886453112786398e+01 -4.679561001659050135e+01 -9.579475730385389909e+00
-4.566247353414590293e+01 -4.602365430780756128e+01 -4.550918307024539189e+01 -4.644436643991485880e+01 -9.110473534145903329e+00
-4.554252741104265567e+01 -4.586801692078714865e+01 -4.531369317073584568e+01 -4.631624869617609619e+01 -8.990527411042656070e+00
-4.543400010459506433e+01 -4.578974280391512508e+01 -4.530790827613698468e+01 -4.619712523663991988e+01 -8.882000104595064727e+00
