# V, U, I, B, M_V
-5.278815009503149014e+01 -5.385496129431034262e+01 -5.250001819199822251e+01 -5.348062526074411949e+01 -1.623615009503149054e+01
-5.293689524796342738e+01 -5.400381898806423919e+01 -5.264933025273570877e+01 -5.362898441733133126e+01 -1.638489524796342778e+01
-5.311362646970133028e+01 -5.418065480071899032e+01 -5.282633971068617029e+01 -5.380555017475053603e+01 -1.656162646970133068e+01
-5.506431924341018913e+01 -5.522939574279908470e+01 -5.448867404244935386e+01 -5.581097747949240784e+01 -1.851231924341018953e+01
-5.373575278477805739e+01 -5.400320952557171950e+01 -5.313220842950067180e+01 -5.451300996292359713e+01 -1.718375278477805779e+01
-5.204185891212116388e+01 -5.284946519901420459e+01 -5.134983028803205229e+01 -5.290781270125488334e+01 -1.548985891212116428e+01
-5.129002960980607639e+01 -5.214772855850802102e+01 -5.054506886961722500e+01 -5.219235400853019513e+01 -1.473802960980607679e+01
-5.076071704678856378e+01 -5.165149704613887849e+01 -4.995641951086889065e+01 -5.168883486870946342e+01 -1.420871704678856418e+01
-5.048332041378152013e+01 -5.131514571939136715e+01 -4.964506051568922373e+01 -5.141498889972891106e+01 -1.393132041378152053e+01
-4.991679292741703478e+01 -5.075601067477037276e+01 -4.905156993204276716e+01 -5.086029711782141760e+01 -1.336479292741703517e+01
-4.987566169738219202e+01 -5.063958379538058097e+01 -4.901224934556701385e+01 -5.080820801396206576e+01 -1.332366169738219241e+01
-4.979329297638866336e+01 -5.048573838853186402e+01 -4.902375810157543867e+01 -5.068484971023401187e+01 -1.324129297638866376e+01
-4.939452518170297424e+01 -5.014918620907756974e+01 -4.850916229959547366e+01 -5.033219820437045655e+01 -1.284252518170297463e+01
-4.928766609003816512e+01 -4.993900826741637644e+01 -4.844104211226282075e+01 -5.020349496173302128e+01 -1.273566609003816552e+01
-4.925343893133704398e+01 -4.986826187405476674e+01 -4.841679457401974673e+01 -5.016190415514781620e+01 -1.270143893133704438e+01
-4.921814473142398327e+01 -4.978756833232820611e+01 -4.839638746569197281e+01 -5.011182109095359039e+01 -1.266614473142398367e+01
-4.901497929253208952e+01 -4.956413455336998197e+01 -4.820714611204414979e+01 -4.989920296642209507e+01 -1.246297929253208991e+01
-4.847211095000713499e+01 -4.918296992135397261e+01 -4.757651452632978106e+01 -4.940967761720138185e+01 -1.192011095000713539e+01
-4.847304927322581136e+01 -4.916787696451497425e+01 -4.758058753579483380e+01 -4.940745099085305014e+01 -1.192104927322581176e+01
-4.856154006256581113e+01 -4.918458532546171824e+01 -4.770279567389803077e+01 -4.947615405522687126e+01 -1.200954006256581152e+01
-4.850820514191173061e+01 -4.907805627615132948e+01 -4.783112712010524348e+01 -4.936059965214433021e+01 -1.195620514191173100e+01
-4.836810880976546656e+01 -4.903500937871267240e+01 -4.748150695832435275e+01 -4.929694759950547223e+01 -1.181610880976546696e+01
-4.838867396177923297e+01 -4.902124785834840281e+01 -4.751323107428823533e+01 -4.930965334100118724e+01 -1.183667396177923337e+01
-4.840043186479518766e+01 -4.900713433862826207e+01 -4.753633096023888527e+01 -4.931391175403981464e+01 -1.184843186479518806e+01
-4.845047544636376813e+01 -4.900185602842879007e+01 -4.760816405245414984e+01 -4.935274345656867467e+01 -1.189847544636376853e+01
-4.847411326509166685e+01 -4.889559839674829789e+01 -4.804380071832268584e+01 -4.925734592642236009e+01 -1.192211326509166724e+01
-4.820051275509463551e+01 -4.878919928042929399e+01 -4.733779394297066290e+01 -4.911139425355217014e+01 -1.164851275509463591e+01
-4.813212817909051466e+01 -4.868346166025106925e+01 -4.728539916408828248e+01 -4.903319593435845292e+01 -1.158012817909051506e+01
-4.803937393436732606e+01 -4.855552965139386856e+01 -4.720622946926376073e+01 -4.893399473718473303e+01 -1.148737393436732646e+01
-4.805962069366688638e+01 -4.843093576372372411e+01 -4.770323566422970885e+01 -4.881250657537039217e+01 -1.150762069366688678e+01
-4.789401109456263583e+01 -4.844972305778899369e+01 -4.704221687900719218e+01 -4.879831155752403049e+01 -1.134201109456263623e+01
-4.783424675072762966e+01 -4.840383303234253276e+01 -4.697779250691330333e+01 -4.874204466550969528e+01 -1.128224675072763006e+01
-4.806009836018719739e+01 -4.839780137803637672e+01 -4.772921115983472617e+01 -4.879948396251184306e+01 -1.150809836018719778e+01
-4.794107251096018985e+01 -4.843838490511785722e+01 -4.711114342474318306e+01 -4.883272557030043259e+01 -1.138907251096019024e+01
-4.790651886350966038e+01 -4.839210296408070633e+01 -4.708008961012190952e+01 -4.879571652041609298e+01 -1.135451886350966078e+01
-4.787585992643644772e+01 -4.834587502261540948e+01 -4.705886107917486072e+01 -4.876205769748167285e+01 -1.132385992643644812e+01
