# V, U, I, B, M_V
-5.238414261446025932e+01 -5.344762041310274725e+01 -5.207538157165100756e+01 -5.308894353906716645e+01 -1.583214261446025972e+01
-5.250464813481990944e+01 -5.356805348647300491e+01 -5.218879784521057985e+01 -5.321478697050882545e+01 -1.595264813481990984e+01
-5.267626865552063009e+01 -5.373261115740810823e+01 -5.231203910873705354e+01 -5.341843945093798141e+01 -1.612426865552063049e+01
-5.358809155021426562e+01 -5.435292724708531864e+01 -5.289187791312252074e+01 -5.445475575922468181e+01 -1.703609155021426602e+01
-5.261713350282062152e+01 -5.329617138433767565e+01 -5.191033609701978691e+01 -5.347844688966092974e+01 -1.606513350282062191e+01
-5.239208387519031618e+01 -5.275907198494561356e+01 -5.170112532335653555e+01 -5.321720532664487280e+01 -1.584008387519031658e+01
-5.209389007866379018e+01 -5.218562970175663907e+01 -5.156463101127182824e+01 -5.281202487618988073e+01 -1.554189007866379058e+01
-5.100517833446829030e+01 -5.132038451146777192e+01 -5.056710155025270126e+01 -5.174635860134163323e+01 -1.445317833446829070e+01
-5.103348526197091672e+01 -5.115964763280867089e+01 -5.076055155058984525e+01 -5.168984527350932723e+01 -1.448148526197091712e+01
-5.034096917178757735e+01 -5.063087618773685961e+01 -4.997270111196006326e+01 -5.107581567132132250e+01 -1.378896917178757775e+01
-5.034902919608160943e+01 -5.053484097949800002e+01 -5.000731055860424590e+01 -5.105472015859393764e+01 -1.379702919608160983e+01
-5.029747439585835878e+01 -5.039093618836741229e+01 -5.002786602877822730e+01 -5.097254363619927631e+01 -1.374547439585835917e+01
-5.002425078804986924e+01 -4.998836635314356158e+01 -4.991391381293909291e+01 -5.065301931832080129e+01 -1.347225078804986964e+01
-4.982323787169568163e+01 -4.974934555411827830e+01 -4.955095021491352014e+01 -5.049823572169770358e+01 -1.327123787169568203e+01
-4.981247813793707024e+01 -4.944554955475196323e+01 -4.969305743548559917e+01 -5.029143880519868048e+01 -1.326047813793707064e+01
-4.953474292132425916e+01 -4.892865375201199640e+01 -4.976790146005384230e+01 -4.967823948149703739e+01 -1.298274292132425956e+01
-4.905699734251705024e+01 -4.851703872952275276e+01 -4.956275056091180176e+01 -4.912120385325341232e+01 -1.250499734251705064e+01
-4.864451400134633730e+01 -4.848461588331230132e+01 -4.909737112983378182e+01 -4.897110691647604597e+01 -1.209251400134633769e+01
-4.836901271237374544e+01 -4.836232672097087004e+01 -4.870266222533307143e+01 -4.876543674768398517e+01 -1.181701271237374584e+01
-4.839042557265241129e+01 -4.835649772745072994e+01 -4.878762427151842473e+01 -4.878089762093475201e+01 -1.183842557265241169e+01
-4.836456173077982612e+01 -4.826393922085570409e+01 -4.875897199541196869e+01 -4.871913405796444607e+01 -1.181256173077982652e+01
-4.831698015831140935e+01 -4.821293812850943539e+01 -4.869366363791339580e+01 -4.866668321100288352e+01 -1.176498015831140975e+01
-4.831552009831959538e+01 -4.814711022691475506e+01 -4.868733806681432696e+01 -4.864301720121243733e+01 -1.176352009831959577e+01
-4.824255350267985420e+01 -4.805954134465552841e+01 -4.862991223388839046e+01 -4.855311854820288886e+01 -1.169055350267985460e+01
-4.824912002115368637e+01 -4.795310010449796323e+01 -4.873416032640107431e+01 -4.849085979235380250e+01 -1.169712002115368676e+01
-4.816603164325868391e+01 -4.787725232729716396e+01 -4.866600864250436587e+01 -4.841206064850129565e+01 -1.161403164325868431e+01
-4.814188356114911471e+01 -4.778113312218983566e+01 -4.862278842349248009e+01 -4.837222247547345688e+01 -1.158988356114911511e+01
-4.798369876248598587e+01 -4.771924179740271654e+01 -4.844899730452912223e+01 -4.825998575226378051e+01 -1.143169876248598626e+01
