# V, U, I, B, M_V
-5.004796248564198180e+01 -5.110953682938597353e+01 -4.972833124121757464e+01 -5.075916907259951216e+01 -1.349596248564198220e+01
-5.013981644361539480e+01 -5.120136216041137800e+01 -4.978885772355666717e+01 -5.087379552407996641e+01 -1.358781644361539520e+01
-5.032224132211636913e+01 -5.136368905589135636e+01 -4.988198476420181748e+01 -5.110748005343456413e+01 -1.377024132211636953e+01
-5.105445406311849865e+01 -5.179231035311243403e+01 -5.037202770712772804e+01 -5.189859447491845401e+01 -1.450245406311849905e+01
-5.039177147816889857e+01 -5.072173194872248558e+01 -4.984908894825369430e+01 -5.109580135538796242e+01 -1.383977147816889897e+01
-4.942237199673002834e+01 -4.996461658570385111e+01 -4.870847350318573632e+01 -5.027557530934730323e+01 -1.287037199673002874e+01
-4.938390818785386926e+01 -4.943578005939703246e+01 -4.899666544073610197e+01 -4.999167570161585417e+01 -1.283190818785386966e+01
-4.923808603432366482e+01 -4.889554456229873836e+01 -4.917054695009063892e+01 -4.969869992906615153e+01 -1.268608603432366522e+01
-4.838267312800638109e+01 -4.828632704420172672e+01 -4.861057579001507634e+01 -4.888794033925853455e+01 -1.183067312800638149e+01
-4.797897288984862030e+01 -4.802141795077865538e+01 -4.812707827474312694e+01 -4.856259366367376629e+01 -1.142697288984862070e+01
-4.772528013328071950e+01 -4.772645906835510488e+01 -4.798966560958550076e+01 -4.828336062692916641e+01 -1.117328013328071989e+01
-4.754771293743183946e+01 -4.749187027134595240e+01 -4.769647776472052669e+01 -4.808635973593054302e+01 -1.099571293743183986e+01
-4.722270311225879880e+01 -4.698088530104364224e+01 -4.766928893335587247e+01 -4.755806060304476546e+01 -1.067070311225879919e+01
-4.664390566986715214e+01 -4.669046280798427517e+01 -4.726147994685601361e+01 -4.705985890922620030e+01 -1.009190566986715254e+01
-4.640137669421649491e+01 -4.651281797127517592e+01 -4.697798381824408409e+01 -4.685202940063884114e+01 -9.849376694216495309e+00
-4.628097771020237872e+01 -4.636674262666070234e+01 -4.690184140606604757e+01 -4.671702161108860452e+01 -9.728977710202379114e+00
-4.613775357163761015e+01 -4.622636748433036757e+01 -4.678396936079886359e+01 -4.658970501316595403e+01 -9.585753571637610548e+00
-4.600768826790726962e+01 -4.614000962499190450e+01 -4.658585977191335559e+01 -4.650892258195418094e+01 -9.455688267907270017e+00
-4.620022878131965882e+01 -4.621733246825010610e+01 -4.639079963723791167e+01 -4.674018958407523172e+01 -9.648228781319659220e+00
-4.608802143877451840e+01 -4.632454317247274389e+01 -4.610295913878907470e+01 -4.675377003062614278e+01 -9.536021438774518799e+00
-4.609827613688274539e+01 -4.630180234574417142e+01 -4.603679274725702442e+01 -4.678638564592324656e+01 -9.546276136882745789e+00
-4.601845693949486105e+01 -4.616515425740034573e+01 -4.604174775992670732e+01 -4.665460983325469613e+01 -9.466456939494861444e+00
-4.594379342742216465e+01 -4.611297934886132310e+01 -4.586970652353119959e+01 -4.662664316607774140e+01 -9.391793427422165053e+00
-4.585908040056985868e+01 -4.609672993762905691e+01 -4.574365504238821245e+01 -4.659651093436205826e+01 -9.307080400569859080e+00
-4.565436594638885026e+01 -4.585591501789952673e+01 -4.565305954486522921e+01 -4.634815786526648651e+01 -9.102365946388850659e+00
-4.560539253296019524e+01 -4.577754321939157478e+01 -4.557083001113991827e+01 -4.626680732716722133e+01 -9.053392532960195638e+00
-4.563565435851567997e+01 -4.577620309732593995e+01 -4.554485218934527779e+01 -4.631459928083220490e+01 -9.083654358515680372e+00
-4.556974764265295619e+01 -4.569338807227950383e+01 -4.561977739860517289e+01 -4.621476457460444465e+01 -9.017747642652956586e+00
-4.556281734226332958e+01 -4.566397494335782170e+01 -4.548794086470042686e+01 -4.620754822915329640e+01 -9.010817342263329977e+00
-4.552981936200357183e+01 -4.562705205824591559e+01 -4.553310714573505891e+01 -4.620009124870941264e+01 -8.977819362003572223e+00
-4.544387346927816651e+01 -4.553955493699209711e+01 -4.539224916909702046e+01 -4.610209786069595594e+01 -8.891873469278166908e+00
-4.544059834804216536e+01 -4.550520915935752697e+01 -4.537305710976772843e+01 -4.608786706448302795e+01 -8.888598348042165753e+00
-4.545669365034896003e+01 -4.544288087650330965e+01 -4.556310551285037747e+01 -4.606185798362897543e+01 -8.904693650348960432e+00
-4.539592478000312070e+01 -4.539480287462122732e+01 -4.543717641237161331e+01 -4.599976876723670216e+01 -8.843924780003121100e+00
-4.535512245050604463e+01 -4.532501968445710361e+01 -4.534802373107270057e+01 -4.595096021388287966e+01 -8.803122450506045027e+00
