# V, U, I, B, M_V
-5.056879786366985741e+01 -5.156103534029715263e+01 -5.014874778251466125e+01 -5.132910964148817357e+01 -1.401679786366985780e+01
-5.065306989191640241e+01 -5.164577388889494358e+01 -5.019904710692762961e+01 -5.143493405705988408e+01 -1.410106989191640281e+01
-5.077319595085491244e+01 -5.176326323653135830e+01 -5.021646075475960203e+01 -5.161102942175973141e+01 -1.422119595085491284e+01
-5.117985361433923686e+01 -5.204517191572351464e+01 -5.047613471668380924e+01 -5.206615500773229144e+01 -1.462785361433923725e+01
-5.102727439130789122e+01 -5.165477028533661041e+01 -5.036414952996992156e+01 -5.184769168170123521e+01 -1.447527439130789162e+01
-5.091215201006389179e+01 -5.132746378257535724e+01 -5.028528217282760693e+01 -5.168495689916439773e+01 -1.436015201006389219e+01
-5.062666593569282014e+01 -5.093830748213754589e+01 -5.024309784285988201e+01 -5.128449522013288231e+01 -1.407466593569282054e+01
-5.018829338974587273e+01 -5.060705817025891662e+01 -4.966808643230266540e+01 -5.093156867906114371e+01 -1.363629338974587313e+01
-5.043796862519649693e+01 -5.045612688590228601e+01 -5.004902188774198635e+01 -5.106413671428330758e+01 -1.388596862519649733e+01
-4.993362257872807675e+01 -5.017033199664844290e+01 -5.003736155253516671e+01 -5.058448745282939285e+01 -1.338162257872807714e+01
-4.986197487469236478e+01 -5.004675291886636046e+01 -5.004825098721000387e+01 -5.049049337749488586e+01 -1.330997487469236518e+01
-4.975303898006419701e+01 -4.988491799286492068e+01 -5.007950750983860644e+01 -5.037930064373295380e+01 -1.320103898006419740e+01
-4.946123762069551333e+01 -4.970996396211013035e+01 -4.973263468551187572e+01 -5.012118681079253690e+01 -1.290923762069551373e+01
-4.960971155947879652e+01 -4.964416362800118065e+01 -4.970487301661471946e+01 -5.012587129787475959e+01 -1.305771155947879691e+01
-4.961097112407723841e+01 -4.960206878788393681e+01 -4.964808377636303049e+01 -5.012301661435448352e+01 -1.305897112407723881e+01
-4.957524392250831369e+01 -4.959164630606792201e+01 -4.954141138107198117e+01 -5.020838301128680570e+01 -1.302324392250831409e+01
-4.947603869776828134e+01 -4.963594297876205985e+01 -4.931758492882266154e+01 -5.018718410546118491e+01 -1.292403869776828174e+01
-4.917686992755464814e+01 -4.954340666170840279e+01 -4.886465148601064357e+01 -4.997742374184308289e+01 -1.262486992755464854e+01
-4.911522876606113641e+01 -4.945401364882857820e+01 -4.873968502657272950e+01 -4.991036749847698673e+01 -1.256322876606113681e+01
-4.905544745399285489e+01 -4.941048315030899118e+01 -4.875772378692527553e+01 -4.984282646552482987e+01 -1.250344745399285529e+01
-4.906117936146400638e+01 -4.938306508215113411e+01 -4.882285786878108524e+01 -4.983689003064661449e+01 -1.250917936146400677e+01
-4.912470670238180048e+01 -4.938737379064416899e+01 -4.881366225455877128e+01 -4.988430728325204910e+01 -1.257270670238180088e+01
