# V, U, I, B, M_V
-5.052664375248903639e+01 -5.158821809623303523e+01 -5.020701250806464344e+01 -5.123785033944656675e+01 -1.397464375248903679e+01
-5.061849771046244229e+01 -5.168004342725842548e+01 -5.026753899040372175e+01 -5.135247679092701389e+01 -1.406649771046244268e+01
-5.080092258896342372e+01 -5.184237032273841095e+01 -5.036066603104887918e+01 -5.158616132028161161e+01 -1.424892258896342412e+01
-5.153313532996554613e+01 -5.227099161995948862e+01 -5.085070897397477552e+01 -5.237727574176551570e+01 -1.498113532996554653e+01
-5.087045274501595316e+01 -5.120041321556954017e+01 -5.032777021510074178e+01 -5.157448262223502411e+01 -1.431845274501595355e+01
-4.990105326357707582e+01 -5.044329785255090570e+01 -4.918715477003279091e+01 -5.075425657619436492e+01 -1.334905326357707622e+01
-4.986258945470092385e+01 -4.991446132624407994e+01 -4.947534670758315656e+01 -5.047035696846290875e+01 -1.331058945470092425e+01
-4.971676730117071941e+01 -4.937422582914579294e+01 -4.964922821693768640e+01 -5.017738119591320611e+01 -1.316476730117071980e+01
-4.886135439485343568e+01 -4.876500831104878131e+01 -4.908925705686212382e+01 -4.936662160610558914e+01 -1.230935439485343608e+01
-4.845765415669567489e+01 -4.850009921762570286e+01 -4.860575954159018153e+01 -4.904127493052082798e+01 -1.190565415669567528e+01
-4.820396140012778119e+01 -4.820514033520215236e+01 -4.846834687643255535e+01 -4.876204189377622811e+01 -1.165196140012778159e+01
-4.802639420427890116e+01 -4.797055153819300699e+01 -4.817515903156758839e+01 -4.856504100277759761e+01 -1.147439420427890155e+01
-4.770138437910584628e+01 -4.745956656789069683e+01 -4.814797020020291995e+01 -4.803674186989181294e+01 -1.114938437910584668e+01
-4.712258693671421383e+01 -4.716914407483133687e+01 -4.774016121370307530e+01 -4.753854017607325488e+01 -1.057058693671421423e+01
-4.688005796106355660e+01 -4.699149923812223051e+01 -4.745666508509113868e+01 -4.733071066748589573e+01 -1.032805796106355700e+01
-4.675965897704944041e+01 -4.684542389350775693e+01 -4.738052267291310216e+01 -4.719570287793565200e+01 -1.020765897704944081e+01
-4.661643483848466474e+01 -4.670504875117741506e+01 -4.726265062764592528e+01 -4.706838628001300151e+01 -1.006443483848466514e+01
-4.648636953475431710e+01 -4.661869089183895909e+01 -4.706454103876041017e+01 -4.698760384880123553e+01 -9.934369534754317499e+00
-4.667891004816670630e+01 -4.669601373509716780e+01 -4.686948090408495915e+01 -4.721887085092228631e+01 -1.012691004816670670e+01
-4.656670270562156588e+01 -4.680322443931979137e+01 -4.658164040563612218e+01 -4.723245129747319737e+01 -1.001470270562156628e+01
-4.657695740372979998e+01 -4.678048361259121890e+01 -4.651547401410407900e+01 -4.726506691277030114e+01 -1.002495740372980038e+01
-4.649713820634191563e+01 -4.664383552424739321e+01 -4.652042902677376190e+01 -4.713329110010175071e+01 -9.945138206341916032e+00
-4.642247469426921214e+01 -4.659166061570837059e+01 -4.634838779037824708e+01 -4.710532443292479599e+01 -9.870474694269212534e+00
-4.633776166741691327e+01 -4.657541120447610439e+01 -4.622233630923525993e+01 -4.707519220120911285e+01 -9.785761667416913667e+00
-4.613304721323589774e+01 -4.633459628474658132e+01 -4.613174081171229091e+01 -4.682683913211354820e+01 -9.581047213235898141e+00
-4.608407379980724983e+01 -4.625622448623862226e+01 -4.604951127798697996e+01 -4.674548859401426881e+01 -9.532073799807250225e+00
-4.611433562536273456e+01 -4.625488436417299454e+01 -4.602353345619232527e+01 -4.679328054767925948e+01 -9.562335625362734959e+00
-4.604842890950000367e+01 -4.617206933912655842e+01 -4.609845866545222748e+01 -4.669344584145149923e+01 -9.496428909500004067e+00
-4.604149860911037706e+01 -4.614265621020487629e+01 -4.596662213154748144e+01 -4.668622949600034389e+01 -9.489498609110377458e+00
-4.600850062885062641e+01 -4.610573332509297018e+01 -4.601178841258210639e+01 -4.667877251555646012e+01 -9.456500628850626811e+00
-4.592255473612522110e+01 -4.601823620383914459e+01 -4.587093043594407504e+01 -4.658077912754301053e+01 -9.370554736125221496e+00
-4.591927961488921284e+01 -4.598389042620458156e+01 -4.585173837661478302e+01 -4.656654833133008253e+01 -9.367279614889213235e+00
-4.593537491719600752e+01 -4.592156214335037134e+01 -4.604178677969742495e+01 -4.654053925047603002e+01 -9.383374917196007914e+00
-4.587460604685016818e+01 -4.587348414146828190e+01 -4.591585767921866790e+01 -4.647845003408374964e+01 -9.322606046850168582e+00
-4.583380371735309922e+01 -4.580370095130415820e+01 -4.582670499791976226e+01 -4.642964148072992714e+01 -9.281803717353099614e+00
-4.587591328223498977e+01 -4.580462067472367949e+01 -4.588837248463418916e+01 -4.648091990836131515e+01 -9.323913282234990163e+00
-4.582336466253746465e+01 -4.578285917821671092e+01 -4.575539138321165211e+01 -4.644542571774280049e+01 -9.271364662537465051e+00
-4.576370226868662883e+01 -4.572044878625560216e+01 -4.566426480663858456e+01 -4.636960507762595540e+01 -9.211702268686629225e+00
-4.570981490037876682e+01 -4.564937147949887475e+01 -4.569033543354846927e+01 -4.632185215485482388e+01 -9.157814900378767220e+00
-4.566098238399915488e+01 -4.557196464279419956e+01 -4.561011583179894302e+01 -4.624184864784189841e+01 -9.108982383999155275e+00
-4.569497555492485930e+01 -4.558331325194824757e+01 -4.561767364082427889e+01 -4.627399301920711139e+01 -9.142975554924859694e+00
-4.565132840508508139e+01 -4.553021658430829888e+01 -4.562864807442380055e+01 -4.621976591863890604e+01 -9.099328405085081783e+00
-4.560555638093833863e+01 -4.545552122137385709e+01 -4.558148275697889318e+01 -4.615206611262068037e+01 -9.053556380938339032e+00
-4.576275541487787279e+01 -4.515065561034363384e+01 -4.614704129595091331e+01 -4.606495524368188654e+01 -9.210755414877873193e+00
-4.563109285517744240e+01 -4.512894850706057781e+01 -4.589965323372874195e+01 -4.598680243664107081e+01 -9.079092855177442800e+00
-4.558898923825253746e+01 -4.513460160802491572e+01 -4.581225134527501552e+01 -4.599376460106463327e+01 -9.036989238252537859e+00
-4.557452733772139197e+01 -4.516154257489525037e+01 -4.562083388803497996e+01 -4.601283339889160828e+01 -9.022527337721392371e+00
-4.556122843297700342e+01 -4.517155294893611739e+01 -4.563586628067231032e+01 -4.601512113573818397e+01 -9.009228432977003820e+00
-4.602961475219763798e+01 -4.576618905294580486e+01 -4.545835292756014212e+01 -4.675281366796397720e+01 -9.477614752197638381e+00
-4.592059877663140810e+01 -4.576991350975330164e+01 -4.542548394554786029e+01 -4.666885671529974644e+01 -9.368598776631408498e+00
-4.440838968300397482e+01 -4.479612055880130583e+01 -4.358545380253993073e+01 -4.527639186677006933e+01 -7.856389683003975222e+00
-4.441718422788960652e+01 -4.480565662945938499e+01 -4.359401405390028117e+01 -4.528538780894123761e+01 -7.865184227889606916e+00
-4.442674739534702866e+01 -4.481580483965402806e+01 -4.360336355758039417e+01 -4.529512150414687710e+01 -7.874747395347029055e+00
-4.443689016101276934e+01 -4.482663760471972836e+01 -4.361327417380313420e+01 -4.530546262354889819e+01 -7.884890161012769738e+00
-4.444239455642190961e+01 -4.483252945396539957e+01 -4.361866007619610741e+01 -4.531107293832224059e+01 -7.890394556421910011e+00
-4.445215436845614931e+01 -4.484294483682457155e+01 -4.362819911755892832e+01 -4.532102122213139950e+01 -7.900154368456149712e+00
-4.446359620836571480e+01 -4.485525529030466885e+01 -4.363936180502672357e+01 -4.533270066971154932e+01 -7.911596208365715199e+00
-4.454320725477825249e+01 -4.491213463862887068e+01 -4.372329653343644651e+01 -4.540815653149347497e+01 -7.991207254778252889e+00
-4.455308125771449568e+01 -4.492238300194937040e+01 -4.373301318315945707e+01 -4.541815393586279015e+01 -8.001081257714496076e+00
-4.456132831592319832e+01 -4.493112185463455432e+01 -4.374109571152371245e+01 -4.542654138229679006e+01 -8.009328315923198716e+00
-4.457361250534554387e+01 -4.494405677933532672e+01 -4.375315366581545362e+01 -4.543901817466600335e+01 -8.021612505345544264e+00
-4.458449625974153463e+01 -4.495557666375455597e+01 -4.376382436680238186e+01 -4.545008359599922443e+01 -8.032496259741535027e+00
-4.459527130423234098e+01 -4.498331900289717566e+01 -4.377619808287796843e+01 -4.546463851994870708e+01 -8.043271304232341379e+00
-4.463325104330736792e+01 -4.500998443728022380e+01 -4.381627619228027726e+01 -4.550059954901578152e+01 -8.081251043307368320e+00
-4.464765986543959286e+01 -4.502531984790032737e+01 -4.383041647983966982e+01 -4.551526089611949999e+01 -8.095659865439593261e+00
-4.467240356853412209e+01 -4.505175991275893921e+01 -4.385474134137676572e+01 -4.554045689142149911e+01 -8.120403568534122485e+00
-4.509334886894687600e+01 -4.534923414274167186e+01 -4.430223355670967322e+01 -4.594127802572948838e+01 -8.541348868946876394e+00
-4.506022357417904090e+01 -4.429787323842127478e+01 -4.563180517223617016e+01 -4.516192365116501861e+01 -8.508223574179041293e+00
-4.499323008752512010e+01 -4.430710001485073946e+01 -4.553424973090059069e+01 -4.514983423554590303e+01 -8.441230087525120496e+00
