# V, U, I, B, M_V
-5.199274806607367339e+01 -5.305801737916178240e+01 -5.169415618365657394e+01 -5.269145697586814237e+01 -1.544074806607367378e+01
-5.213177624062233662e+01 -5.319705122009091269e+01 -5.183186315727319027e+01 -5.283151880459963934e+01 -1.557977624062233701e+01
-5.230060738690070821e+01 -5.336417887460382303e+01 -5.199531131483769997e+01 -5.300352132593135934e+01 -1.574860738690070860e+01
-5.321661993285569281e+01 -5.391785519459610754e+01 -5.261798696064766290e+01 -5.402625588274803192e+01 -1.666461993285569321e+01
-5.244392094503319868e+01 -5.310200824202653536e+01 -5.173506965781055555e+01 -5.330405159809281201e+01 -1.589192094503319908e+01
-5.204748872590185726e+01 -5.229631237104264585e+01 -5.141593304824331767e+01 -5.281759651128179200e+01 -1.549548872590185766e+01
-5.117355116459482645e+01 -5.159352932649932200e+01 -5.065794338825934773e+01 -5.192575278123691618e+01 -1.462155116459482684e+01
-5.049417883043006583e+01 -5.110085179975047964e+01 -4.973703820201141212e+01 -5.136477792853024482e+01 -1.394217883043006623e+01
-5.011123446208405596e+01 -5.073061236624600667e+01 -4.930244578019622281e+01 -5.100011967691932568e+01 -1.355923446208405636e+01
-4.954142559311983973e+01 -5.018879140227876690e+01 -4.871712430638157798e+01 -5.044341414615566777e+01 -1.298942559311984013e+01
-4.951576694182499949e+01 -5.009385838461106744e+01 -4.870400523937318837e+01 -5.040348295042094406e+01 -1.296376694182499989e+01
-4.949013294009192521e+01 -4.999083006382770122e+01 -4.870773325397958331e+01 -5.035757326271867385e+01 -1.293813294009192560e+01
-4.928589765970534842e+01 -4.966098022694849590e+01 -4.876504063683773893e+01 -5.007594872017588727e+01 -1.273389765970534881e+01
-4.889379497419372456e+01 -4.938025711612218771e+01 -4.825430277585874705e+01 -4.974507541608463868e+01 -1.234179497419372495e+01
-4.889380623095708245e+01 -4.935046994156675737e+01 -4.810161547052225472e+01 -4.976464303133304412e+01 -1.234180623095708285e+01
-4.887656948012305236e+01 -4.928517496281990873e+01 -4.819422637964731138e+01 -4.970364350520672758e+01 -1.232456948012305276e+01
-4.872884578084803309e+01 -4.911749935161107317e+01 -4.809544769880862702e+01 -4.956305018693896614e+01 -1.217684578084803348e+01
-4.846061546038236401e+01 -4.879729656084570877e+01 -4.794693469079505377e+01 -4.926378787818370597e+01 -1.190861546038236440e+01
-4.826844701618273348e+01 -4.865843126124847373e+01 -4.767082567001936866e+01 -4.908850144790967818e+01 -1.171644701618273388e+01
-4.826353344382578570e+01 -4.862245897075868584e+01 -4.766279552159665656e+01 -4.907692182873786635e+01 -1.171153344382578609e+01
-4.832539349317733013e+01 -4.861313405840652990e+01 -4.781076292359853142e+01 -4.912283614642174001e+01 -1.177339349317733053e+01
-4.831398388228603835e+01 -4.855396643518947997e+01 -4.780567477176677471e+01 -4.909988308410665070e+01 -1.176198388228603875e+01
-4.830420555946876959e+01 -4.847579710471620018e+01 -4.782101473148308202e+01 -4.905372478857860585e+01 -1.175220555946876999e+01
