;z=11 [9.5<z<12.5]
;;reproduced from 2308.10932 table 3
;;delta M_UV = 0.8
;;M_UV [phi 1.0E-06 mag^{-1} Mpc^{-3}] +error -error
-22.0 1.0 0.3 0.4
-21.2 1.4 0.5 0.5
