#9.5<z<12.5 from table 4 of 2304.14469
#M_UV   phi [1.0E-05 Mpc^{-3} mag^{-1}] error on phi
-22.57 0.012 0.012
-21.80 0.129 0.128
-20.80 1.254 0.428
-20.05 3.974 1.340
-19.55 9.863 4.197
-18.85 23.490 9.190
-18.23 63.080 28.650

