# V, U, I, B, M_V
-5.235155027733468103e+01 -5.341836147661354062e+01 -5.206341837430141339e+01 -5.304402544304731748e+01 -1.579955027733468143e+01
-5.250029543026662537e+01 -5.356721917036743008e+01 -5.221273043503890676e+01 -5.319238459963452215e+01 -1.594829543026662577e+01
-5.267702665200452827e+01 -5.374405498302218120e+01 -5.238973989298936829e+01 -5.336895035705373402e+01 -1.612502665200452867e+01
-5.462771942571338002e+01 -5.479279592510227559e+01 -5.405207422475254475e+01 -5.537437766179560583e+01 -1.807571942571338042e+01
-5.329915296708126249e+01 -5.356660970787491038e+01 -5.269560861180386979e+01 -5.407641014522678802e+01 -1.674715296708126289e+01
-5.160525909442434767e+01 -5.241286538131739547e+01 -5.091323047033525029e+01 -5.247121288355806712e+01 -1.505325909442434806e+01
-5.085342979210926728e+01 -5.171112874081120481e+01 -5.010846905192042300e+01 -5.175575419083338602e+01 -1.430142979210926768e+01
-5.032411722909174756e+01 -5.121489722844206227e+01 -4.951981969317208154e+01 -5.125223505101266142e+01 -1.377211722909174796e+01
-5.004672059608472523e+01 -5.087854590169456515e+01 -4.920846069799242173e+01 -5.097838908203210906e+01 -1.349472059608472563e+01
-4.948019310972022566e+01 -5.031941085707356365e+01 -4.861497011434595095e+01 -5.042369730012460138e+01 -1.292819310972022606e+01
-4.943906187968538291e+01 -5.020298397768377896e+01 -4.857564952787021184e+01 -5.037160819626524955e+01 -1.288706187968538330e+01
-4.935669315869184715e+01 -5.004913857083504780e+01 -4.858715828387863667e+01 -5.024824989253720275e+01 -1.280469315869184754e+01
-4.895792536400616513e+01 -4.971258639138076774e+01 -4.807256248189866454e+01 -4.989559838667364744e+01 -1.240592536400616552e+01
-4.885106627234136312e+01 -4.950240844971957443e+01 -4.800444229456601875e+01 -4.976689514403621217e+01 -1.229906627234136351e+01
-4.881683911364024198e+01 -4.943166205635796473e+01 -4.798019475632294473e+01 -4.972530433745099998e+01 -1.226483911364024237e+01
-4.878154491372718127e+01 -4.935096851463139700e+01 -4.795978764799517080e+01 -4.967522127325678838e+01 -1.222954491372718167e+01
-4.857837947483528040e+01 -4.912753473567317286e+01 -4.777054629434734068e+01 -4.946260314872528596e+01 -1.202637947483528080e+01
-4.803551113231033298e+01 -4.874637010365717060e+01 -4.713991470863297906e+01 -4.897307779950457984e+01 -1.148351113231033338e+01
-4.803644945552900225e+01 -4.873127714681817935e+01 -4.714398771809803179e+01 -4.897085117315624814e+01 -1.148444945552900265e+01
-4.812494024486900912e+01 -4.874798550776490202e+01 -4.726619585620122166e+01 -4.903955423753006926e+01 -1.157294024486900952e+01
-4.807160532421492150e+01 -4.864145645845452748e+01 -4.739452730240843437e+01 -4.892399983444752820e+01 -1.151960532421492189e+01
-4.793150899206865745e+01 -4.859840956101586329e+01 -4.704490714062754364e+01 -4.886034778180867022e+01 -1.137950899206865785e+01
-4.795207414408242386e+01 -4.858464804065160081e+01 -4.707663125659142622e+01 -4.887305352330437813e+01 -1.140007414408242425e+01
-4.796383204709837855e+01 -4.857053452093146007e+01 -4.709973114254207616e+01 -4.887731193634301263e+01 -1.141183204709837895e+01
-4.801387562866696612e+01 -4.856525621073198806e+01 -4.717156423475734783e+01 -4.891614363887186556e+01 -1.146187562866696652e+01
-4.803751344739485774e+01 -4.845899857905148167e+01 -4.760720090062587673e+01 -4.882074610872555809e+01 -1.148551344739485813e+01
-4.776391293739781929e+01 -4.835259946273248488e+01 -4.690119412527384668e+01 -4.867479443585536814e+01 -1.121191293739781969e+01
-4.769552836139371266e+01 -4.824686184255426724e+01 -4.684879934639148047e+01 -4.859659611666164380e+01 -1.114352836139371306e+01
-4.760277411667051695e+01 -4.811892983369705235e+01 -4.676962965156695873e+01 -4.849739491948792391e+01 -1.105077411667051734e+01
-4.762302087597007727e+01 -4.799433594602692210e+01 -4.726663584653290684e+01 -4.837590675767359016e+01 -1.107102087597007767e+01
-4.745741127686581962e+01 -4.801312324009218457e+01 -4.660561706131038306e+01 -4.836171173982722848e+01 -1.090541127686582001e+01
-4.739764693303081344e+01 -4.796723321464572365e+01 -4.654119268921650132e+01 -4.830544484781288617e+01 -1.084564693303081384e+01
-4.762349854249038827e+01 -4.796120156033957471e+01 -4.729261134213792417e+01 -4.836288414481504105e+01 -1.107149854249038867e+01
-4.750447269326338073e+01 -4.800178508742105521e+01 -4.667454360704638106e+01 -4.839612575260362348e+01 -1.095247269326338113e+01
-4.746991904581285837e+01 -4.795550314638390432e+01 -4.664348979242510751e+01 -4.835911670271929097e+01 -1.091791904581285877e+01
-4.743926010873963861e+01 -4.790927520491859326e+01 -4.662226126147805871e+01 -4.832545787978486374e+01 -1.088726010873963901e+01
-4.749946246242078018e+01 -4.789409846808126048e+01 -4.681939536828125625e+01 -4.833063728767012179e+01 -1.094746246242078058e+01
-4.746349878366335417e+01 -4.791409428057485087e+01 -4.664008705440294733e+01 -4.834652095337149547e+01 -1.091149878366335457e+01
-4.740426784631647195e+01 -4.786529529231663105e+01 -4.657610122865569480e+01 -4.828919978925221557e+01 -1.085226784631647234e+01
-4.751510910105583463e+01 -4.782596776322213827e+01 -4.700391466401345753e+01 -4.828795672613942003e+01 -1.096310910105583503e+01
-4.778434932369731314e+01 -4.813269148951877696e+01 -4.701070751292517969e+01 -4.864613250531053268e+01 -1.123234932369731354e+01
-4.754691506166554404e+01 -4.796870715290453546e+01 -4.672622089480842789e+01 -4.842475332867654458e+01 -1.099491506166554444e+01
-4.746721913740799437e+01 -4.779095797227768827e+01 -4.700113594401994987e+01 -4.822436489192551790e+01 -1.091521913740799476e+01
-4.730873782040792008e+01 -4.775540716341721748e+01 -4.648348211771373428e+01 -4.819091135976155726e+01 -1.075673782040792048e+01
-4.712817590413514068e+01 -4.762161585607269387e+01 -4.628492071287773513e+01 -4.802085591710579138e+01 -1.057617590413514108e+01
-4.584706770973808432e+01 -4.645923860313455123e+01 -4.495015546756334857e+01 -4.676698224376887936e+01 -9.295067709738084716e+00
-4.585933205240869626e+01 -4.647229525796606708e+01 -4.496221555082524191e+01 -4.677943275517488786e+01 -9.307332052408696654e+00
-4.591845467332265684e+01 -4.651787461482329888e+01 -4.502425069689003578e+01 -4.683560966739945997e+01 -9.366454673322657243e+00
-4.593658789540732101e+01 -4.654846529154393409e+01 -4.504303835557396951e+01 -4.685728877622949540e+01 -9.384587895407321412e+00
-4.594782376978513128e+01 -4.656022677724332937e+01 -4.505415092246937547e+01 -4.686865334140748018e+01 -9.395823769785131674e+00
-4.596387291632082395e+01 -4.657707827162916914e+01 -4.507002173859925165e+01 -4.688489595660108478e+01 -9.411872916320824345e+00
-4.597927933070914008e+01 -4.659308533496604809e+01 -4.508529533475990547e+01 -4.690045115292991795e+01 -9.427279330709140481e+00
-4.602458131813855857e+01 -4.662877511059744506e+01 -4.513266197881748809e+01 -4.694366256934789305e+01 -9.472581318138558970e+00
-4.609620535408012643e+01 -4.668498801469421977e+01 -4.520804253047900545e+01 -4.701226130902652756e+01 -9.544205354080126824e+00
-4.611070848951222700e+01 -4.670006822737765617e+01 -4.522242478562559853e+01 -4.702690798470549538e+01 -9.558708489512227402e+00
-4.613085402529819135e+01 -4.672095765925116950e+01 -4.524241780308943817e+01 -4.704723827285808113e+01 -9.578854025298191743e+00
-4.615486558237299164e+01 -4.674599218133685241e+01 -4.526623218448372654e+01 -4.707150666593318533e+01 -9.602865582372992037e+00
-4.729614483600251162e+01 -4.751193365512435918e+01 -4.652623429075737960e+01 -4.813506651453628393e+01 -1.074414483600251202e+01
-4.779366079617022933e+01 -4.780213544468735165e+01 -4.708577235231001623e+01 -4.859488816793103183e+01 -1.124166079617022973e+01
-4.746084278336037698e+01 -4.767930812702531540e+01 -4.671514769818229240e+01 -4.830717971120542131e+01 -1.090884278336037738e+01
-4.740147859503770889e+01 -4.768882914714929200e+01 -4.661479798509571992e+01 -4.825348622289495637e+01 -1.084947859503770928e+01
-4.729285168803849615e+01 -4.765138016938618648e+01 -4.648741034065386657e+01 -4.815848848537924454e+01 -1.074085168803849655e+01
-4.719242284883296179e+01 -4.761207563114706431e+01 -4.637017122027955907e+01 -4.807014283794018894e+01 -1.064042284883296219e+01
-4.722731882423740757e+01 -4.764626968502641091e+01 -4.640538784359614510e+01 -4.810489282240026654e+01 -1.067531882423740797e+01
-4.727927371668261003e+01 -4.769778932757006373e+01 -4.645802717771047696e+01 -4.815709355097665423e+01 -1.072727371668261043e+01
-4.731576551555352950e+01 -4.773363855058587291e+01 -4.649481871489088292e+01 -4.819344576095443244e+01 -1.076376551555352989e+01
-4.559532861141583737e+01 -4.613389737686215142e+01 -4.471965014886538370e+01 -4.650051427239232282e+01 -9.043328611415837770e+00
-4.560715251825666883e+01 -4.614613542453157180e+01 -4.473137730859875916e+01 -4.651243950880531486e+01 -9.055152518256669225e+00
-4.565089213304325000e+01 -4.617840876946121398e+01 -4.477750861214335032e+01 -4.655366992976327367e+01 -9.098892133043250396e+00
-4.566256139270941361e+01 -4.619085823949583869e+01 -4.478902798007951702e+01 -4.656552871177530761e+01 -9.110561392709414008e+00
-4.567753145209395882e+01 -4.620646560486094501e+01 -4.480386524802722192e+01 -4.658065282220137249e+01 -9.125531452093959217e+00
-4.576190342977678682e+01 -4.626672746120475210e+01 -4.489383827544317285e+01 -4.666033765472280948e+01 -9.209903429776787220e+00
-4.578156819648973652e+01 -4.628716423692110027e+01 -4.491335578632748593e+01 -4.668019645789546246e+01 -9.229568196489736920e+00
-4.579693152669929646e+01 -4.630316561864723468e+01 -4.492861066233671608e+01 -4.669572377334233693e+01 -9.244931526699296853e+00
-4.593803786653165133e+01 -4.644966307638091507e+01 -4.506878369754187474e+01 -4.683821484847405259e+01 -9.386037866531651730e+00
-4.712845897938686335e+01 -4.616659660731017567e+01 -4.728500810564868573e+01 -4.718658298059656886e+01 -1.057645897938686375e+01
-4.762505527686948881e+01 -4.725868267768142061e+01 -4.701007477244611721e+01 -4.835686435460273458e+01 -1.107305527686948921e+01
-4.742098689720734939e+01 -4.739859581934045707e+01 -4.671859151393901755e+01 -4.821750464223804755e+01 -1.086898689720734978e+01
-4.723976198066986854e+01 -4.733494451924822499e+01 -4.651340374387940813e+01 -4.806158045373211962e+01 -1.068776198066986893e+01
-4.715482262162047533e+01 -4.732749220910557142e+01 -4.639478895525243729e+01 -4.798622814123226021e+01 -1.060282262162047573e+01
-4.710590549232765056e+01 -4.732394525465523571e+01 -4.633540820860545040e+01 -4.794521659666532543e+01 -1.055390549232765096e+01
-4.705971157342628430e+01 -4.731916138031914443e+01 -4.627941378812676021e+01 -4.790655862751904692e+01 -1.050771157342628470e+01
-4.693676502954681240e+01 -4.726940453355546623e+01 -4.613763789599916265e+01 -4.779734671400225920e+01 -1.038476502954681280e+01
-4.696532072169496530e+01 -4.729742035981990966e+01 -4.616646026052716678e+01 -4.782579794799265471e+01 -1.041332072169496570e+01
-4.699536151490875113e+01 -4.732705984184305237e+01 -4.619671639482592695e+01 -4.785576180904455157e+01 -1.044336151490875153e+01
-4.702633173778318110e+01 -4.735765360206574570e+01 -4.622788604091848441e+01 -4.788666000915694099e+01 -1.047433173778318150e+01
