# wavelength_obs(um)  flux_med(uJy)  flux_low(uJy)  flux_high(uJy)
6.522359e+02 1.637106e+02 1.473381e+02 1.590778e+02
6.584163e+02 1.597733e+02 1.436103e+02 1.555866e+02
6.645967e+02 1.559411e+02 1.399901e+02 1.521748e+02
6.707771e+02 1.522113e+02 1.364743e+02 1.488412e+02
6.769575e+02 1.485811e+02 1.330596e+02 1.455844e+02
6.831379e+02 1.450479e+02 1.297430e+02 1.424028e+02
6.893184e+02 1.416091e+02 1.265216e+02 1.392952e+02
6.954988e+02 1.382622e+02 1.233923e+02 1.362600e+02
7.016792e+02 1.350046e+02 1.203525e+02 1.332958e+02
7.078596e+02 1.318340e+02 1.173992e+02 1.304010e+02
7.140400e+02 1.287479e+02 1.145300e+02 1.275743e+02
7.202204e+02 1.257440e+02 1.117422e+02 1.248143e+02
7.264009e+02 1.228200e+02 1.090332e+02 1.221193e+02
7.325813e+02 1.199737e+02 1.064008e+02 1.194881e+02
7.387617e+02 1.172030e+02 1.038424e+02 1.169192e+02
7.449421e+02 1.145056e+02 1.013558e+02 1.144112e+02
7.511225e+02 1.118796e+02 9.893886e+01 1.119626e+02
7.573029e+02 1.093229e+02 9.658936e+01 1.095722e+02
7.634834e+02 1.068336e+02 9.430524e+01 1.072386e+02
7.696638e+02 1.044097e+02 9.208449e+01 1.049604e+02
7.758442e+02 1.020495e+02 8.992516e+01 1.027364e+02
7.820246e+02 9.975107e+01 8.782536e+01 1.005651e+02
7.882050e+02 9.751269e+01 8.578326e+01 9.844549e+01
7.943855e+02 9.533266e+01 8.379711e+01 9.637617e+01
8.005659e+02 9.320931e+01 8.186518e+01 9.435596e+01
8.067463e+02 9.114105e+01 7.998582e+01 9.238366e+01
8.129267e+02 8.912630e+01 7.815743e+01 9.045810e+01
8.191071e+02 8.716354e+01 7.637846e+01 8.857812e+01
8.252875e+02 8.525130e+01 7.464739e+01 8.674261e+01
8.314680e+02 8.338815e+01 7.296280e+01 8.495046e+01
8.376484e+02 8.157268e+01 7.132325e+01 8.320059e+01
8.438288e+02 7.980356e+01 6.972741e+01 8.149196e+01
8.500092e+02 7.807947e+01 6.817394e+01 7.982354e+01
8.561896e+02 7.639913e+01 6.666158e+01 7.819431e+01
8.623700e+02 7.476131e+01 6.518910e+01 7.660330e+01
8.685505e+02 7.316481e+01 6.375530e+01 7.504955e+01
8.747309e+02 7.160847e+01 6.235903e+01 7.353212e+01
8.809113e+02 7.009115e+01 6.099918e+01 7.205010e+01
8.870917e+02 6.861177e+01 5.967466e+01 7.060260e+01
8.932721e+02 6.716925e+01 5.838442e+01 6.918875e+01
8.994525e+02 6.576257e+01 5.712747e+01 6.780770e+01
9.056330e+02 6.439072e+01 5.590281e+01 6.645862e+01
9.118134e+02 6.305274e+01 5.470950e+01 6.514071e+01
9.179938e+02 6.174768e+01 5.354663e+01 6.385318e+01
9.241742e+02 6.047463e+01 5.241331e+01 6.259527e+01
9.303546e+02 5.923270e+01 5.130867e+01 6.136622e+01
9.365350e+02 5.802103e+01 5.023189e+01 6.016532e+01
9.427155e+02 5.683879e+01 4.918217e+01 5.899184e+01
9.488959e+02 5.568517e+01 4.815872e+01 5.784511e+01
9.550763e+02 5.455938e+01 4.716078e+01 5.672445e+01
9.612567e+02 5.346066e+01 4.618764e+01 5.562920e+01
