# V, U, I, B, M_V
-5.121899843642520977e+01 -5.228057278016919440e+01 -5.089936719200080972e+01 -5.193020502338272593e+01 -1.466699843642521017e+01
-5.131085239439861567e+01 -5.237239811119459176e+01 -5.095989367433988093e+01 -5.204483147486318728e+01 -1.475885239439861607e+01
-5.149327727289959000e+01 -5.253472500667457723e+01 -5.105302071498505256e+01 -5.227851600421778500e+01 -1.494127727289959040e+01
-5.222549001390171242e+01 -5.296334630389566200e+01 -5.154306365791094180e+01 -5.306963042570168199e+01 -1.567349001390171281e+01
-5.156280742895211944e+01 -5.189276789950569935e+01 -5.102012489903691517e+01 -5.226683730617119039e+01 -1.501080742895211984e+01
-5.059340794751324921e+01 -5.113565253648707909e+01 -4.987950945396896429e+01 -5.144661126013053831e+01 -1.404140794751324961e+01
-5.055494413863709724e+01 -5.060681601018025333e+01 -5.016770139151932995e+01 -5.116271165239907504e+01 -1.400294413863709764e+01
-5.040912198510688569e+01 -5.006658051308196633e+01 -5.034158290087385978e+01 -5.086973587984936529e+01 -1.385712198510688609e+01
-4.955370907878960907e+01 -4.945736299498495470e+01 -4.978161174079829721e+01 -5.005897629004174831e+01 -1.300170907878960946e+01
-4.915000884063184117e+01 -4.919245390156187625e+01 -4.929811422552634781e+01 -4.973362961445698716e+01 -1.259800884063184157e+01
-4.889631608406395458e+01 -4.889749501913832574e+01 -4.916070156036872874e+01 -4.945439657771239439e+01 -1.234431608406395497e+01
-4.871874888821506033e+01 -4.866290622212918038e+01 -4.886751371550375467e+01 -4.925739568671376389e+01 -1.216674888821506073e+01
-4.839373906304201967e+01 -4.815192125182687022e+01 -4.884032488413908624e+01 -4.872909655382798633e+01 -1.184173906304202006e+01
-4.781494162065038012e+01 -4.786149875876749604e+01 -4.843251589763924159e+01 -4.823089486000942827e+01 -1.126294162065038051e+01
-4.757241264499971578e+01 -4.768385392205839679e+01 -4.814901976902731207e+01 -4.802306535142206911e+01 -1.102041264499971618e+01
-4.745201366098561380e+01 -4.753777857744392321e+01 -4.807287735684927554e+01 -4.788805756187181828e+01 -1.090001366098561419e+01
-4.730878952242083813e+01 -4.739740343511358134e+01 -4.795500531158208446e+01 -4.776074096394917490e+01 -1.075678952242083852e+01
-4.717872421869049049e+01 -4.731104557577512537e+01 -4.775689572269658356e+01 -4.767995853273740181e+01 -1.062672421869049089e+01
-4.737126473210287969e+01 -4.738836841903332697e+01 -4.756183558802113254e+01 -4.791122553485845259e+01 -1.081926473210288009e+01
-4.725905738955773927e+01 -4.749557912325596476e+01 -4.727399508957229557e+01 -4.792480598140936365e+01 -1.070705738955773967e+01
-4.726931208766596626e+01 -4.747283829652738518e+01 -4.720782869804024529e+01 -4.795742159670646743e+01 -1.071731208766596666e+01
-4.718949289027808902e+01 -4.733619020818356660e+01 -4.721278371070992819e+01 -4.782564578403791700e+01 -1.063749289027808942e+01
-4.711482937820538552e+01 -4.728401529964454397e+01 -4.704074247431442046e+01 -4.779767911686096227e+01 -1.056282937820538592e+01
-4.703011635135307955e+01 -4.726776588841227067e+01 -4.691469099317143332e+01 -4.776754688514528624e+01 -1.047811635135307995e+01
-4.682540189717207113e+01 -4.702695096868275471e+01 -4.682409549564845719e+01 -4.751919381604970738e+01 -1.027340189717207153e+01
-4.677642848374340900e+01 -4.694857917017479565e+01 -4.674186596192313914e+01 -4.743784327795044220e+01 -1.022442848374340940e+01
-4.680669030929890795e+01 -4.694723904810916792e+01 -4.671588814012849866e+01 -4.748563523161542577e+01 -1.025469030929890835e+01
-4.674078359343617706e+01 -4.686442402306272470e+01 -4.679081334938839376e+01 -4.738580052538765841e+01 -1.018878359343617745e+01
-4.673385329304655045e+01 -4.683501089414104968e+01 -4.665897681548364773e+01 -4.737858417993651017e+01 -1.018185329304655085e+01
-4.670085531278679980e+01 -4.679808800902914356e+01 -4.670414309651827978e+01 -4.737112719949263351e+01 -1.014885531278680020e+01
-4.661490942006139448e+01 -4.671059088777531798e+01 -4.656328511988023422e+01 -4.727313381147918392e+01 -1.006290942006139488e+01
-4.661163429882538622e+01 -4.667624511014075495e+01 -4.654409306055094930e+01 -4.725890301526624881e+01 -1.005963429882538662e+01
-4.662772960113217380e+01 -4.661391682728653052e+01 -4.673414146363359833e+01 -4.723289393441220341e+01 -1.007572960113217420e+01
-4.656696073078634157e+01 -4.656583882540445529e+01 -4.660821236315484128e+01 -4.717080471801992303e+01 -1.001496073078634197e+01
-4.652615840128927260e+01 -4.649605563524032448e+01 -4.651905968185593565e+01 -4.712199616466610053e+01 -9.974158401289273002e+00
-4.656826796617116315e+01 -4.649697535865985287e+01 -4.658072716857034834e+01 -4.717327459229748854e+01 -1.001626796617116355e+01
-4.651571934647363804e+01 -4.647521386215288430e+01 -4.644774606714781839e+01 -4.713778040167896677e+01 -9.963719346473638439e+00
-4.645605695262280221e+01 -4.641280347019176844e+01 -4.635661949057475795e+01 -4.706195976156212168e+01 -9.904056952622802612e+00
-4.640216958431494021e+01 -4.634172616343504103e+01 -4.638269011748463555e+01 -4.701420683879099016e+01 -9.850169584314940607e+00
-4.635333706793532116e+01 -4.626431932673036584e+01 -4.630247051573511641e+01 -4.693420333177806469e+01 -9.801337067935321556e+00
-4.638733023886103268e+01 -4.627566793588442096e+01 -4.631002832476045228e+01 -4.696634770314327056e+01 -9.835330238861033081e+00
-4.634368308902125477e+01 -4.622257126824447226e+01 -4.632100275835995973e+01 -4.691212060257507233e+01 -9.791683089021255171e+00
-4.629791106487451202e+01 -4.614787590531002337e+01 -4.627383744091506657e+01 -4.684442079655684665e+01 -9.745911064874512419e+00
-4.645511009881403908e+01 -4.584301029427980723e+01 -4.683939597988708670e+01 -4.675730992761805993e+01 -9.903110098814039475e+00
-4.632344753911361579e+01 -4.582130319099675120e+01 -4.659200791766490823e+01 -4.667915712057724420e+01 -9.771447539113616187e+00
-4.628134392218871085e+01 -4.582695629196108911e+01 -4.650460602921118891e+01 -4.668611928500080666e+01 -9.729343922188711247e+00
-4.626688202165756536e+01 -4.585389725883142376e+01 -4.631318857197115335e+01 -4.670518808282778167e+01 -9.714882021657565758e+00
-4.625358311691317681e+01 -4.586390763287228367e+01 -4.632822096460848371e+01 -4.670747581967435735e+01 -9.701583116913177207e+00
-4.672196943613380427e+01 -4.645854373688196404e+01 -4.615070761149631551e+01 -4.744516835190015058e+01 -1.016996943613380466e+01
-4.661295346056758149e+01 -4.646226819368947503e+01 -4.611783862948402657e+01 -4.736121139923591272e+01 -1.006095346056758189e+01
-4.510074436694014821e+01 -4.548847524273747212e+01 -4.427780848647610412e+01 -4.596874655070624272e+01 -8.548744366940148609e+00
-4.510953891182577991e+01 -4.549801131339555837e+01 -4.428636873783645456e+01 -4.597774249287741100e+01 -8.557538911825780303e+00
