# V, U, I, B, M_V
-5.118934299030478030e+01 -5.225282078894726112e+01 -5.088058194749552854e+01 -5.189414391491168743e+01 -1.463734299030478070e+01
-5.130984851066443042e+01 -5.237325386231752589e+01 -5.099399822105510083e+01 -5.201998734635334642e+01 -1.475784851066443082e+01
-5.148146903136515107e+01 -5.253781153325262920e+01 -5.111723948458156741e+01 -5.222363982678250238e+01 -1.492946903136515147e+01
-5.239329192605878660e+01 -5.315812762292984672e+01 -5.169707828896704171e+01 -5.325995613506919568e+01 -1.584129192605878700e+01
-5.142233387866514249e+01 -5.210137176018218952e+01 -5.071553647286430078e+01 -5.228364726550545072e+01 -1.487033387866514289e+01
-5.119728425103483005e+01 -5.156427236079012744e+01 -5.050632569920104942e+01 -5.202240570248940088e+01 -1.464528425103483045e+01
-5.089909045450831115e+01 -5.099083007760115294e+01 -5.036983138711634211e+01 -5.161722525203440171e+01 -1.434709045450831155e+01
-4.981037871031281838e+01 -5.012558488731229289e+01 -4.937230192609721513e+01 -5.055155897718614710e+01 -1.325837871031281878e+01
-4.983868563781543060e+01 -4.996484800865319187e+01 -4.956575192643435912e+01 -5.049504564935384110e+01 -1.328668563781543099e+01
-4.914616954763209833e+01 -4.943607656358138058e+01 -4.877790148780458424e+01 -4.988101604716583637e+01 -1.259416954763209873e+01
-4.915422957192613751e+01 -4.934004135534252811e+01 -4.881251093444876687e+01 -4.985992053443845151e+01 -1.260222957192613791e+01
-4.910267477170287265e+01 -4.919613656421192616e+01 -4.883306640462274117e+01 -4.977774401204379018e+01 -1.255067477170287304e+01
-4.882945116389439022e+01 -4.879356672898808256e+01 -4.871911418878361388e+01 -4.945821969416531516e+01 -1.227745116389439062e+01
-4.862843824754019550e+01 -4.855454592996280638e+01 -4.835615059075803401e+01 -4.930343609754223166e+01 -1.207643824754019590e+01
-4.861767851378158412e+01 -4.825074993059647710e+01 -4.849825781133012725e+01 -4.909663918104320146e+01 -1.206567851378158451e+01
-4.833994329716877303e+01 -4.773385412785651027e+01 -4.857310183589837038e+01 -4.848343985734155126e+01 -1.178794329716877343e+01
-4.786219771836157122e+01 -4.732223910536727374e+01 -4.836795093675632273e+01 -4.792640422909792619e+01 -1.131019771836157162e+01
-4.744971437719085827e+01 -4.728981625915682940e+01 -4.790257150567829569e+01 -4.777630729232057405e+01 -1.089771437719085867e+01
-4.717421308821827353e+01 -4.716752709681539812e+01 -4.750786260117759952e+01 -4.757063712352849905e+01 -1.062221308821827392e+01
-4.719562594849693937e+01 -4.716169810329525092e+01 -4.759282464736295282e+01 -4.758609799677928009e+01 -1.064362594849693977e+01
-4.716976210662433999e+01 -4.706913959670022507e+01 -4.756417237125649677e+01 -4.752433443380897415e+01 -1.061776210662434039e+01
-4.712218053415593744e+01 -4.701813850435395636e+01 -4.749886401375790967e+01 -4.747188358684739740e+01 -1.057018053415593783e+01
-4.712072047416412346e+01 -4.695231060275928314e+01 -4.749253844265885505e+01 -4.744821757705695120e+01 -1.056872047416412386e+01
-4.704775387852436808e+01 -4.686474172050005649e+01 -4.743511260973291144e+01 -4.735831892404740273e+01 -1.049575387852436847e+01
-4.705432039699820734e+01 -4.675830048034249131e+01 -4.753936070224560240e+01 -4.729606016819832348e+01 -1.050232039699820774e+01
-4.697123201910319779e+01 -4.668245270314169204e+01 -4.747120901834889395e+01 -4.721726102434581662e+01 -1.041923201910319818e+01
-4.694708393699363569e+01 -4.658633349803434953e+01 -4.742798879933700817e+01 -4.717742285131797786e+01 -1.039508393699363609e+01
-4.678889913833049974e+01 -4.652444217324723752e+01 -4.725419768037363610e+01 -4.706518612810830859e+01 -1.023689913833050014e+01
-4.671746792195848030e+01 -4.646783474703485695e+01 -4.721161396356598061e+01 -4.700607219309900842e+01 -1.016546792195848070e+01
-4.658536264150658468e+01 -4.642509020088808569e+01 -4.696917625341420433e+01 -4.694324413370572557e+01 -1.003336264150658508e+01
-4.643610538227004980e+01 -4.638819504980865815e+01 -4.666986725225685007e+01 -4.687901774946614353e+01 -9.884105382270050200e+00
-4.648908798322218416e+01 -4.641722405497137061e+01 -4.667676513967638385e+01 -4.694908738294589057e+01 -9.937087983222184562e+00
-4.648890208544899849e+01 -4.635689124438496833e+01 -4.680288946854019372e+01 -4.687981438717961424e+01 -9.936902085448998889e+00
-4.644070320085472758e+01 -4.629907420640995497e+01 -4.665229513495337699e+01 -4.683481688875066595e+01 -9.888703200854727982e+00
-4.646160161991984694e+01 -4.624927154484829117e+01 -4.673420340463952272e+01 -4.681138398879604523e+01 -9.909601619919847337e+00
-4.652216321042070035e+01 -4.622574098263933706e+01 -4.684506866359615884e+01 -4.682949121396945458e+01 -9.970163210420700750e+00
-4.648949649568696429e+01 -4.623861056895879074e+01 -4.666650330764064591e+01 -4.686142839469040666e+01 -9.937496495686964693e+00
-4.648990249861638802e+01 -4.618908840267976501e+01 -4.670785017929613758e+01 -4.681276153791419858e+01 -9.937902498616388414e+00
-4.649819134970238110e+01 -4.614568793699420013e+01 -4.681343138851039498e+01 -4.679275050540363168e+01 -9.946191349702381501e+00
-4.648755555267608486e+01 -4.612938178691685920e+01 -4.668666637511583417e+01 -4.679925289887563622e+01 -9.935555552676085256e+00
-4.648918359054177785e+01 -4.605241706647273503e+01 -4.673979367298562693e+01 -4.674998750977124473e+01 -9.937183590541778244e+00
-4.653353496148170620e+01 -4.607997689556101761e+01 -4.679483152381720146e+01 -4.681688184169541955e+01 -9.981534961481706603e+00
-4.663152409683296185e+01 -4.629465542265724309e+01 -4.672031054403230144e+01 -4.701526899717837438e+01 -1.007952409683296224e+01
-4.667947796994059928e+01 -4.572708133956634668e+01 -4.707359641637134473e+01 -4.670522694678372488e+01 -1.012747796994059968e+01
-4.660511602387053642e+01 -4.575079827729373960e+01 -4.699076545593734267e+01 -4.670002971426396243e+01 -1.005311602387053682e+01
-4.650154532975755473e+01 -4.578944200734342473e+01 -4.675385883133344578e+01 -4.669483450867170404e+01 -9.949545329757555123e+00
-4.644317881263025072e+01 -4.577370841237641486e+01 -4.665692892880726816e+01 -4.667060418359984908e+01 -9.891178812630251116e+00
-4.686556173106175294e+01 -4.634034538098230627e+01 -4.666968249029952176e+01 -4.733538291909708562e+01 -1.031356173106175333e+01
-4.668131519738396662e+01 -4.620645627665369659e+01 -4.646871895747462133e+01 -4.711992787516476255e+01 -1.012931519738396702e+01
-4.498317758344355610e+01 -4.544226746253676907e+01 -4.413826487724293912e+01 -4.586566142564505810e+01 -8.431177583443556500e+00
