# V, U, I, B, M_V
-5.048293661801132259e+01 -5.154820593109943161e+01 -5.018434473559420894e+01 -5.118164552780577736e+01 -1.393093661801132299e+01
-5.062196479255999293e+01 -5.168723977202857611e+01 -5.032205170921083948e+01 -5.132170735653729565e+01 -1.406996479255999333e+01
-5.079079593883836452e+01 -5.185436742654147224e+01 -5.048549986677535628e+01 -5.149370987786900855e+01 -1.423879593883836492e+01
-5.170680848479334202e+01 -5.240804374653375675e+01 -5.110817551258531211e+01 -5.251644443468568113e+01 -1.515480848479334242e+01
-5.093410949697086210e+01 -5.159219679396419167e+01 -5.022525820974820476e+01 -5.179424015003046122e+01 -1.438210949697086249e+01
-5.053767727783949937e+01 -5.078650092298029506e+01 -4.990612160018095977e+01 -5.130778506321944832e+01 -1.398567727783949977e+01
-4.966373971653247565e+01 -5.008371787843697120e+01 -4.914813194019700404e+01 -5.041594133317457249e+01 -1.311173971653247605e+01
-4.898436738236771504e+01 -4.959104035168813596e+01 -4.822722675394906844e+01 -4.985496648046790114e+01 -1.243236738236771544e+01
-4.860142301402170517e+01 -4.922080091818365588e+01 -4.779263433213387202e+01 -4.949030822885697489e+01 -1.204942301402170557e+01
-4.803161414505748894e+01 -4.867897995421641610e+01 -4.720731285831922719e+01 -4.893360269809332408e+01 -1.147961414505748934e+01
-4.800595549376264870e+01 -4.858404693654871664e+01 -4.719419379131083758e+01 -4.889367150235859327e+01 -1.145395549376264910e+01
-4.798032149202958863e+01 -4.848101861576535043e+01 -4.719792180591723962e+01 -4.884776181465633016e+01 -1.142832149202958902e+01
-4.777608621164300473e+01 -4.815116877888613800e+01 -4.725522918877538103e+01 -4.856613727211353648e+01 -1.122408621164300513e+01
-4.738398352613137376e+01 -4.787044566805982981e+01 -4.674449132779641047e+01 -4.823526396802228788e+01 -1.083198352613137416e+01
-4.738399478289473166e+01 -4.784065849350441368e+01 -4.659180402245990393e+01 -4.825483158327070043e+01 -1.083199478289473205e+01
-4.736675803206070157e+01 -4.777536351475755794e+01 -4.668441493158496769e+01 -4.819383205714437679e+01 -1.081475803206070196e+01
-4.721903433278568230e+01 -4.760768790354872237e+01 -4.658563625074627623e+01 -4.805323873887661534e+01 -1.066703433278568269e+01
-4.695080401232001321e+01 -4.728748511278335798e+01 -4.643712324273271008e+01 -4.775397643012134807e+01 -1.039880401232001361e+01
-4.675863556812038269e+01 -4.714861981318612294e+01 -4.616101422195703208e+01 -4.757868999984733449e+01 -1.020663556812038308e+01
-4.675372199576343490e+01 -4.711264752269633505e+01 -4.615298407353429866e+01 -4.756711038067551556e+01 -1.020172199576343530e+01
-4.681558204511497934e+01 -4.710332261034417911e+01 -4.630095147553618773e+01 -4.761302469835938922e+01 -1.026358204511497973e+01
-4.680417243422368756e+01 -4.704415498712712917e+01 -4.629586332370442392e+01 -4.759007163604429991e+01 -1.025217243422368796e+01
-4.679439411140641880e+01 -4.696598565665384228e+01 -4.631120328342072412e+01 -4.754391334051625506e+01 -1.024239411140641920e+01
-4.677646771510561052e+01 -4.693888244445140856e+01 -4.633852408027945557e+01 -4.749964725819984324e+01 -1.022446771510561092e+01
-4.669800220964299342e+01 -4.684475598370531202e+01 -4.636275447556418072e+01 -4.737266232790985754e+01 -1.014600220964299382e+01
-4.665866203871806306e+01 -4.673959213619610864e+01 -4.640926347011809838e+01 -4.728427874903258044e+01 -1.010666203871806346e+01
-4.654747288010631223e+01 -4.667301385386019774e+01 -4.631617592116653270e+01 -4.720346605561112341e+01 -9.995472880106312630e+00
-4.636997748765818272e+01 -4.656347470740595895e+01 -4.611361878308873941e+01 -4.705747191266034690e+01 -9.817977487658183122e+00
-4.623769441855972673e+01 -4.640187926006607455e+01 -4.601564206340199092e+01 -4.690710979173519490e+01 -9.685694418559727126e+00
-4.590989813536922526e+01 -4.617398772827293385e+01 -4.549610279910606891e+01 -4.664148608869663803e+01 -9.357898135369225656e+00
-4.600538213408172794e+01 -4.622239747610052518e+01 -4.555643990158011292e+01 -4.673701628994149360e+01 -9.453382134081728339e+00
-4.595226158307256981e+01 -4.616267837414262232e+01 -4.549780342575268577e+01 -4.668413895474309783e+01 -9.400261583072570204e+00
-4.605921084765304840e+01 -4.620360852309251243e+01 -4.558105159172889387e+01 -4.678598645600782646e+01 -9.507210847653048802e+00
-4.599923164263180553e+01 -4.616113059827721798e+01 -4.552611362238845771e+01 -4.671746476741996901e+01 -9.447231642631805926e+00
-4.607375942865263596e+01 -4.615243630451036694e+01 -4.564795591466750579e+01 -4.675363169605637381e+01 -9.521759428652636359e+00
-4.599819464037019401e+01 -4.611012860922770074e+01 -4.554817164073477898e+01 -4.669940244191781176e+01 -9.446194640370194406e+00
-4.600766997869403241e+01 -4.605770268588094751e+01 -4.566357034401704595e+01 -4.665330672287475977e+01 -9.455669978694032807e+00
-4.597834496327089226e+01 -4.608312267975485099e+01 -4.555825244251505524e+01 -4.666903976337924576e+01 -9.426344963270892663e+00
-4.600440692864332703e+01 -4.602767466979081235e+01 -4.571265784575560076e+01 -4.664096657652088140e+01 -9.452406928643327433e+00
-4.597124732470214781e+01 -4.603632480293474316e+01 -4.556010121131532031e+01 -4.665857467257710312e+01 -9.419247324702148205e+00
-4.597956999309658244e+01 -4.596553760038000291e+01 -4.567871382114279299e+01 -4.661440608258449458e+01 -9.427569993096582834e+00
-4.624345378321041977e+01 -4.587401332829468004e+01 -4.619232803330876891e+01 -4.667283782362547129e+01 -9.691453783210420170e+00
-4.614666880930018067e+01 -4.580015438616481305e+01 -4.613665946176047328e+01 -4.657033668460406517e+01 -9.594668809300181067e+00
-4.630071858234133231e+01 -4.631941726841060358e+01 -4.559433616949166890e+01 -4.710587890929315336e+01 -9.748718582341332706e+00
-4.602633255153298819e+01 -4.618440432829389408e+01 -4.545688913336110204e+01 -4.681198021246206054e+01 -9.474332551532988589e+00
-4.586452420968048216e+01 -4.610236894814001118e+01 -4.511633387728298317e+01 -4.669787428999623558e+01 -9.312524209680482556e+00
-4.584593736526972663e+01 -4.599510928166981216e+01 -4.528497318690655504e+01 -4.662853199909152124e+01 -9.293937365269727024e+00
-4.416771168225609046e+01 -4.470222807767435569e+01 -4.330091703683757487e+01 -4.506664063754517002e+01 -7.615711682256090853e+00
-4.417691409350220511e+01 -4.471234691846789389e+01 -4.330986105791734531e+01 -4.507608355491100127e+01 -7.624914093502205503e+00
-4.423912288238619084e+01 -4.476052265956283804e+01 -4.337477430797831346e+01 -4.513585375990174953e+01 -7.687122882386191236e+00
-4.425184065491349372e+01 -4.477429067903092630e+01 -4.338719773954404957e+01 -4.514885616726908069e+01 -7.699840654913494120e+00
-4.426288874595238099e+01 -4.478603129632894309e+01 -4.339802543119989764e+01 -4.516009792269593248e+01 -7.710888745952381385e+00
-4.427626912183798424e+01 -4.480026111942349587e+01 -4.341115417270478360e+01 -4.517371658216021757e+01 -7.724269121837984642e+00
-4.428670748022409498e+01 -4.481134180077467022e+01 -4.342138790913232782e+01 -4.518433454917896341e+01 -7.734707480224095377e+00
-4.433508184488591297e+01 -4.484954044950723073e+01 -4.347164851356182425e+01 -4.523064160106746101e+01 -7.783081844885913370e+00
-4.440879941459080271e+01 -4.491309241302709410e+01 -4.354949553125070594e+01 -4.530353564610508244e+01 -7.856799414590803110e+00
-4.442100013596723329e+01 -4.492599664110210256e+01 -4.356148884715138792e+01 -4.531593365518794059e+01 -7.869000135967233689e+00
