# V, U, I, B, M_V
-5.276380994590052609e+01 -5.382922199899404347e+01 -5.255858688653641764e+01 -5.338608401629063849e+01 -1.621180994590052649e+01
-5.291469463696511610e+01 -5.398011060360332181e+01 -5.271025093351670421e+01 -5.353628584577752747e+01 -1.636269463696511650e+01
-5.309719469528640445e+01 -5.416262493736323336e+01 -5.289322472733709191e+01 -5.371838303313648311e+01 -1.654519469528640485e+01
-5.402421905519616274e+01 -5.482564837205669050e+01 -5.345603137870008936e+01 -5.483409511597726294e+01 -1.747221905519616314e+01
-5.242024378341115209e+01 -5.342678865941601174e+01 -5.197259065518372267e+01 -5.320146768205774634e+01 -1.586824378341115249e+01
-5.141283311433505787e+01 -5.244335309862186989e+01 -5.098326589752552707e+01 -5.219005561808487670e+01 -1.486083311433505827e+01
-5.084737420592566082e+01 -5.186772487401158571e+01 -5.036244276213265891e+01 -5.165362316228772244e+01 -1.429537420592566122e+01
-5.037242234513239936e+01 -5.138646912362596453e+01 -4.983969466104248625e+01 -5.120453964131725400e+01 -1.382042234513239976e+01
-5.000597075348768072e+01 -5.101797062786352654e+01 -4.940591858485721133e+01 -5.087316916643320042e+01 -1.345397075348768112e+01
-4.956708782230342791e+01 -5.057068271051523567e+01 -4.889583416919469983e+01 -5.046453971464825372e+01 -1.301508782230342831e+01
-4.940995751733591135e+01 -5.040154243270326617e+01 -4.868377062632310981e+01 -5.032829205273508677e+01 -1.285795751733591175e+01
-4.923484569638383590e+01 -5.020758217724925032e+01 -4.845550947131073372e+01 -5.016867638460201562e+01 -1.268284569638383630e+01
-4.896770511009107452e+01 -4.991975396415483601e+01 -4.812093728779068869e+01 -4.992358701941147103e+01 -1.241570511009107491e+01
-4.868265506422537925e+01 -4.963223551995893956e+01 -4.782629076839722160e+01 -4.964159270075786878e+01 -1.213065506422537965e+01
-4.872030737605557249e+01 -4.958725318344176003e+01 -4.785485497623777462e+01 -4.967026431061374581e+01 -1.216830737605557289e+01
-4.852163174821306768e+01 -4.942250245007942056e+01 -4.761971646414396275e+01 -4.948883880046530948e+01 -1.196963174821306808e+01
-4.835865084678851389e+01 -4.925478437825348976e+01 -4.744624062318639091e+01 -4.932854091108688976e+01 -1.180665084678851429e+01
