# V, U, I, B, M_V
-5.167597339769946529e+01 -5.274124271078756010e+01 -5.137738151528235164e+01 -5.237468230749392006e+01 -1.512397339769946569e+01
-5.181500157224812142e+01 -5.288027655171670460e+01 -5.151508848889896797e+01 -5.251474413622541704e+01 -1.526300157224812182e+01
-5.198383271852650012e+01 -5.304740420622961494e+01 -5.167853664646349898e+01 -5.268674665755714415e+01 -1.543183271852650051e+01
-5.289984526448147761e+01 -5.360108052622189234e+01 -5.230121229227344060e+01 -5.370948121437382383e+01 -1.634784526448147801e+01
-5.212714627665899059e+01 -5.278523357365232016e+01 -5.141829498943634746e+01 -5.298727692971859682e+01 -1.557514627665899098e+01
-5.173071405752764207e+01 -5.197953770266843065e+01 -5.109915837986910248e+01 -5.250082184290757681e+01 -1.517871405752764247e+01
-5.085677649622061836e+01 -5.127675465812511391e+01 -5.034116871988513253e+01 -5.160897811286270098e+01 -1.430477649622061875e+01
-5.017740416205585063e+01 -5.078407713137626445e+01 -4.942026353363719693e+01 -5.104800326015602963e+01 -1.362540416205585103e+01
-4.979445979370984787e+01 -5.041383769787179858e+01 -4.898567111182201472e+01 -5.068334500854511049e+01 -1.324245979370984827e+01
-4.922465092474563164e+01 -4.987201673390455170e+01 -4.840034963800736278e+01 -5.012663947778145257e+01 -1.267265092474563204e+01
-4.919899227345078430e+01 -4.977708371623685224e+01 -4.838723057099897318e+01 -5.008670828204672887e+01 -1.264699227345078469e+01
-4.917335827171771712e+01 -4.967405539545349313e+01 -4.839095858560536811e+01 -5.004079859434446576e+01 -1.262135827171771751e+01
-4.896912299133114033e+01 -4.934420555857427360e+01 -4.844826596846352373e+01 -4.975917405180167918e+01 -1.241712299133114072e+01
-4.857702030581950936e+01 -4.906348244774797251e+01 -4.793752810748453896e+01 -4.942830074771042348e+01 -1.202502030581950976e+01
-4.857703156258287436e+01 -4.903369527319254928e+01 -4.778484080214803953e+01 -4.944786836295882893e+01 -1.202503156258287476e+01
-4.855979481174883716e+01 -4.896840029444569353e+01 -4.787745171127309618e+01 -4.938686883683251949e+01 -1.200779481174883756e+01
