# V, U, I, B, M_V
-5.301556368376033390e+01 -5.408097573685385129e+01 -5.281034062439622545e+01 -5.363783775415044630e+01 -1.646356368376033430e+01
-5.316644837482492392e+01 -5.423186434146312962e+01 -5.296200467137651202e+01 -5.378803958363733528e+01 -1.661444837482492431e+01
-5.334894843314621227e+01 -5.441437867522303407e+01 -5.314497846519689972e+01 -5.397013677099628381e+01 -1.679694843314621266e+01
-5.427597279305597056e+01 -5.507740210991649832e+01 -5.370778511655990428e+01 -5.508584885383705654e+01 -1.772397279305597095e+01
-5.267199752127096701e+01 -5.367854239727581955e+01 -5.222434439304351628e+01 -5.345322141991755416e+01 -1.611999752127096741e+01
-5.166458685219487279e+01 -5.269510683648167770e+01 -5.123501963538533488e+01 -5.244180935594467741e+01 -1.511258685219487319e+01
-5.109912794378546153e+01 -5.211947861187140063e+01 -5.061419649999245962e+01 -5.190537690014751604e+01 -1.454712794378546192e+01
-5.062417608299220007e+01 -5.163822286148575813e+01 -5.009144839890228695e+01 -5.145629337917704760e+01 -1.407217608299220046e+01
-5.025772449134748143e+01 -5.126972436572332015e+01 -4.965767232271700493e+01 -5.112492290429300823e+01 -1.370572449134748183e+01
-4.981884156016322152e+01 -5.082243644837503638e+01 -4.914758790705449343e+01 -5.071629345250806153e+01 -1.326684156016322191e+01
-4.966171125519571916e+01 -5.065329617056307399e+01 -4.893552436418291052e+01 -5.058004579059489458e+01 -1.310971125519571956e+01
-4.948659943424363661e+01 -5.045933591510905103e+01 -4.870726320917053442e+01 -5.042043012246182343e+01 -1.293459943424363701e+01
-4.921945884795087522e+01 -5.017150770201463672e+01 -4.837269102565048939e+01 -5.017534075727127885e+01 -1.266745884795087562e+01
-4.893440880208517285e+01 -4.988398925781874027e+01 -4.807804450625702231e+01 -4.989334643861766949e+01 -1.238240880208517325e+01
-4.897206111391538741e+01 -4.983900692130156074e+01 -4.810660871409757533e+01 -4.992201804847354651e+01 -1.242006111391538781e+01
-4.877338548607286839e+01 -4.967425618793922126e+01 -4.787147020200376346e+01 -4.974059253832511018e+01 -1.222138548607286879e+01
-4.861040458464831460e+01 -4.950653811611329047e+01 -4.769799436104619872e+01 -4.958029464894669047e+01 -1.205840458464831499e+01
-4.847804841326674818e+01 -4.933051064402843622e+01 -4.756950136686009500e+01 -4.943993342462097473e+01 -1.192604841326674858e+01
-4.835447958434155424e+01 -4.920445248635236624e+01 -4.744480988432825797e+01 -4.931623348101575033e+01 -1.180247958434155464e+01
-4.827103483959832886e+01 -4.913078280741004278e+01 -4.734368534509182780e+01 -4.923999536304255287e+01 -1.171903483959832926e+01
-4.821216678371360587e+01 -4.906478518578737180e+01 -4.728244388125684594e+01 -4.918081677815013819e+01 -1.166016678371360626e+01
-4.815854034922925564e+01 -4.900245309126286486e+01 -4.722614159338828443e+01 -4.912674011330497592e+01 -1.160654034922925604e+01
-4.810302512115551110e+01 -4.893745123756015403e+01 -4.717016922298941495e+01 -4.906986883129624744e+01 -1.155102512115551150e+01
-4.805275754644779340e+01 -4.887488983309401647e+01 -4.712055401914811625e+01 -4.901756318534378210e+01 -1.150075754644779380e+01
-4.829596903704853617e+01 -4.883713076083174798e+01 -4.783521309394618726e+01 -4.906171874038815872e+01 -1.174396903704853656e+01
-4.800953104641421731e+01 -4.878467545685816731e+01 -4.709209330333055732e+01 -4.896267389259688230e+01 -1.145753104641421771e+01
-4.781830561985165673e+01 -4.861620734975588931e+01 -4.688938930927253779e+01 -4.877824636040200801e+01 -1.126630561985165713e+01
-4.770525438229451254e+01 -4.848412086935199028e+01 -4.677996723372676513e+01 -4.866112371651129820e+01 -1.115325438229451294e+01
-4.760591131149023880e+01 -4.838560428633051202e+01 -4.667761005929645535e+01 -4.856277162080000664e+01 -1.105391131149023920e+01
-4.757896934537335909e+01 -4.835427097407173846e+01 -4.665139501009812761e+01 -4.853489972299154687e+01 -1.102696934537335949e+01
-4.756284107079844148e+01 -4.832940603577605998e+01 -4.663780202068305414e+01 -4.851677081363848743e+01 -1.101084107079844188e+01
-4.753659643177557115e+01 -4.829796779824323494e+01 -4.661244730898778954e+01 -4.848944418568304116e+01 -1.098459643177557155e+01
-4.751487154844959093e+01 -4.827040675423642568e+01 -4.659149788096521405e+01 -4.846648193822715456e+01 -1.096287154844959133e+01
-4.783715960780278920e+01 -4.826883346270828667e+01 -4.743928521679357857e+01 -4.855681327135938830e+01 -1.128515960780278959e+01
-4.773235313050381023e+01 -4.831734030542050107e+01 -4.689403602593203857e+01 -4.864124655348108206e+01 -1.118035313050381063e+01
-4.752973889768809101e+01 -4.824841306243258998e+01 -4.661772713386725542e+01 -4.847272254394434299e+01 -1.097773889768809141e+01
-4.751350131216576500e+01 -4.822510197171716584e+01 -4.660274955174264733e+01 -4.845503133787541117e+01 -1.096150131216576540e+01
-4.747075941271759092e+01 -4.818252698739819806e+01 -4.656014452666387626e+01 -4.841270412498015219e+01 -1.091875941271759132e+01
-4.767186790488419490e+01 -4.833172492108924700e+01 -4.677631500351458271e+01 -4.860256374306841565e+01 -1.111986790488419530e+01
-4.750039134474771885e+01 -4.819894858301250906e+01 -4.659401822807514293e+01 -4.843923081934268282e+01 -1.094839134474771924e+01
-4.776383121496822071e+01 -4.811775797650491882e+01 -4.742225241787195955e+01 -4.844346768597606712e+01 -1.121183121496822110e+01
-4.758203786848864070e+01 -4.799964204518172295e+01 -4.717107687333817978e+01 -4.830233615294960714e+01 -1.103003786848864110e+01
-4.743332562046528977e+01 -4.795561544143019006e+01 -4.681894350378208713e+01 -4.825414071629352009e+01 -1.088132562046529017e+01
-4.633874730477252513e+01 -4.703804117636850890e+01 -4.541974179698311076e+01 -4.727621099173661889e+01 -9.786747304772525524e+00
-4.635371032522545676e+01 -4.705743413931615038e+01 -4.543479983521582000e+01 -4.729323102535001766e+01 -9.801710325225457154e+00
-4.640634777354222962e+01 -4.709974152730291053e+01 -4.548935913828138666e+01 -4.734374596396216361e+01 -9.854347773542230016e+00
-4.644416390264007077e+01 -4.713089992395693884e+01 -4.552865160424389757e+01 -4.738015735184688282e+01 -9.892163902640071171e+00
-4.645837964501249928e+01 -4.714579723186272986e+01 -4.554269947875852864e+01 -4.739454813947546086e+01 -9.906379645012499680e+00
-4.647511799277287992e+01 -4.716326767479997528e+01 -4.555924596061309018e+01 -4.741147360334504413e+01 -9.923117992772880314e+00
-4.648703600596342511e+01 -4.717597625298769515e+01 -4.557096625434444093e+01 -4.742359067348311186e+01 -9.935036005963425509e+00
-4.654363923878317166e+01 -4.722434775690400954e+01 -4.562918570586039380e+01 -4.747867331319113759e+01 -9.991639238783172061e+00
-4.655834959288111463e+01 -4.723951444866715121e+01 -4.564377535794370289e+01 -4.749350130940025849e+01 -1.000634959288111503e+01
-4.657858994356836746e+01 -4.726071184745023857e+01 -4.566377570435031430e+01 -4.751398639873760033e+01 -1.002658994356836786e+01
-4.654533746049590803e+01 -4.725586838556255032e+01 -4.562442544378454556e+01 -4.748691986532051601e+01 -9.993337460495908431e+00
-4.741789191913697721e+01 -4.793580568561374378e+01 -4.655732599947646122e+01 -4.831945531204848265e+01 -1.086589191913697761e+01
-4.735863899010760036e+01 -4.791915898099485105e+01 -4.648719561708368531e+01 -4.826919657208386383e+01 -1.080663899010760076e+01
-4.729739805753417414e+01 -4.789616030777140310e+01 -4.641589831730669857e+01 -4.821555678094139807e+01 -1.074539805753417454e+01
-4.723773599870689566e+01 -4.787060612855933073e+01 -4.634764198051801998e+01 -4.816296083058371380e+01 -1.068573599870689605e+01
-4.718505798560507714e+01 -4.784781611016843783e+01 -4.628727093138784454e+01 -4.811632349883434756e+01 -1.063305798560507753e+01
-4.722050434307303135e+01 -4.785774030819738556e+01 -4.632144678813063621e+01 -4.814778372695013076e+01 -1.066850434307303175e+01
-4.725754204602721131e+01 -4.791593170837181503e+01 -4.636069302126187353e+01 -4.818787478197437224e+01 -1.070554204602721171e+01
