# V, U, I, B, M_V
-5.006328394013846150e+01 -5.111928244063942373e+01 -4.976031619266315431e+01 -5.076027976216962401e+01 -1.351128394013846190e+01
-5.014949905131769015e+01 -5.120063200968925798e+01 -4.980012112135204916e+01 -5.087932615304323747e+01 -1.359749905131769054e+01
-5.031198839802336664e+01 -5.134518864134899729e+01 -4.982717731896228486e+01 -5.112050192261627046e+01 -1.375998839802336704e+01
-5.088857237753685325e+01 -5.170218336158569628e+01 -5.021513063344333005e+01 -5.175704464633106028e+01 -1.433657237753685365e+01
-5.016263293498337816e+01 -5.067506721882101317e+01 -4.955806951187663856e+01 -5.093586306827553045e+01 -1.361063293498337856e+01
-4.961064605642740588e+01 -4.990744499986875127e+01 -4.903618036802426161e+01 -5.033982876187113220e+01 -1.305864605642740628e+01
-4.899504279208598945e+01 -4.916395643451507880e+01 -4.870917622517626455e+01 -4.957244793098452362e+01 -1.244304279208598984e+01
-4.822122277999521600e+01 -4.854271056018723840e+01 -4.779846546107854977e+01 -4.890071824554213720e+01 -1.166922277999521640e+01
-4.840280645675171911e+01 -4.823012339008917593e+01 -4.809131705021507486e+01 -4.895907550101907191e+01 -1.185080645675171951e+01
-4.765376129288870999e+01 -4.773282991597010749e+01 -4.797876086652807714e+01 -4.820033616960017753e+01 -1.110176129288871039e+01
-4.746933864381914248e+01 -4.749245264208219197e+01 -4.788365815534629633e+01 -4.798963255088345647e+01 -1.091733864381914287e+01
-4.722283510752292557e+01 -4.719213910576129933e+01 -4.780063841654404655e+01 -4.774454938130774195e+01 -1.067083510752292597e+01
-4.676496203701189813e+01 -4.689295621151799764e+01 -4.732883450008649362e+01 -4.731529395029922114e+01 -1.021296203701189853e+01
-4.693269483750287918e+01 -4.676394139002965744e+01 -4.723075199251823619e+01 -4.729105672535379057e+01 -1.038069483750287958e+01
-4.689760503828215121e+01 -4.668759753544146918e+01 -4.710634722816352848e+01 -4.726917182582506882e+01 -1.034560503828215161e+01
-4.680705009869789279e+01 -4.665599998847366692e+01 -4.691780250538494101e+01 -4.736591595483520223e+01 -1.025505009869789319e+01
-4.663524660525047949e+01 -4.670004109403579662e+01 -4.661263540599294686e+01 -4.729938089145559132e+01 -1.008324660525047989e+01
-4.616624440901098581e+01 -4.652742518267263705e+01 -4.601295394511048187e+01 -4.694813731477993457e+01 -9.614244409010986203e+00
-4.604629828590774565e+01 -4.637178779565223863e+01 -4.581746404560092856e+01 -4.682001957104118617e+01 -9.494298285907746049e+00
-4.593777097946014010e+01 -4.629351367878020085e+01 -4.581167915100206045e+01 -4.670089611150500275e+01 -9.385770979460140495e+00
-4.592609351880515334e+01 -4.623645335918971710e+01 -4.587127197548863222e+01 -4.667327857717575057e+01 -9.374093518805153735e+00
-4.599942437771566262e+01 -4.622765429574187124e+01 -4.583053058677496239e+01 -4.672681931710063452e+01 -9.447424377715663013e+00
-4.596225755595430940e+01 -4.615580449821264608e+01 -4.598063279434141748e+01 -4.666622823100258444e+01 -9.410257555954309794e+00
-4.591646471012011688e+01 -4.608765200968237252e+01 -4.589952933296915205e+01 -4.659945491211243507e+01 -9.364464710120117275e+00
-4.587609108436086558e+01 -4.602882613269065359e+01 -4.582764774411038644e+01 -4.654064006324852443e+01 -9.324091084360865977e+00
-4.588147089333494932e+01 -4.597625667713492703e+01 -4.591646921093480671e+01 -4.654277219291114420e+01 -9.329470893334949722e+00
-4.581879956353930794e+01 -4.588468238496485441e+01 -4.586228077202687103e+01 -4.646103341231835060e+01 -9.266799563539308338e+00
-4.574972382751491295e+01 -4.581514546460971360e+01 -4.571366605408363881e+01 -4.639760009975353228e+01 -9.197723827514913353e+00
-4.575885440570495888e+01 -4.582771420388689876e+01 -4.563249678639724038e+01 -4.645267726460235735e+01 -9.206854405704959277e+00
-4.559425213251447673e+01 -4.574942961753750126e+01 -4.537076603727415147e+01 -4.632899647400908094e+01 -9.042252132514477125e+00
-4.536008162900727569e+01 -4.551097831711922481e+01 -4.535764368928368384e+01 -4.605570562760561870e+01 -8.808081629007276092e+00
-4.531012030969738191e+01 -4.547418070172667370e+01 -4.516140500325683860e+01 -4.602504754512122531e+01 -8.758120309697382311e+00
-4.535413871013485476e+01 -4.548603151337842831e+01 -4.526978873983823348e+01 -4.604536767442496625e+01 -8.802138710134855160e+00
-4.536165635408095653e+01 -4.548311598762499131e+01 -4.514907033874014530e+01 -4.608923596942754841e+01 -8.809656354080956930e+00
-4.535467798770054060e+01 -4.541409942118653476e+01 -4.517461647755209242e+01 -4.603645754730430895e+01 -8.802677987700540996e+00
-4.534021526785142697e+01 -4.540268938042562752e+01 -4.516282772681370261e+01 -4.602327579576581229e+01 -8.788215267851427370e+00
-4.528992397100681444e+01 -4.534718999602525003e+01 -4.517500906626586499e+01 -4.597348269826629519e+01 -8.737923971006814838e+00
-4.532647478712053157e+01 -4.530461968714511301e+01 -4.526531537485656997e+01 -4.596957433635423484e+01 -8.774474787120531971e+00
-4.537302250674179049e+01 -4.535035102271404384e+01 -4.523009904996847297e+01 -4.604682949221670185e+01 -8.821022506741790892e+00
-4.531488042501906222e+01 -4.529130804377792430e+01 -4.515953261514027872e+01 -4.597254293697023542e+01 -8.762880425019062614e+00
-4.530066542854890344e+01 -4.521546790889849632e+01 -4.518008699499195302e+01 -4.591870193589738136e+01 -8.748665428548903833e+00
-4.527860357719390549e+01 -4.521039333454184828e+01 -4.513195538221015823e+01 -4.593253443462177898e+01 -8.726603577193905892e+00
-4.526778580134536867e+01 -4.514963907802432885e+01 -4.518687871126197564e+01 -4.589461970590420492e+01 -8.715785801345369066e+00
-4.534372178670123787e+01 -4.482472468565738666e+01 -4.557561936995707441e+01 -4.574969625349798008e+01 -8.791721786701238273e+00
-4.534689246213577007e+01 -4.481964786164976289e+01 -4.559647270809071529e+01 -4.574733461557194403e+01 -8.794892462135770472e+00
-4.520328578857277080e+01 -4.479634807160574894e+01 -4.525937408034877762e+01 -4.568739085297656288e+01 -8.651285788572771196e+00
-4.517946789518022399e+01 -4.481075657898404785e+01 -4.509708102518566619e+01 -4.570688382173762676e+01 -8.627467895180224389e+00
-4.542523927793369154e+01 -4.492490698828974161e+01 -4.524267823926440713e+01 -4.588021203452210273e+01 -8.873239277933691938e+00
-4.550904689734501574e+01 -4.535689324243145393e+01 -4.493984707059496486e+01 -4.626231768939786093e+01 -8.957046897345016134e+00
-4.548523675591994930e+01 -4.523138374348626201e+01 -4.501429142360527891e+01 -4.619475838130455969e+01 -8.933236755919949701e+00
-4.481057792682335617e+01 -4.430416976010469199e+01 -4.500503515960695466e+01 -4.506504261672042588e+01 -8.258577926823356563e+00
-4.388396336618994553e+01 -4.424960880805203089e+01 -4.306873176694294614e+01 -4.474621735687455981e+01 -7.331963366189945930e+00
-4.388948215072449699e+01 -4.425566058766276001e+01 -4.307407727118637553e+01 -4.475188147266334227e+01 -7.337482150724497387e+00
-4.389723044363694981e+01 -4.426407702122631349e+01 -4.308160033522482024e+01 -4.475981864223317075e+01 -7.345230443636950213e+00
-4.397396389598921473e+01 -4.432034157533098551e+01 -4.316184408352049218e+01 -4.483301016054659272e+01 -7.421963895989215132e+00
-4.397933784839687377e+01 -4.432615763415351751e+01 -4.316707236425862959e+01 -4.483850606007648310e+01 -7.427337848396874165e+00
-4.398957203470897070e+01 -4.433703700904457889e+01 -4.317707132195461384e+01 -4.484893443428778426e+01 -7.437572034708971103e+00
-4.399805859188644774e+01 -4.434621150725726579e+01 -4.318533104058432315e+01 -4.485761077224364612e+01 -7.446058591886448141e+00
-4.400432252769455488e+01 -4.435386785940605137e+01 -4.319292509312446526e+01 -4.486451424877701299e+01 -7.452322527694555276e+00
-4.401412917210181064e+01 -4.436424058562768380e+01 -4.320250423653621397e+01 -4.487449260690661390e+01 -7.462129172101811037e+00
-4.406669953904785331e+01 -4.440107930456960617e+01 -4.325791214115782424e+01 -4.492438323744980977e+01 -7.514699539047853705e+00
-4.407465016756388820e+01 -4.440962196241518711e+01 -4.326565721236515571e+01 -4.493249454664166365e+01 -7.522650167563888601e+00
-4.408660650694216798e+01 -4.442236522872772042e+01 -4.327732652273461156e+01 -4.494467241799110724e+01 -7.534606506942168380e+00
-4.417436177586304780e+01 -4.450021945445888605e+01 -4.337211654470956290e+01 -4.503158362853164220e+01 -7.622361775863048194e+00
-4.418649995068831515e+01 -4.451299744008824888e+01 -4.338404069592649392e+01 -4.504391190854622806e+01 -7.634499950688315550e+00
-4.419486531391684991e+01 -4.452173735069376193e+01 -4.339227634812022671e+01 -4.505239361133975251e+01 -7.642865313916850312e+00
-4.420637464881343703e+01 -4.453396611706502028e+01 -4.340357255804615733e+01 -4.506410426114090484e+01 -7.654374648813437432e+00
-4.422005219191044034e+01 -4.454832871063294419e+01 -4.341703793744824225e+01 -4.507797813419117716e+01 -7.668052191910440740e+00
-4.424041902030186435e+01 -4.456999078278278148e+01 -4.343704386589146793e+01 -4.509870435652041465e+01 -7.688419020301864748e+00
-4.446492214856503722e+01 -4.476136987684924406e+01 -4.366819297567864311e+01 -4.531846315438507133e+01 -7.912922148565037617e+00
-4.457443178952746621e+01 -4.378288063082869996e+01 -4.514382741408528688e+01 -4.467518543822160382e+01 -8.022431789527466606e+00
-4.450065521063936558e+01 -4.378227046738064843e+01 -4.503632889141380247e+01 -4.464581941325021575e+01 -7.948655210639365976e+00
-4.438984935291333755e+01 -4.379050541262691354e+01 -4.486705470269118479e+01 -4.461721072357298823e+01 -7.837849352913337952e+00
-4.427990364193701112e+01 -4.379072694019342293e+01 -4.468876191611802540e+01 -4.457784841344390969e+01 -7.727903641937011514e+00
-4.437033021601027372e+01 -4.381499584880654652e+01 -4.462828061674768776e+01 -4.464111386764876954e+01 -7.818330216010274114e+00
-4.432721649164555799e+01 -4.381504879223500382e+01 -4.456059536421491174e+01 -4.462475742690538993e+01 -7.775216491645558392e+00
-4.450755287117274150e+01 -4.385014023840345487e+01 -4.464543999322400936e+01 -4.472014451421913606e+01 -7.955552871172741902e+00
-4.519769845302396050e+01 -4.465247173557629168e+01 -4.487487932927626844e+01 -4.565306574653303073e+01 -8.645698453023960894e+00
-4.533613978854035764e+01 -4.482150210806149460e+01 -4.482775226854697337e+01 -4.591068843405505362e+01 -8.784139788540358040e+00
-4.535423232204713884e+01 -4.483487000123236754e+01 -4.489008583672625718e+01 -4.591250424531358476e+01 -8.802232322047139235e+00
-4.534568393137667641e+01 -4.479413883230633786e+01 -4.495372481052267233e+01 -4.584854726191146312e+01 -8.793683931376676810e+00
-4.526062957752867533e+01 -4.468294862915050913e+01 -4.501698693672266671e+01 -4.566112766102514087e+01 -8.708629577528675725e+00
